조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
EMA5>EMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,179,150,83.8,4.15,EMA5>EMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA5>SMA20 + MACD>Signal,2,1282,1074,83.78,3.38,SMA5>SMA20 + MACD>Signal
SMA5>SMA20 + MACD_Hist>0,2,1282,1074,83.78,3.38,SMA5>SMA20 + MACD_Hist>0
SMA5>SMA20 + MACD>Signal + MACD_Hist>0,3,1282,1074,83.78,3.38,SMA5>SMA20 + MACD>Signal + MACD_Hist>0
EMA5>EMA20 + Price>SMA200 + MACD>Signal,3,774,648,83.72,3.95,EMA5>EMA20 + Price>SMA200 + MACD>Signal
EMA5>EMA20 + Price>SMA200 + MACD_Hist>0,3,774,648,83.72,3.95,EMA5>EMA20 + Price>SMA200 + MACD_Hist>0
Price>SMA20 + Price>SMA200 + MACD_Hist>0,3,785,657,83.69,3.95,Price>SMA20 + Price>SMA200 + MACD_Hist>0
Price>SMA20 + Price>SMA200 + MACD>Signal,3,785,657,83.69,3.95,Price>SMA20 + Price>SMA200 + MACD>Signal
SMA5>SMA20 + MACD>Signal + VolSpike>1.5,3,196,164,83.67,4.01,SMA5>SMA20 + MACD>Signal + VolSpike>1.5
SMA5>SMA20 + MACD_Hist>0 + VolSpike>1.5,3,196,164,83.67,4.01,SMA5>SMA20 + MACD_Hist>0 + VolSpike>1.5
SMA5>SMA20 + Price>SMA20 + MACD>Signal,3,1260,1054,83.65,3.41,SMA5>SMA20 + Price>SMA20 + MACD>Signal
SMA5>SMA20 + Price>SMA20 + MACD_Hist>0,3,1260,1054,83.65,3.41,SMA5>SMA20 + Price>SMA20 + MACD_Hist>0
SMA10>SMA50 + MACD_Hist>0 + ThreeGreenDays,3,159,133,83.65,3.59,SMA10>SMA50 + MACD_Hist>0 + ThreeGreenDays
SMA10>SMA50 + MACD>Signal + ThreeGreenDays,3,159,133,83.65,3.59,SMA10>SMA50 + MACD>Signal + ThreeGreenDays
ADX>20_PlusDI>MinusDI + ThreeGreenDays,2,170,142,83.53,3.56,ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>EMA20 + MACD_Hist>0,2,1226,1024,83.52,3.45,Price>EMA20 + MACD_Hist>0
Price>EMA20 + MACD>Signal,2,1226,1024,83.52,3.45,Price>EMA20 + MACD>Signal
Price>EMA20 + MACD>Signal + MACD_Hist>0,3,1226,1024,83.52,3.45,Price>EMA20 + MACD>Signal + MACD_Hist>0
Price>SMA20 + Price>EMA20 + MACD>Signal,3,1226,1024,83.52,3.45,Price>SMA20 + Price>EMA20 + MACD>Signal
Price>SMA200 + MACD>Signal + ADX>25,3,625,522,83.52,4.18,Price>SMA200 + MACD>Signal + ADX>25
Price>SMA20 + Price>EMA20 + MACD_Hist>0,3,1226,1024,83.52,3.45,Price>SMA20 + Price>EMA20 + MACD_Hist>0
Price>SMA200 + MACD_Hist>0 + ADX>25,3,625,522,83.52,4.18,Price>SMA200 + MACD_Hist>0 + ADX>25
SMA5>SMA20 + SMA50>SMA200 + MACD>Signal,3,660,551,83.48,4.16,SMA5>SMA20 + SMA50>SMA200 + MACD>Signal
SMA5>SMA20 + SMA50>SMA200 + MACD_Hist>0,3,660,551,83.48,4.16,SMA5>SMA20 + SMA50>SMA200 + MACD_Hist>0
SMA50>SMA200 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,550,459,83.45,4.52,SMA50>SMA200 + MACD>Signal + ADX>20_PlusDI>MinusDI
SMA50>SMA200 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,550,459,83.45,4.52,SMA50>SMA200 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
SMA50>SMA200 + EMA10>EMA50 + MACD_Hist>0,3,622,519,83.44,4.28,SMA50>SMA200 + EMA10>EMA50 + MACD_Hist>0
SMA50>SMA200 + EMA10>EMA50 + MACD>Signal,3,622,519,83.44,4.28,SMA50>SMA200 + EMA10>EMA50 + MACD>Signal
SMA20>SMA100 + Price>EMA20 + ThreeGreenDays,3,169,141,83.43,3.83,SMA20>SMA100 + Price>EMA20 + ThreeGreenDays
SMA20>SMA100 + Price>SMA20 + ThreeGreenDays,3,169,141,83.43,3.83,SMA20>SMA100 + Price>SMA20 + ThreeGreenDays
Price>SMA20 + MACD>Signal + MACD_Hist>0,3,1289,1075,83.4,3.38,Price>SMA20 + MACD>Signal + MACD_Hist>0
Price>SMA20 + MACD>Signal,2,1289,1075,83.4,3.38,Price>SMA20 + MACD>Signal
Price>SMA20 + MACD_Hist>0,2,1289,1075,83.4,3.38,Price>SMA20 + MACD_Hist>0
EMA5>EMA20 + MACD>Signal + BB_Squeeze,3,288,240,83.33,2.36,EMA5>EMA20 + MACD>Signal + BB_Squeeze
Price>SMA20 + MACD>Signal + VolSpike>1.5,3,198,165,83.33,3.99,Price>SMA20 + MACD>Signal + VolSpike>1.5
EMA5>EMA20 + MACD_Hist>0 + BB_Squeeze,3,288,240,83.33,2.36,EMA5>EMA20 + MACD_Hist>0 + BB_Squeeze
Price>SMA20 + MACD_Hist>0 + VolSpike>1.5,3,198,165,83.33,3.99,Price>SMA20 + MACD_Hist>0 + VolSpike>1.5
EMA10>EMA50 + MACD_Hist>0 + Stoch_Cross_Up,3,251,209,83.27,3.59,EMA10>EMA50 + MACD_Hist>0 + Stoch_Cross_Up
EMA10>EMA50 + MACD>Signal + Stoch_Cross_Up,3,251,209,83.27,3.59,EMA10>EMA50 + MACD>Signal + Stoch_Cross_Up
SMA5>SMA20 + ADX>25 + ThreeGreenDays,3,155,129,83.23,3.56,SMA5>SMA20 + ADX>25 + ThreeGreenDays
Price>EMA20 + ADX>25 + ThreeGreenDays,3,149,124,83.22,3.79,Price>EMA20 + ADX>25 + ThreeGreenDays
SMA50>SMA200 + Price>SMA20 + MACD_Hist>0,3,667,555,83.21,4.16,SMA50>SMA200 + Price>SMA20 + MACD_Hist>0
SMA50>SMA200 + Price>SMA20 + MACD>Signal,3,667,555,83.21,4.16,SMA50>SMA200 + Price>SMA20 + MACD>Signal
SMA50>SMA200 + Price>EMA20 + MACD_Hist>0,3,649,540,83.2,4.23,SMA50>SMA200 + Price>EMA20 + MACD_Hist>0
SMA50>SMA200 + Price>EMA20 + MACD>Signal,3,649,540,83.2,4.23,SMA50>SMA200 + Price>EMA20 + MACD>Signal
SMA50>SMA200 + Price>SMA50 + MACD_Hist>0,3,619,515,83.2,4.28,SMA50>SMA200 + Price>SMA50 + MACD_Hist>0
SMA50>SMA200 + Price>SMA50 + MACD>Signal,3,619,515,83.2,4.28,SMA50>SMA200 + Price>SMA50 + MACD>Signal
SMA5>SMA20 + MACD_Hist>0 + Stoch_Cross_Up,3,331,275,83.08,3.15,SMA5>SMA20 + MACD_Hist>0 + Stoch_Cross_Up
SMA5>SMA20 + MACD>Signal + Stoch_Cross_Up,3,331,275,83.08,3.15,SMA5>SMA20 + MACD>Signal + Stoch_Cross_Up
Price>SMA50 + MACD_Hist>0 + ThreeGreenDays,3,171,142,83.04,3.6,Price>SMA50 + MACD_Hist>0 + ThreeGreenDays
Price>SMA50 + MACD>Signal + ThreeGreenDays,3,171,142,83.04,3.6,Price>SMA50 + MACD>Signal + ThreeGreenDays
SMA50>SMA200 + EMA5>EMA20 + MACD_Hist>0,3,641,532,83.0,4.21,SMA50>SMA200 + EMA5>EMA20 + MACD_Hist>0
SMA50>SMA200 + EMA5>EMA20 + MACD>Signal,3,641,532,83.0,4.21,SMA50>SMA200 + EMA5>EMA20 + MACD>Signal
Price>EMA20 + MACD>Signal + VolSpike>1.5,3,194,161,82.99,3.98,Price>EMA20 + MACD>Signal + VolSpike>1.5
Price>EMA20 + MACD_Hist>0 + VolSpike>1.5,3,194,161,82.99,3.98,Price>EMA20 + MACD_Hist>0 + VolSpike>1.5
SMA5>SMA20 + SMA10>SMA50 + VolSpike>1.5,3,211,175,82.94,3.83,SMA5>SMA20 + SMA10>SMA50 + VolSpike>1.5
SMA5>SMA20 + EMA10>EMA50 + VolSpike>1.5,3,205,170,82.93,3.94,SMA5>SMA20 + EMA10>EMA50 + VolSpike>1.5
SMA5>SMA20 + SMA20>SMA100 + VolSpike>1.5,3,175,145,82.86,4.09,SMA5>SMA20 + SMA20>SMA100 + VolSpike>1.5
EMA5>EMA20 + MACD>Signal + VolSpike>1.5,3,192,159,82.81,3.99,EMA5>EMA20 + MACD>Signal + VolSpike>1.5
EMA5>EMA20 + MACD_Hist>0 + VolSpike>1.5,3,192,159,82.81,3.99,EMA5>EMA20 + MACD_Hist>0 + VolSpike>1.5
SMA5>SMA20 + MACD_Hist>0 + BB_Squeeze,3,366,303,82.79,2.25,SMA5>SMA20 + MACD_Hist>0 + BB_Squeeze
SMA5>SMA20 + MACD>Signal + BB_Squeeze,3,366,303,82.79,2.25,SMA5>SMA20 + MACD>Signal + BB_Squeeze
SMA10>SMA50 + Price>EMA20 + VolSpike>1.5,3,208,172,82.69,3.86,SMA10>SMA50 + Price>EMA20 + VolSpike>1.5
SMA10>SMA50 + Price>SMA20 + VolSpike>1.5,3,208,172,82.69,3.86,SMA10>SMA50 + Price>SMA20 + VolSpike>1.5
Price>SMA50 + MACD>Signal + BB_Squeeze,3,208,172,82.69,2.2,Price>SMA50 + MACD>Signal + BB_Squeeze
Price>SMA50 + MACD_Hist>0 + BB_Squeeze,3,208,172,82.69,2.2,Price>SMA50 + MACD_Hist>0 + BB_Squeeze
Price>SMA20 + ADX>25 + VolSpike>1.5,3,179,148,82.68,4.1,Price>SMA20 + ADX>25 + VolSpike>1.5
Price>SMA50 + MACD_Hist>0 + Stoch_Cross_Up,3,288,238,82.64,3.3,Price>SMA50 + MACD_Hist>0 + Stoch_Cross_Up
Price>SMA50 + MACD>Signal + Stoch_Cross_Up,3,288,238,82.64,3.3,Price>SMA50 + MACD>Signal + Stoch_Cross_Up
SMA5>SMA20 + Price>SMA50 + VolSpike>1.5,3,217,179,82.49,3.77,SMA5>SMA20 + Price>SMA50 + VolSpike>1.5
EMA5>EMA20 + MACD>Signal + Stoch_Cross_Up,3,314,259,82.48,3.21,EMA5>EMA20 + MACD>Signal + Stoch_Cross_Up
EMA5>EMA20 + MACD_Hist>0 + Stoch_Cross_Up,3,314,259,82.48,3.21,EMA5>EMA20 + MACD_Hist>0 + Stoch_Cross_Up
EMA10>EMA50 + MACD>Signal + ThreeGreenDays,3,154,127,82.47,3.61,EMA10>EMA50 + MACD>Signal + ThreeGreenDays
EMA10>EMA50 + MACD_Hist>0 + ThreeGreenDays,3,154,127,82.47,3.61,EMA10>EMA50 + MACD_Hist>0 + ThreeGreenDays
Price>SMA50 + ADX>25 + VolSpike>1.5,3,171,141,82.46,3.96,Price>SMA50 + ADX>25 + VolSpike>1.5
Price>EMA20 + ADX>25 + VolSpike>1.5,3,176,145,82.39,4.09,Price>EMA20 + ADX>25 + VolSpike>1.5
SMA20>SMA100 + EMA5>EMA20 + ThreeGreenDays,3,176,145,82.39,3.61,SMA20>SMA100 + EMA5>EMA20 + ThreeGreenDays
Price>SMA200 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,142,117,82.39,4.42,Price>SMA200 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA5>SMA20 + Price>SMA200 + VolSpike>1.5,3,169,139,82.25,4.02,SMA5>SMA20 + Price>SMA200 + VolSpike>1.5
SMA5>SMA20 + Stoch_Cross_Up + ADX>25,3,304,250,82.24,2.91,SMA5>SMA20 + Stoch_Cross_Up + ADX>25
EMA10>EMA50 + ADX>25 + VolSpike>1.5,3,163,134,82.21,4.1,EMA10>EMA50 + ADX>25 + VolSpike>1.5
Price>EMA20 + MACD_Hist>0 + Stoch_Cross_Up,3,326,268,82.21,3.13,Price>EMA20 + MACD_Hist>0 + Stoch_Cross_Up
Price>EMA20 + MACD>Signal + Stoch_Cross_Up,3,326,268,82.21,3.13,Price>EMA20 + MACD>Signal + Stoch_Cross_Up
Price>SMA20 + MACD>Signal + Stoch_Cross_Up,3,337,277,82.2,3.07,Price>SMA20 + MACD>Signal + Stoch_Cross_Up
Price>SMA20 + MACD_Hist>0 + Stoch_Cross_Up,3,337,277,82.2,3.07,Price>SMA20 + MACD_Hist>0 + Stoch_Cross_Up
ADX>25 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,174,143,82.18,4.05,ADX>25 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
EMA5>EMA20 + MACD>Signal + ThreeGreenDays,3,185,152,82.16,3.48,EMA5>EMA20 + MACD>Signal + ThreeGreenDays
EMA5>EMA20 + MACD_Hist>0 + ThreeGreenDays,3,185,152,82.16,3.48,EMA5>EMA20 + MACD_Hist>0 + ThreeGreenDays
EMA5>EMA20 + ADX>25 + ThreeGreenDays,3,151,124,82.12,3.69,EMA5>EMA20 + ADX>25 + ThreeGreenDays
Price>SMA200 + MACD_Hist>0,2,819,672,82.05,3.75,Price>SMA200 + MACD_Hist>0
Price>SMA200 + MACD>Signal + MACD_Hist>0,3,819,672,82.05,3.75,Price>SMA200 + MACD>Signal + MACD_Hist>0
Price>SMA200 + MACD>Signal,2,819,672,82.05,3.75,Price>SMA200 + MACD>Signal
ADX>20_PlusDI>MinusDI + VolSpike>1.5,2,189,155,82.01,3.97,ADX>20_PlusDI>MinusDI + VolSpike>1.5
BB_Squeeze + ADX>20_PlusDI>MinusDI + ThreeGreenDays,3,50,41,82.0,2.42,BB_Squeeze + ADX>20_PlusDI>MinusDI + ThreeGreenDays
Price>EMA20 + MACD_Hist>0 + ThreeGreenDays,3,183,150,81.97,3.43,Price>EMA20 + MACD_Hist>0 + ThreeGreenDays
Price>SMA200 + MACD>Signal + ThreeGreenDays,3,122,100,81.97,3.94,Price>SMA200 + MACD>Signal + ThreeGreenDays
Price>SMA200 + MACD_Hist>0 + ThreeGreenDays,3,122,100,81.97,3.94,Price>SMA200 + MACD_Hist>0 + ThreeGreenDays
Price>EMA20 + MACD>Signal + ThreeGreenDays,3,183,150,81.97,3.43,Price>EMA20 + MACD>Signal + ThreeGreenDays
SMA5>SMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,316,259,81.96,2.89,SMA5>SMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
EMA10>EMA50 + MACD>Signal + BB_Squeeze,3,116,95,81.9,2.33,EMA10>EMA50 + MACD>Signal + BB_Squeeze
EMA10>EMA50 + MACD_Hist>0 + BB_Squeeze,3,116,95,81.9,2.33,EMA10>EMA50 + MACD_Hist>0 + BB_Squeeze
SMA10>SMA50 + Price>SMA20 + ADX>25,3,1016,832,81.89,3.29,SMA10>SMA50 + Price>SMA20 + ADX>25
Price>EMA20 + MACD_Hist>0 + BB_Squeeze,3,309,253,81.88,2.29,Price>EMA20 + MACD_Hist>0 + BB_Squeeze
Price>EMA20 + MACD>Signal + BB_Squeeze,3,309,253,81.88,2.29,Price>EMA20 + MACD>Signal + BB_Squeeze
Price>SMA50 + Price>EMA20 + VolSpike>1.5,3,215,176,81.86,3.77,Price>SMA50 + Price>EMA20 + VolSpike>1.5
Price>SMA20 + Price>SMA50 + VolSpike>1.5,3,215,176,81.86,3.77,Price>SMA20 + Price>SMA50 + VolSpike>1.5
SMA5>SMA20 + SMA10>SMA50 + ThreeGreenDays,3,203,166,81.77,3.15,SMA5>SMA20 + SMA10>SMA50 + ThreeGreenDays
SMA50>SMA200 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,126,103,81.75,4.68,SMA50>SMA200 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
SMA5>SMA20 + Price>SMA20 + VolSpike>1.5,3,230,188,81.74,3.7,SMA5>SMA20 + Price>SMA20 + VolSpike>1.5
Price>SMA20 + MACD>Signal + BB_Squeeze,3,360,294,81.67,2.23,Price>SMA20 + MACD>Signal + BB_Squeeze
Price>SMA20 + MACD_Hist>0 + BB_Squeeze,3,360,294,81.67,2.23,Price>SMA20 + MACD_Hist>0 + BB_Squeeze
Price>SMA20 + ADX>25 + ADX>20_PlusDI>MinusDI,3,1095,894,81.64,3.27,Price>SMA20 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + MACD>Signal + ThreeGreenDays,3,196,160,81.63,3.36,SMA5>SMA20 + MACD>Signal + ThreeGreenDays
Price>SMA20 + MACD>Signal + ThreeGreenDays,3,196,160,81.63,3.34,Price>SMA20 + MACD>Signal + ThreeGreenDays
Price>SMA20 + MACD_Hist>0 + ThreeGreenDays,3,196,160,81.63,3.34,Price>SMA20 + MACD_Hist>0 + ThreeGreenDays
SMA5>SMA20 + MACD_Hist>0 + ThreeGreenDays,3,196,160,81.63,3.36,SMA5>SMA20 + MACD_Hist>0 + ThreeGreenDays
SMA5>SMA20 + VolSpike>1.5,2,234,191,81.62,3.65,SMA5>SMA20 + VolSpike>1.5
SMA50>SMA200 + MACD_Hist>0 + VolSpike>1.5,3,125,102,81.6,4.69,SMA50>SMA200 + MACD_Hist>0 + VolSpike>1.5
SMA50>SMA200 + MACD>Signal + VolSpike>1.5,3,125,102,81.6,4.69,SMA50>SMA200 + MACD>Signal + VolSpike>1.5
SMA5>SMA20 + ADX>25 + ADX>20_PlusDI>MinusDI,3,1107,903,81.57,3.21,SMA5>SMA20 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + ADX>25 + ThreeGreenDays,3,141,115,81.56,3.46,SMA10>SMA50 + ADX>25 + ThreeGreenDays
SMA10>SMA50 + Price>EMA20 + ThreeGreenDays,3,200,163,81.5,3.34,SMA10>SMA50 + Price>EMA20 + ThreeGreenDays
SMA10>SMA50 + EMA5>EMA20 + VolSpike>1.5,3,216,176,81.48,3.69,SMA10>SMA50 + EMA5>EMA20 + VolSpike>1.5
Price>SMA200 + VolSpike>1.5 + ThreeGreenDays,3,27,22,81.48,3.06,Price>SMA200 + VolSpike>1.5 + ThreeGreenDays
SMA5>SMA20 + Price>SMA20 + ADX>25,3,1160,945,81.47,3.17,SMA5>SMA20 + Price>SMA20 + ADX>25
EMA5>EMA20 + ADX>25 + VolSpike>1.5,3,178,145,81.46,3.96,EMA5>EMA20 + ADX>25 + VolSpike>1.5
EMA10>EMA50 + Price>SMA20 + VolSpike>1.5,3,205,167,81.46,3.9,EMA10>EMA50 + Price>SMA20 + VolSpike>1.5
SMA5>SMA20 + SMA50>SMA200 + VolSpike>1.5,3,151,123,81.46,4.22,SMA5>SMA20 + SMA50>SMA200 + VolSpike>1.5
EMA10>EMA50 + Price>EMA20 + VolSpike>1.5,3,205,167,81.46,3.9,EMA10>EMA50 + Price>EMA20 + VolSpike>1.5
SMA5>SMA20 + Price>EMA20 + VolSpike>1.5,3,226,184,81.42,3.69,SMA5>SMA20 + Price>EMA20 + VolSpike>1.5
SMA5>SMA20 + Price>SMA50 + ThreeGreenDays,3,215,175,81.4,3.19,SMA5>SMA20 + Price>SMA50 + ThreeGreenDays
Price>SMA50 + ADX>25 + ThreeGreenDays,3,145,118,81.38,3.63,Price>SMA50 + ADX>25 + ThreeGreenDays
SMA20>SMA100 + ADX>25 + VolSpike>1.5,3,145,118,81.38,4.14,SMA20>SMA100 + ADX>25 + VolSpike>1.5
SMA5>SMA20 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,1202,978,81.36,3.21,SMA5>SMA20 + Price>SMA20 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,1055,858,81.33,3.25,SMA10>SMA50 + Price>SMA20 + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + Price>SMA20 + VolSpike>1.5,3,176,143,81.25,4.08,SMA20>SMA100 + Price>SMA20 + VolSpike>1.5
EMA5>EMA20 + Stoch_Cross_Up + ADX>25,3,293,238,81.23,2.91,EMA5>EMA20 + Stoch_Cross_Up + ADX>25
SMA5>SMA20 + EMA5>EMA20 + VolSpike>1.5,3,229,186,81.22,3.65,SMA5>SMA20 + EMA5>EMA20 + VolSpike>1.5
SMA20>SMA100 + Price>SMA50 + ThreeGreenDays,3,181,147,81.22,3.45,SMA20>SMA100 + Price>SMA50 + ThreeGreenDays
EMA5>EMA20 + Price>SMA20 + ADX>25,3,1115,905,81.17,3.23,EMA5>EMA20 + Price>SMA20 + ADX>25
SMA20>SMA100 + Price>EMA20 + VolSpike>1.5,3,175,142,81.14,4.08,SMA20>SMA100 + Price>EMA20 + VolSpike>1.5
SMA10>SMA50 + Price>SMA20 + ThreeGreenDays,3,201,163,81.09,3.31,SMA10>SMA50 + Price>SMA20 + ThreeGreenDays
SMA50>SMA200 + Price>SMA200 + MACD>Signal,3,681,552,81.06,3.96,SMA50>SMA200 + Price>SMA200 + MACD>Signal
SMA50>SMA200 + Price>SMA200 + MACD_Hist>0,3,681,552,81.06,3.96,SMA50>SMA200 + Price>SMA200 + MACD_Hist>0
Price>EMA20 + ADX>25 + ADX>20_PlusDI>MinusDI,3,1076,872,81.04,3.25,Price>EMA20 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA50>SMA200 + MACD_Hist>0 + ThreeGreenDays,3,116,94,81.03,3.8,SMA50>SMA200 + MACD_Hist>0 + ThreeGreenDays
SMA50>SMA200 + MACD>Signal + ThreeGreenDays,3,116,94,81.03,3.8,SMA50>SMA200 + MACD>Signal + ThreeGreenDays
SMA10>SMA50 + Price>SMA50 + VolSpike>1.5,3,221,179,81.0,3.62,SMA10>SMA50 + Price>SMA50 + VolSpike>1.5
Price>SMA20 + Price>SMA50 + ADX>25,3,1050,850,80.95,3.25,Price>SMA20 + Price>SMA50 + ADX>25
SMA10>SMA50 + Price>EMA20 + ADX>25,3,1034,837,80.95,3.22,SMA10>SMA50 + Price>EMA20 + ADX>25
Price>SMA20 + ADX>25,2,1193,965,80.89,3.14,Price>SMA20 + ADX>25
SMA5>SMA20 + Price>SMA200 + ThreeGreenDays,3,162,131,80.86,3.36,SMA5>SMA20 + Price>SMA200 + ThreeGreenDays
SMA5>SMA20 + Price>EMA20 + ADX>25,3,1137,919,80.83,3.15,SMA5>SMA20 + Price>EMA20 + ADX>25
SMA5>SMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1184,957,80.83,3.19,SMA5>SMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + Price>SMA200 + VolSpike>1.5,3,172,139,80.81,3.84,SMA10>SMA50 + Price>SMA200 + VolSpike>1.5
SMA5>SMA20 + EMA10>EMA50 + ThreeGreenDays,3,198,160,80.81,3.16,SMA5>SMA20 + EMA10>EMA50 + ThreeGreenDays
Price>SMA20 + Price>EMA20 + ADX>25,3,1145,925,80.79,3.17,Price>SMA20 + Price>EMA20 + ADX>25
SMA5>SMA20 + EMA5>EMA20 + ThreeGreenDays,3,229,185,80.79,3.12,SMA5>SMA20 + EMA5>EMA20 + ThreeGreenDays
EMA5>EMA20 + Price>SMA20 + ADX>20_PlusDI>MinusDI,3,1170,945,80.77,3.21,EMA5>EMA20 + Price>SMA20 + ADX>20_PlusDI>MinusDI
Price>SMA20 + Price>SMA50 + ThreeGreenDays,3,213,172,80.75,3.34,Price>SMA20 + Price>SMA50 + ThreeGreenDays
SMA10>SMA50 + EMA10>EMA50 + VolSpike>1.5,3,213,172,80.75,3.69,SMA10>SMA50 + EMA10>EMA50 + VolSpike>1.5
Price>SMA50 + Price>EMA20 + ThreeGreenDays,3,213,172,80.75,3.34,Price>SMA50 + Price>EMA20 + ThreeGreenDays
Price>SMA20 + ADX>20_PlusDI>MinusDI,2,1220,985,80.74,3.17,Price>SMA20 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>SMA50 + VolSpike>1.5,3,223,180,80.72,3.61,EMA5>EMA20 + Price>SMA50 + VolSpike>1.5
SMA10>SMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1067,861,80.69,3.19,SMA10>SMA50 + Price>EMA20 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + Price>EMA20 + ThreeGreenDays,3,222,179,80.63,3.14,SMA5>SMA20 + Price>EMA20 + ThreeGreenDays
SMA10>SMA50 + VolSpike>1.5,2,222,179,80.63,3.59,SMA10>SMA50 + VolSpike>1.5
Price>SMA20 + Price>SMA200 + VolSpike>1.5,3,170,137,80.59,4.0,Price>SMA20 + Price>SMA200 + VolSpike>1.5
SMA5>SMA20 + ADX>20_PlusDI>MinusDI,2,1236,996,80.58,3.11,SMA5>SMA20 + ADX>20_PlusDI>MinusDI
MACD_Hist>0 + ADX>25 + VolSpike>1.5,3,175,141,80.57,3.92,MACD_Hist>0 + ADX>25 + VolSpike>1.5
MACD>Signal + ADX>25 + VolSpike>1.5,3,175,141,80.57,3.92,MACD>Signal + ADX>25 + VolSpike>1.5
Price>SMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI,3,1189,958,80.57,3.18,Price>SMA20 + Price>EMA20 + ADX>20_PlusDI>MinusDI
Price>SMA20 + Stoch_Cross_Up + ADX>25,3,314,253,80.57,2.8,Price>SMA20 + Stoch_Cross_Up + ADX>25
SMA5>SMA20 + SMA10>SMA50 + ADX>20_PlusDI>MinusDI,3,1080,870,80.56,3.15,SMA5>SMA20 + SMA10>SMA50 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + ADX>25 + ADX>20_PlusDI>MinusDI,3,1075,866,80.56,3.19,EMA5>EMA20 + ADX>25 + ADX>20_PlusDI>MinusDI
SMA5>SMA20 + SMA50>SMA200 + ThreeGreenDays,3,144,116,80.56,3.39,SMA5>SMA20 + SMA50>SMA200 + ThreeGreenDays
EMA10>EMA50 + Price>SMA20 + ADX>25,3,989,796,80.49,3.3,EMA10>EMA50 + Price>SMA20 + ADX>25
Price>SMA200 + Price>EMA20 + VolSpike>1.5,3,169,136,80.47,4.01,Price>SMA200 + Price>EMA20 + VolSpike>1.5
Price>SMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI,3,1099,884,80.44,3.21,Price>SMA20 + Price>SMA50 + ADX>20_PlusDI>MinusDI
Price>SMA20 + VolSpike>1.5,2,235,189,80.43,3.62,Price>SMA20 + VolSpike>1.5
SMA5>SMA20 + ThreeGreenDays,2,240,193,80.42,3.03,SMA5>SMA20 + ThreeGreenDays
SMA50>SMA200 + MACD>Signal + ADX>25,3,587,472,80.41,4.02,SMA50>SMA200 + MACD>Signal + ADX>25
SMA50>SMA200 + MACD_Hist>0 + ADX>25,3,587,472,80.41,4.02,SMA50>SMA200 + MACD_Hist>0 + ADX>25
SMA10>SMA50 + EMA5>EMA20 + ThreeGreenDays,3,209,168,80.38,3.14,SMA10>SMA50 + EMA5>EMA20 + ThreeGreenDays
SMA5>SMA20 + SMA10>SMA50 + ADX>25,3,1049,843,80.36,3.08,SMA5>SMA20 + SMA10>SMA50 + ADX>25
SMA5>SMA20 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI,3,1190,956,80.34,3.14,SMA5>SMA20 + EMA5>EMA20 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + Price>EMA20 + ADX>25,3,1124,903,80.34,3.16,EMA5>EMA20 + Price>EMA20 + ADX>25
SMA5>SMA20 + ADX>25,2,1207,969,80.28,3.0,SMA5>SMA20 + ADX>25
EMA5>EMA20 + EMA10>EMA50 + VolSpike>1.5,3,213,171,80.28,3.73,EMA5>EMA20 + EMA10>EMA50 + VolSpike>1.5
Price>SMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI,3,324,260,80.25,2.79,Price>SMA20 + Stoch_Cross_Up + ADX>20_PlusDI>MinusDI
SMA10>SMA50 + SMA20>SMA100 + VolSpike>1.5,3,182,146,80.22,3.8,SMA10>SMA50 + SMA20>SMA100 + VolSpike>1.5
