조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
Price>SMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,962,826,85.86,3.86,Price>SMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI
Price>EMA20 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,931,799,85.82,3.9,Price>EMA20 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
Price>EMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,931,799,85.82,3.9,Price>EMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI
Price>EMA20 + MACD>Signal + ADX>25,3,881,756,85.81,3.86,Price>EMA20 + MACD>Signal + ADX>25
Price>EMA20 + MACD_Hist>0 + ADX>25,3,881,756,85.81,3.86,Price>EMA20 + MACD_Hist>0 + ADX>25
Price>SMA50 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,845,725,85.8,3.96,Price>SMA50 + MACD>Signal + ADX>20_PlusDI>MinusDI
Price>SMA50 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,845,725,85.8,3.96,Price>SMA50 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
MACD>Signal + ADX>25 + ADX>20_PlusDI>MinusDI,3,887,761,85.79,3.83,MACD>Signal + ADX>25 + ADX>20_PlusDI>MinusDI
MACD_Hist>0 + ADX>25 + ADX>20_PlusDI>MinusDI,3,887,761,85.79,3.83,MACD_Hist>0 + ADX>25 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI,3,919,788,85.75,3.89,EMA5>EMA20 + MACD_Hist>0 + ADX>20_PlusDI>MinusDI
EMA5>EMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI,3,919,788,85.75,3.89,EMA5>EMA20 + MACD>Signal + ADX>20_PlusDI>MinusDI
SMA20>SMA100 + MACD_Hist>0 + VolSpike>1.5,3,140,120,85.71,4.73,SMA20>SMA100 + MACD_Hist>0 + VolSpike>1.5
SMA20>SMA100 + MACD>Signal + VolSpike>1.5,3,140,120,85.71,4.73,SMA20>SMA100 + MACD>Signal + VolSpike>1.5
VolSpike>1.5 + ThreeGreenDays,2,35,30,85.71,3.25,VolSpike>1.5 + ThreeGreenDays
Price>SMA20 + MACD>Signal + ADX>25,3,929,796,85.68,3.78,Price>SMA20 + MACD>Signal + ADX>25
Price>SMA20 + MACD_Hist>0 + ADX>25,3,929,796,85.68,3.78,Price>SMA20 + MACD_Hist>0 + ADX>25
MACD>Signal + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,160,137,85.62,4.45,MACD>Signal + ADX>20_PlusDI>MinusDI + VolSpike>1.5
