조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
가격_SMA200_위 + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,31,0.6129,0.0168,0.4395
RSI14_과매도(35이하) + 가격_SMA50_위,2,36,0.6111,0.0223,0.8527
RSI7_과매도(25이하) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,36,0.6111,0.022,0.6838
MACD_히스토_증가 + EMA7_골든크로스(20) + ADX14_강세(25이상),3,36,0.6111,-0.0006,-0.2461
MACD_히스토_증가 + STOCH14_골든크로스 + 거래량_증가(1.5배),3,64,0.6094,0.0298,3.536
가격_SMA200_위 + BB_%B_중간반등 + 거래량_증가(1.5배),3,23,0.6087,0.009,0.1126
가격_SMA200_위 + 가격_SMA50_위 + STOCH14_과매도(20이하),3,84,0.6071,0.0115,1.0609
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,38,0.6053,0.0224,0.7773
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,53,0.6038,0.0222,1.4036
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,123,0.6016,0.0203,4.9273
RSI7_과매도(25이하) + 가격_SMA50_위 + ADX14_강세(25이상),3,60,0.6,0.0266,2.7713
RSI7_과매도(25이하) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,40,0.6,0.0239,1.2201
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하) + 거래량_증가(1.5배),3,35,0.6,0.0198,0.5189
BB_하단터치(1.5σ) + STOCH21_과매도(20이하) + OBV_SMA위,3,30,0.6,0.0254,0.8161
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,122,0.5984,0.0197,4.5731
가격_SMA200_위 + STOCH14_골든크로스 + 거래량_증가(1.5배),3,47,0.5957,0.0099,0.3748
STOCH14_골든크로스 + 거래량_증가(1.5배),2,84,0.5952,0.0257,4.253
MACD_골든크로스 + ADX14_강세(25이상) + OBV_SMA위,3,42,0.5952,0.0141,0.4356
MACD_히스토_전환(+) + ADX14_강세(25이상) + OBV_SMA위,3,42,0.5952,0.0141,0.4356
가격_SMA50_위 + STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,42,0.5952,0.0192,0.861
EMA7_골든크로스(20) + 가격_SMA50_위 + ADX14_강세(25이상),3,27,0.5926,0.0063,-0.0708
BB_하단터치(1.5σ) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,49,0.5918,0.0157,0.6082
가격_SMA200_위 + BB_%B_중간반등 + STOCH14_골든크로스,3,44,0.5909,0.0098,0.3206
RSI21_과매도(30이하) + MACD_히스토_증가 + OBV_SMA위,3,39,0.5897,0.0283,1.4889
BB_%B_중간반등 + ADX14_강세(25이상) + 거래량_증가(1.5배),3,39,0.5897,0.0473,2.7578
RSI14_과매도(30이하) + RSI7_과매도(25이하) + STOCH14_과매도(20이하),3,185,0.5892,0.0433,102.9341
가격_SMA200_위 + ADX14_강세(25이상) + 거래량_급증(2배이상),3,34,0.5882,0.011,0.3086
STOCH14_과매도(20이하) + STOCH21_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,34,0.5882,0.0135,0.193
RSI14_중립반등(40~50) + 가격_SMA200_위 + OBV_SMA위,3,97,0.5876,0.0192,3.2864
RSI14_과매도(30이하) + RSI7_과매도(25이하) + MACD_히스토_증가,3,92,0.587,0.0504,25.3894
BB_하단터치(1.5σ) + STOCH14_과매도(20이하) + OBV_SMA위,3,29,0.5862,0.0256,0.783
가격_SMA50_위 + STOCH14_과매도(20이하),2,113,0.5841,0.0177,3.016
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + BB_%B_과매도(0.2이하),3,60,0.5833,0.0061,0.0263
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,48,0.5833,0.0191,1.0321
RSI14_중립반등(40~50) + STOCH14_과매도(20이하) + OBV_SMA위,3,36,0.5833,0.0538,3.5849
RSI14_중립반등(40~50) + MACD_히스토_증가 + SMA20_골든크로스(50),3,55,0.5818,0.0189,1.2568
STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,55,0.5818,0.032,3.1892
가격_SMA200_위 + 거래량_급증(2배이상),2,43,0.5814,0.016,0.6969
가격_SMA200_위 + 거래량_급증(2배이상) + 거래량_증가(1.5배),3,43,0.5814,0.016,0.6969
BB_하단터치(1.5σ) + OBV_SMA위,2,31,0.5806,0.0233,0.7475
RSI14_중립반등(40~50) + 가격_SMA50_위 + STOCH21_과매도(20이하),3,31,0.5806,0.0128,0.0869
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + 거래량_증가(1.5배),3,31,0.5806,0.0135,0.1806
MACD_골든크로스 + 가격_SMA200_위 + ADX14_강세(25이상),3,31,0.5806,0.0094,0.1928
MACD_히스토_전환(+) + 가격_SMA200_위 + ADX14_강세(25이상),3,31,0.5806,0.0094,0.1928
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + OBV_SMA위,3,31,0.5806,0.0233,0.7475
RSI14_중립반등(40~50) + BB_%B_과매도(0.2이하),2,150,0.58,0.0188,6.2055
BB_%B_중간반등 + STOCH14_골든크로스 + ADX14_강세(25이상),3,50,0.58,0.0161,0.8983
RSI14_과매도(30이하) + RSI7_과매도(25이하) + ADX14_강세(25이상),3,152,0.5789,0.05,85.4645
RSI14_중립반등(40~50) + STOCH21_과매도(20이하) + ADX14_추세상승(+DI>-DI),3,38,0.5789,0.0089,0.0637
STOCH14_과매도(20이하) + ADX14_추세상승(+DI>-DI),2,83,0.5783,0.0209,2.4302
RSI14_중립반등(40~50) + 가격_SMA200_위 + BB_%B_과매도(0.2이하),3,64,0.5781,0.0185,1.446
가격_SMA50_위 + STOCH14_골든크로스 + 거래량_증가(1.5배),3,52,0.5769,0.0189,1.1546
MACD_골든크로스 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,33,0.5758,0.0261,0.9023
MACD_히스토_전환(+) + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,33,0.5758,0.0261,0.9023
RSI14_과매도(30이하) + RSI7_과매도(25이하),2,193,0.5751,0.0392,62.0393
RSI14_과매도(30이하) + RSI14_과매도(35이하) + RSI7_과매도(25이하),3,193,0.5751,0.0392,62.0393
RSI14_과매도(30이하) + RSI7_과매도(25이하) + STOCH21_과매도(20이하),3,193,0.5751,0.0392,62.0393
RSI7_과매도(25이하) + 거래량_증가(1.5배),2,47,0.5745,0.0195,0.8303
MACD_히스토_증가 + 가격_SMA200_위 + BB_%B_과매도(0.2이하),3,47,0.5745,0.0379,2.5922
RSI14_과매도(30이하) + RSI7_과매도(25이하) + BB_%B_과매도(0.2이하),3,183,0.5738,0.0374,36.2235
STOCH14_과매도(20이하) + STOCH21_과매도(20이하) + OBV_SMA위,3,70,0.5714,0.0335,4.3056
ADX14_강세(25이상) + 거래량_급증(2배이상),2,56,0.5714,0.0288,2.1196
