조합,지표수,발생횟수,승률,평균수익률,총수익률(누적)
RSI14_과매도(30이하) + RSI14_과매도(35이하) + STOCH14_과매도(20이하),3,314,0.5382,0.0293,147.5566
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,249,0.5382,0.0359,227.655
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,359,0.5376,0.0226,45.5748
ADX14_강세(25이상) + 거래량_증가(1.5배) + OBV_SMA위,3,147,0.5374,0.0117,1.1206
ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,931,0.5371,0.0116,30.4011
STOCH21_과매도(20이하) + OBV_SMA위,2,108,0.537,0.0305,9.7065
RSI7_과매도(25이하) + MACD_히스토_증가 + BB_하단터치(1.5σ),3,54,0.537,0.0351,2.6932
RSI14_과매도(30이하) + MACD_히스토_증가 + BB_하단터치(1.5σ),3,41,0.5366,0.0276,0.9541
BB_%B_과매도(0.2이하),1,636,0.5362,0.0215,1335.2268
RSI14_과매도(35이하) + MACD_히스토_증가 + OBV_SMA위,3,69,0.5362,0.024,2.4145
SMA20_골든크로스(50) + ADX14_강세(25이상) + OBV_SMA위,3,69,0.5362,-0.0024,-0.6073
가격_SMA200_위 + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,166,0.5361,0.0076,0.7838
RSI14_과매도(30이하) + MACD_히스토_증가 + STOCH14_과매도(20이하),3,181,0.5359,0.0373,111.906
STOCH21_과매도(20이하) + 거래량_증가(1.5배),2,84,0.5357,0.0108,0.3865
RSI14_중립반등(40~50) + MACD_히스토_증가 + 거래량_증가(1.5배),3,28,0.5357,-0.0049,-0.1842
가격_SMA200_위 + ADX14_강세(25이상) + OBV_SMA위,3,684,0.5351,0.0117,38.7872
RSI14_과매도(30이하) + STOCH21_과매도(20이하),2,342,0.5351,0.0281,175.7927
RSI14_과매도(30이하) + RSI14_과매도(35이하) + STOCH21_과매도(20이하),3,342,0.5351,0.0281,175.7927
STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,258,0.5349,0.014,6.9737
가격_SMA200_위 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,778,0.5347,0.011,52.7853
RSI14_과매도(30이하) + ADX14_강세(25이상),2,303,0.5347,0.0302,173.254
RSI14_과매도(30이하) + RSI14_과매도(35이하) + ADX14_강세(25이상),3,303,0.5347,0.0302,173.254
RSI7_과매도(25이하) + MACD_히스토_증가,2,144,0.5347,0.0316,15.8843
RSI7_과매도(25이하) + 가격_SMA200_위 + 가격_SMA50_위,3,58,0.5345,0.0084,0.1796
MACD_히스토_증가 + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,58,0.5345,0.033,2.7267
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,350,0.5343,0.0275,114.5644
RSI14_과매도(35이하) + RSI7_과매도(25이하) + STOCH21_과매도(20이하),3,264,0.5341,0.0263,24.3207
MACD_히스토_증가 + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,60,0.5333,0.0304,2.8642
RSI21_과매도(30이하) + 가격_SMA200_위,2,30,0.5333,-0.0473,-0.8636
RSI14_중립반등(40~50) + 가격_SMA200_위 + 거래량_증가(1.5배),3,30,0.5333,0.0212,0.6577
MACD_히스토_증가 + 가격_SMA200_위 + 거래량_급증(2배이상),3,30,0.5333,0.0141,0.3553
RSI14_과매도(35이하) + RSI7_과매도(25이하) + ADX14_강세(25이상),3,197,0.533,0.0365,49.6778
SMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,77,0.5325,0.0153,0.2981
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하),2,372,0.5323,0.0215,36.0352
RSI7_과매도(25이하) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,372,0.5323,0.0235,70.211
가격_SMA200_위 + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,156,0.5321,0.0111,0.6687
STOCH21_과매도(20이하) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,47,0.5319,0.0169,0.6502
RSI14_과매도(35이하) + RSI7_과매도(25이하) + BB_%B_과매도(0.2이하),3,254,0.5315,0.0246,14.3775
RSI14_중립반등(40~50) + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,64,0.5312,0.0258,1.9183
RSI7_과매도(25이하) + BB_%B_중간반등,2,32,0.5312,0.0147,0.3799
RSI14_중립반등(40~50) + SMA20_골든크로스(50) + ADX14_강세(25이상),3,32,0.5312,0.0084,0.157
RSI7_과매도(25이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,241,0.5311,0.0342,114.7667
RSI14_과매도(30이하) + MACD_히스토_증가 + STOCH21_과매도(20이하),3,209,0.5311,0.0342,133.1603
가격_SMA200_위 + BB_%B_중간반등,2,260,0.5308,0.0083,2.0352
RSI7_과매도(25이하) + STOCH14_과매도(20이하),2,409,0.5306,0.0227,102.3022
RSI14_과매도(30이하) + RSI7_과매도(25이하) + STOCH14_골든크로스,3,49,0.5306,0.017,0.3153
RSI14_과매도(30이하) + MACD_히스토_증가 + 가격_SMA200_위,3,49,0.5306,0.0152,0.5869
가격_SMA50_위 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,920,0.5304,0.0086,8.2829
RSI14_중립반등(40~50) + STOCH21_과매도(20이하),2,181,0.5304,0.0112,1.5299
RSI14_중립반등(40~50) + ADX14_추세상승(+DI>-DI),2,181,0.5304,0.0108,1.3395
RSI14_과매도(35이하) + RSI7_과매도(25이하) + MACD_히스토_증가,3,115,0.5304,0.0372,16.1588
STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),2,330,0.5303,0.0121,7.0076
MACD_히스토_증가 + STOCH21_과매도(20이하) + OBV_SMA위,3,66,0.5303,0.0241,2.0958
ADX14_강세(25이상) + 거래량_증가(1.5배),2,234,0.5299,0.0108,2.2731
RSI14_과매도(30이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,285,0.5298,0.0305,119.4933
가격_SMA50_위 + STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),3,253,0.5296,0.0094,1.583
ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),2,1171,0.5295,0.0095,13.945
BB_%B_과매도(0.2이하) + ADX14_강세(25이상) + OBV_SMA위,3,34,0.5294,0.0329,1.4326
ADX14_강세(25이상) + 거래량_급증(2배이상) + OBV_SMA위,3,34,0.5294,0.0315,0.9194
ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상) + OBV_SMA위,3,34,0.5294,0.0579,3.0733
RSI14_과매도(30이하) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,257,0.5292,0.0313,77.8204
RSI14_과매도(35이하),1,584,0.5291,0.028,6873.0705
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,361,0.5291,0.0264,95.3839
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,346,0.5289,0.0242,91.3359
ADX14_강세(25이상) + OBV_SMA위,2,1165,0.5288,0.0099,18.713
RSI14_과매도(35이하) + 거래량_증가(1.5배),2,53,0.5283,-0.0042,-0.3957
가격_SMA50_위 + BB_%B_중간반등 + STOCH14_골든크로스,3,53,0.5283,0.0096,0.3743
STOCH14_과매도(20이하) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,53,0.5283,0.012,0.4532
BB_%B_중간반등,1,534,0.5281,0.0138,20.4319
BB_%B_중간반등 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,197,0.5279,0.0251,23.2036
STOCH14_과매도(20이하) + ADX14_강세(25이상) + OBV_SMA위,3,72,0.5278,0.0101,0.426
RSI14_과매도(35이하) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,36,0.5278,0.0026,-0.085
RSI7_과매도(25이하) + 가격_SMA50_위 + STOCH14_과매도(20이하),3,36,0.5278,0.0034,-0.0589
MACD_히스토_증가 + ADX14_강세(25이상) + 거래량_급증(2배이상),3,36,0.5278,0.0047,0.0681
RSI14_과매도(35이하) + ADX14_강세(25이상),2,444,0.527,0.0228,263.0078
RSI7_과매도(25이하) + STOCH21_과매도(20이하),2,391,0.5269,0.0208,34.4185
RSI7_과매도(25이하) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,224,0.5268,0.0332,60.6314
가격_SMA50_위 + ADX14_강세(25이상) + OBV_SMA위,3,811,0.5265,0.0088,5.0464
가격_SMA50_위 + ADX14_강세(25이상),2,1081,0.5264,0.0084,10.9841
RSI14_중립반등(40~50) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,76,0.5263,0.0054,0.1037
가격_SMA200_위 + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,38,0.5263,-0.0038,-0.391
RSI7_과매도(25이하),1,489,0.5256,0.0187,55.4016
RSI14_과매도(30이하) + BB_%B_과매도(0.2이하) + STOCH14_골든크로스,3,59,0.5254,0.015,0.3921
BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,356,0.5253,0.0238,94.619
SMA20_골든크로스(50) + 가격_SMA200_위 + BB_%B_중간반등,3,40,0.525,-0.0011,-0.1731
가격_SMA200_위 + ADX14_강세(25이상),2,1090,0.5248,0.0095,49.0686
RSI7_과매도(25이하) + 가격_SMA200_위 + ADX14_강세(25이상),3,101,0.5248,0.0045,-0.3494
RSI14_중립반등(40~50) + RSI7_과매도(25이하),2,103,0.5243,0.0019,-0.3352
BB_%B_과매도(0.2이하) + ADX14_강세(25이상),2,374,0.5241,0.0232,106.0634
BB_하단터치(1.5σ) + ADX14_강세(25이상),2,229,0.524,0.0214,8.0626
BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,229,0.524,0.0214,8.0626
ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI) + 거래량_증가(1.5배),3,147,0.5238,0.0109,0.9197
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + STOCH21_과매도(20이하),3,63,0.5238,-0.0079,-0.5783
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + ADX14_추세상승(+DI>-DI),3,21,0.5238,-0.0071,-0.2931
RSI14_중립반등(40~50) + STOCH21_과매도(20이하) + 거래량_증가(1.5배),3,21,0.5238,0.0087,0.075
RSI14_중립반등(40~50) + 가격_SMA200_위 + ADX14_강세(25이상),3,153,0.5229,0.0128,2.9645
ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상),2,44,0.5227,0.0447,2.9171
ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상) + 거래량_증가(1.5배),3,44,0.5227,0.0447,2.9171
STOCH14_골든크로스 + ADX14_강세(25이상) + OBV_SMA위,3,245,0.5224,0.0075,0.8525
RSI14_과매도(35이하) + RSI7_과매도(25이하),2,270,0.5222,0.0244,16.2473
BB_하단터치(1.5σ) + ADX14_강세(25이상) + 거래량_증가(1.5배),3,23,0.5217,0.0091,0.1551
가격_SMA50_위 + STOCH14_골든크로스 + OBV_SMA위,3,236,0.5212,0.0091,1.0284
MACD_히스토_증가 + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,219,0.5205,0.0303,95.8261
가격_SMA200_위 + 가격_SMA50_위 + ADX14_추세상승(+DI>-DI),3,930,0.5204,0.0086,5.3742
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하),2,369,0.5203,0.0248,64.4229
ADX14_추세상승(+DI>-DI) + OBV_SMA위,2,1290,0.5202,0.0101,3.9688
BB_하단터치(1.5σ) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,223,0.5202,0.0212,6.7
RSI14_중립반등(40~50) + STOCH14_과매도(20이하),2,198,0.5202,0.016,6.9093
BB_%B_중간반등 + ADX14_강세(25이상) + OBV_SMA위,3,198,0.5202,0.0235,16.3445
BB_%B_중간반등 + OBV_SMA위,2,298,0.5201,0.0184,19.6686
MACD_히스토_증가 + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,50,0.52,0.0403,3.4293
RSI14_과매도(35이하) + 가격_SMA200_위 + OBV_SMA위,3,25,0.52,0.0476,1.6392
BB_하단터치(1.5σ) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,227,0.5198,0.0209,6.8069
RSI14_과매도(35이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,381,0.5197,0.0239,121.0302
거래량_증가(1.5배),1,356,0.5197,0.0105,2.5849
MACD_골든크로스 + OBV_SMA위,2,77,0.5195,0.0028,-0.2623
MACD_히스토_전환(+) + OBV_SMA위,2,77,0.5195,0.0028,-0.2623
MACD_골든크로스 + MACD_히스토_전환(+) + OBV_SMA위,3,77,0.5195,0.0028,-0.2623
MACD_골든크로스 + MACD_히스토_증가 + OBV_SMA위,3,77,0.5195,0.0028,-0.2623
MACD_히스토_전환(+) + MACD_히스토_증가 + OBV_SMA위,3,77,0.5195,0.0028,-0.2623
STOCH14_과매도(20이하) + STOCH21_과매도(20이하),2,697,0.5194,0.02,955.071
MACD_히스토_증가 + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,310,0.5194,0.0286,534.8381
가격_SMA50_위 + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,183,0.5191,0.008,0.8178
가격_SMA200_위 + ADX14_강세(25이상) + 거래량_증가(1.5배),3,131,0.5191,0.0011,-0.293
RSI7_과매도(25이하) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,158,0.519,0.032,11.9416
MACD_히스토_증가 + ADX14_강세(25이상) + OBV_SMA위,3,636,0.5189,0.0042,-0.7827
MACD_히스토_증가 + STOCH14_골든크로스 + ADX14_추세상승(+DI>-DI),3,212,0.5189,0.0067,0.3963
RSI14_과매도(35이하) + BB_%B_과매도(0.2이하) + ADX14_강세(25이상),3,266,0.5188,0.0277,43.818
RSI7_과매도(25이하) + BB_%B_중간반등 + ADX14_강세(25이상),3,27,0.5185,0.0151,0.3305
RSI14_과매도(35이하) + STOCH21_과매도(20이하),2,494,0.5182,0.025,360.2286
가격_SMA200_위 + STOCH14_골든크로스,2,330,0.5182,0.0078,1.4214
ADX14_추세상승(+DI>-DI),1,1708,0.5181,0.009,6.6904
BB_%B_중간반등 + ADX14_강세(25이상),2,332,0.5181,0.0176,34.196
가격_SMA50_위 + ADX14_강세(25이상) + 거래량_증가(1.5배),3,139,0.518,0.0008,-0.3859
OBV_SMA위,1,1665,0.5177,0.0101,24.6592
RSI21_과매도(30이하) + MACD_히스토_증가 + ADX14_강세(25이상),3,170,0.5176,0.0292,26.3265
가격_SMA200_위 + BB_%B_중간반등 + ADX14_강세(25이상),3,170,0.5176,0.0058,0.3204
가격_SMA200_위 + ADX14_추세상승(+DI>-DI),2,1063,0.5174,0.0084,9.5368
STOCH21_과매도(20이하),1,835,0.5174,0.0215,12432.9715
가격_SMA200_위 + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,116,0.5172,-0.0049,-0.79
RSI14_중립반등(40~50) + 가격_SMA50_위 + STOCH14_과매도(20이하),3,58,0.5172,0.0161,0.7654
RSI14_중립반등(40~50) + MACD_골든크로스,2,29,0.5172,-0.0007,-0.1026
RSI14_중립반등(40~50) + MACD_히스토_전환(+),2,29,0.5172,-0.0007,-0.1026
RSI14_중립반등(40~50) + MACD_골든크로스 + MACD_히스토_전환(+),3,29,0.5172,-0.0007,-0.1026
RSI14_중립반등(40~50) + MACD_골든크로스 + MACD_히스토_증가,3,29,0.5172,-0.0007,-0.1026
RSI14_중립반등(40~50) + MACD_히스토_전환(+) + MACD_히스토_증가,3,29,0.5172,-0.0007,-0.1026
가격_SMA200_위 + ADX14_추세상승(+DI>-DI) + 거래량_급증(2배이상),3,29,0.5172,0.0024,-0.0162
ADX14_강세(25이상),1,2052,0.5171,0.0108,1528.6715
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,234,0.5171,0.0213,3.1826
가격_SMA200_위 + BB_하단터치(1.5σ),2,118,0.5169,-0.0047,-0.7873
가격_SMA200_위 + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,118,0.5169,-0.0047,-0.7873
MACD_히스토_증가 + BB_하단터치(1.5σ),2,60,0.5167,0.0308,2.4807
MACD_히스토_증가 + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,60,0.5167,0.0308,2.4807
MACD_히스토_증가 + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,60,0.5167,0.0308,2.4807
RSI14_과매도(30이하) + RSI21_과매도(30이하),2,151,0.5166,0.0385,14.0885
RSI14_과매도(30이하) + RSI14_과매도(35이하) + RSI21_과매도(30이하),3,151,0.5166,0.0385,14.0885
가격_SMA200_위 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,796,0.5163,0.0087,3.8498
STOCH14_과매도(20이하),1,802,0.5162,0.019,2424.0583
가격_SMA200_위 + OBV_SMA위,2,932,0.5161,0.0087,6.6249
SMA20_골든크로스(50) + BB_%B_중간반등,2,93,0.5161,0.0089,0.4947
가격_SMA50_위 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,1022,0.5157,0.008,0.6965
RSI14_과매도(35이하) + RSI7_과매도(25이하) + BB_하단터치(1.5σ),3,192,0.5156,0.0185,1.2923
가격_SMA200_위 + 가격_SMA50_위,2,1133,0.5154,0.0069,1.611
가격_SMA200_위 + 가격_SMA50_위 + 거래량_급증(2배이상),3,33,0.5152,0.0017,-0.0477
가격_SMA200_위 + 가격_SMA50_위 + OBV_SMA위,3,798,0.515,0.0083,2.1407
RSI14_과매도(35이하) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,437,0.5149,0.0224,73.0578
가격_SMA50_위 + ADX14_추세상승(+DI>-DI),2,1280,0.5148,0.007,-0.0397
RSI21_과매도(30이하) + MACD_히스토_증가,2,173,0.5145,0.0272,18.9612
가격_SMA200_위 + STOCH14_과매도(20이하) + OBV_SMA위,3,35,0.5143,0.0236,0.9229
가격_SMA50_위 + STOCH14_골든크로스,2,329,0.5137,0.0051,-0.5198
STOCH21_과매도(20이하) + ADX14_강세(25이상),2,551,0.5136,0.0202,453.0706
RSI14_과매도(35이하) + STOCH14_과매도(20이하),2,444,0.5135,0.0221,72.4959
RSI14_중립반등(40~50) + SMA20_골든크로스(50) + BB_%B_중간반등,3,37,0.5135,0.014,0.3862
RSI7_과매도(25이하) + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,37,0.5135,0.0035,-0.0798
EMA7_골든크로스(20) + 가격_SMA200_위 + 가격_SMA50_위,3,37,0.5135,-0.005,-0.2455
MACD_히스토_증가 + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,263,0.5133,0.027,90.9817
MACD_히스토_증가 + STOCH14_과매도(20이하),2,269,0.513,0.0269,103.4492
RSI14_과매도(35이하) + MACD_히스토_증가 + STOCH21_과매도(20이하),3,269,0.513,0.0271,110.3609
RSI14_중립반등(40~50) + 가격_SMA200_위 + STOCH21_과매도(20이하),3,78,0.5128,0.0031,-0.11
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,238,0.5126,0.0205,2.6924
RSI14_중립반등(40~50) + ADX14_강세(25이상) + OBV_SMA위,3,123,0.5122,0.0117,1.412
RSI14_과매도(35이하) + OBV_SMA위,2,82,0.5122,0.0193,1.9874
RSI14_과매도(35이하) + STOCH14_과매도(20이하) + 거래량_증가(1.5배),3,43,0.5116,-0.0065,-0.401
가격_SMA50_위 + 거래량_급증(2배이상),2,45,0.5111,0.0088,0.2586
가격_SMA50_위 + 거래량_급증(2배이상) + 거래량_증가(1.5배),3,45,0.5111,0.0088,0.2586
RSI14_과매도(30이하) + RSI21_과매도(30이하) + BB_%B_과매도(0.2이하),3,94,0.5106,0.0522,8.0044
가격_SMA200_위 + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,47,0.5106,-0.0044,-0.4456
가격_SMA50_위 + OBV_SMA위,2,1150,0.5104,0.0077,0.4211
STOCH14_과매도(20이하) + STOCH21_과매도(20이하) + ADX14_강세(25이상),3,439,0.5103,0.0196,66.3285
RSI14_과매도(30이하) + RSI21_과매도(30이하) + ADX14_강세(25이상),3,145,0.5103,0.042,21.0759
RSI14_중립반등(40~50) + 가격_SMA200_위 + ADX14_추세상승(+DI>-DI),3,98,0.5102,0.0032,-0.098
MACD_히스토_증가 + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,98,0.5102,0.0023,-0.1698
SMA20_골든크로스(50) + 가격_SMA50_위 + BB_%B_중간반등,3,49,0.5102,0.0045,0.0366
MACD_히스토_증가 + 거래량_급증(2배이상),2,51,0.5098,0.0227,1.3193
MACD_히스토_증가 + 거래량_급증(2배이상) + 거래량_증가(1.5배),3,51,0.5098,0.0227,1.3193
가격_SMA200_위 + STOCH21_과매도(20이하),2,259,0.5097,0.0025,-0.6929
가격_SMA200_위 + STOCH14_골든크로스 + STOCH21_과매도(20이하),3,53,0.5094,-0.0039,-0.481
가격_SMA50_위,1,1585,0.5091,0.0055,-0.9593
SMA20_골든크로스(50) + BB_%B_중간반등 + ADX14_추세상승(+DI>-DI),3,55,0.5091,0.0062,0.1459
RSI14_과매도(35이하) + STOCH14_과매도(20이하) + ADX14_강세(25이상),3,334,0.509,0.0229,37.9077
RSI14_과매도(35이하) + MACD_히스토_증가 + STOCH14_과매도(20이하),3,222,0.509,0.029,63.5338
STOCH14_과매도(20이하) + ADX14_강세(25이상),2,509,0.5088,0.0186,116.6314
STOCH14_골든크로스 + OBV_SMA위,2,340,0.5088,0.0102,2.9425
가격_SMA200_위 + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,114,0.5088,-0.0055,-0.8033
RSI14_중립반등(40~50) + OBV_SMA위,2,236,0.5085,0.0173,9.5769
MACD_골든크로스 + 가격_SMA50_위,2,59,0.5085,0.0036,-0.1923
MACD_히스토_전환(+) + 가격_SMA50_위,2,59,0.5085,0.0036,-0.1923
MACD_골든크로스 + MACD_히스토_전환(+) + 가격_SMA50_위,3,59,0.5085,0.0036,-0.1923
MACD_골든크로스 + MACD_히스토_증가 + 가격_SMA50_위,3,59,0.5085,0.0036,-0.1923
MACD_히스토_전환(+) + MACD_히스토_증가 + 가격_SMA50_위,3,59,0.5085,0.0036,-0.1923
MACD_히스토_증가 + STOCH21_과매도(20이하),2,364,0.5082,0.0252,410.9472
BB_하단터치(2σ) + STOCH21_과매도(20이하),2,124,0.5081,-0.0054,-0.7939
BB_하단터치(2σ) + BB_하단터치(1.5σ) + STOCH21_과매도(20이하),3,124,0.5081,-0.0054,-0.7939
BB_하단터치(2σ) + BB_%B_과매도(0.2이하) + STOCH21_과매도(20이하),3,124,0.5081,-0.0054,-0.7939
가격_SMA200_위,1,1583,0.5079,0.0065,1.4809
RSI14_과매도(30이하) + RSI21_과매도(30이하) + STOCH14_과매도(20이하),3,128,0.5078,0.0448,14.7138
가격_SMA200_위 + STOCH14_과매도(20이하),2,270,0.5074,0.0042,-0.4607
MACD_히스토_증가 + SMA20_골든크로스(50) + BB_%B_중간반등,3,71,0.507,-0.0004,-0.2565
RSI14_중립반등(40~50) + MACD_히스토_증가 + OBV_SMA위,3,144,0.5069,0.0039,-0.1459
RSI14_과매도(35이하) + BB_하단터치(1.5σ),2,241,0.5062,0.0194,1.9746
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,241,0.5062,0.0194,1.9746
RSI14_과매도(35이하) + BB_하단터치(1.5σ) + ADX14_강세(25이상),3,162,0.5062,0.0238,3.1561
MACD_히스토_증가 + OBV_SMA위,2,947,0.5058,0.0043,-0.9627
MACD_히스토_증가 + SMA20_골든크로스(50) + ADX14_추세상승(+DI>-DI),3,97,0.5052,0.0084,-0.1305
RSI14_과매도(35이하) + MACD_히스토_증가 + 가격_SMA200_위,3,99,0.5051,0.0143,1.3265
거래량_증가(1.5배) + OBV_SMA위,2,202,0.505,0.0093,0.1892
가격_SMA200_위 + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,212,0.5047,-0.0003,-0.8072
MACD_골든크로스,1,113,0.5044,0.0101,0.6007
MACD_히스토_전환(+),1,113,0.5044,0.0101,0.6007
MACD_골든크로스 + MACD_히스토_전환(+),2,113,0.5044,0.0101,0.6007
MACD_골든크로스 + MACD_히스토_증가,2,113,0.5044,0.0101,0.6007
MACD_히스토_전환(+) + MACD_히스토_증가,2,113,0.5044,0.0101,0.6007
RSI14_과매도(30이하) + RSI21_과매도(30이하) + MACD_히스토_증가,3,113,0.5044,0.0321,7.8164
MACD_골든크로스 + MACD_히스토_전환(+) + MACD_히스토_증가,3,113,0.5044,0.0101,0.6007
MACD_히스토_증가 + ADX14_강세(25이상),2,1075,0.5042,0.0078,2.8501
BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하) + STOCH14_골든크로스,3,119,0.5042,0.0115,0.7407
MACD_히스토_증가 + BB_%B_중간반등,2,254,0.5039,0.0027,-0.5637
MACD_히스토_증가 + ADX14_강세(25이상) + ADX14_추세상승(+DI>-DI),3,526,0.5038,0.0007,-0.9549
RSI14_과매도(30이하) + RSI21_과매도(30이하) + STOCH21_과매도(20이하),3,147,0.5034,0.0383,11.6388
MACD_히스토_증가 + SMA20_골든크로스(50),2,161,0.5031,0.0063,-0.1975
RSI21_과매도(30이하),1,241,0.5021,0.0265,16.5095
MACD_히스토_증가 + 가격_SMA50_위 + ADX14_강세(25이상),3,504,0.502,0.0033,-0.6202
MACD_히스토_증가 + ADX14_추세상승(+DI>-DI) + OBV_SMA위,3,684,0.5,0.0028,-0.9827
RSI14_중립반등(40~50) + ADX14_강세(25이상),2,316,0.5,0.0083,2.8037
SMA20_골든크로스(50),1,188,0.5,0.0094,0.4323
RSI14_과매도(35이하) + RSI21_과매도(30이하) + MACD_히스토_증가,3,132,0.5,0.0287,8.6512
BB_하단터치(2σ),1,126,0.5,-0.0066,-0.8275
BB_하단터치(2σ) + BB_하단터치(1.5σ),2,126,0.5,-0.0066,-0.8275
BB_하단터치(2σ) + BB_%B_과매도(0.2이하),2,126,0.5,-0.0066,-0.8275
MACD_히스토_증가 + ADX14_강세(25이상) + 거래량_증가(1.5배),3,126,0.5,-0.0003,-0.4513
BB_하단터치(2σ) + BB_하단터치(1.5σ) + BB_%B_과매도(0.2이하),3,126,0.5,-0.0066,-0.8275
BB_하단터치(2σ) + STOCH14_과매도(20이하),2,122,0.5,-0.0062,-0.8101
RSI14_과매도(35이하) + 가격_SMA200_위 + ADX14_강세(25이상),3,122,0.5,-0.0004,-0.649
BB_하단터치(2σ) + BB_하단터치(1.5σ) + STOCH14_과매도(20이하),3,122,0.5,-0.0062,-0.8101
BB_하단터치(2σ) + BB_%B_과매도(0.2이하) + STOCH14_과매도(20이하),3,122,0.5,-0.0062,-0.8101
BB_하단터치(2σ) + STOCH14_과매도(20이하) + STOCH21_과매도(20이하),3,122,0.5,-0.0062,-0.8101
MACD_히스토_증가 + 가격_SMA200_위 + STOCH21_과매도(20이하),3,102,0.5,0.0194,2.5547
RSI14_과매도(35이하) + RSI7_과매도(25이하) + RSI21_과매도(30이하),3,98,0.5,0.053,8.274
STOCH21_과매도(20이하) + ADX14_강세(25이상) + OBV_SMA위,3,86,0.5,0.018,1.7658
RSI7_과매도(25이하) + BB_하단터치(2σ) + STOCH21_과매도(20이하),3,82,0.5,-0.0035,-0.668
RSI14_중립반등(40~50) + RSI7_과매도(25이하) + STOCH14_과매도(20이하),3,78,0.5,0.001,-0.2699
RSI14_중립반등(40~50) + MACD_히스토_증가 + ADX14_추세상승(+DI>-DI),3,72,0.5,-0.0121,-0.6862
