date,google_trend_bitcoin
2023-10-15,18
2023-10-22,26
2023-10-29,21
2023-11-05,23
2023-11-12,22
2023-11-19,21
2023-11-26,20
2023-12-03,31
2023-12-10,25
2023-12-17,23
2023-12-24,23
2023-12-31,29
2024-01-07,44
2024-01-14,26
2024-01-21,23
2024-01-28,20
2024-02-04,19
2024-02-11,30
2024-02-18,24
2024-02-25,44
2024-03-03,52
2024-03-10,47
2024-03-17,39
2024-03-24,34
2024-03-31,31
2024-04-07,31
2024-04-14,43
2024-04-21,26
2024-04-28,26
2024-05-05,22
2024-05-12,22
2024-05-19,23
2024-05-26,20
2024-06-02,21
2024-06-09,20
2024-06-16,18
2024-06-23,19
2024-06-30,21
2024-07-07,21
2024-07-14,23
2024-07-21,23
2024-07-28,22
2024-08-04,33
2024-08-11,22
2024-08-18,21
2024-08-25,19
2024-09-01,19
2024-09-08,20
2024-09-15,20
2024-09-22,19
2024-09-29,17
2024-10-06,18
2024-10-13,18
2024-10-20,17
2024-10-27,23
2024-11-03,35
2024-11-10,64
2024-11-17,54
2024-11-24,42
2024-12-01,49
2024-12-08,40
2024-12-15,45
2024-12-22,37
2024-12-29,33
2025-01-05,48
2025-01-12,48
2025-01-19,61
2025-01-26,45
2025-02-02,47
2025-02-09,36
2025-02-16,33
2025-02-23,50
2025-03-02,54
2025-03-09,48
2025-03-16,35
2025-03-23,33
2025-03-30,37
2025-04-06,46
2025-04-13,28
2025-04-20,35
2025-04-27,30
2025-05-04,33
2025-05-11,33
2025-05-18,41
2025-05-25,35
2025-06-01,31
2025-06-08,32
2025-06-15,28
2025-06-22,30
2025-06-29,29
2025-07-06,38
2025-07-13,48
2025-07-20,39
2025-07-27,39
2025-08-03,48
2025-08-10,69
2025-08-17,61
2025-08-24,54
2025-08-31,45
2025-09-07,41
2025-09-14,40
2025-09-21,41
2025-09-28,43
2025-10-05,56
2025-10-12,61
2025-10-19,47
2025-10-26,43
2025-11-02,51
2025-11-09,50
2025-11-16,82
2025-11-23,61
2025-11-30,64
2025-12-07,45
2025-12-14,45
2025-12-21,37
2025-12-28,36
2026-01-04,37
2026-01-11,36
2026-01-18,37
2026-01-25,46
2026-02-01,100
2026-02-08,66
2026-02-15,48
2026-02-22,54
2026-03-01,55
2026-03-08,47
2026-03-15,46
2026-03-22,43
2026-03-29,42
2026-04-05,43
2026-04-12,43
2026-04-19,37
2026-04-26,34
2026-05-03,40
2026-05-10,36
2026-05-17,36
2026-05-24,33
2026-05-31,48
2026-06-07,43
2026-06-14,40
2026-06-21,40
2026-06-28,38
2026-07-05,36
2026-07-12,29
2026-07-19,32
2026-07-26,30
2026-08-02,25
2026-08-09,25
2026-08-16,24
