date,sp500,nasdaq,gold,dxy,vix,us10y
2016-08-22,186.14675903320312,109.50357055664062,1337.699951171875,94.5199966430664,12.270000457763672,1.5390000343322754
2016-08-23,186.5215606689453,109.69953155517578,1340.5999755859375,94.54000091552734,12.380000114440918,1.5529999732971191
2016-08-24,185.56752014160156,108.99037170410156,1324.4000244140625,94.79000091552734,13.449999809265137,1.559000015258789
2016-08-25,185.4397430419922,108.81307983398438,1320.0999755859375,94.7699966430664,13.630000114440918,1.5770000219345093
2016-08-26,185.09051513671875,108.9716796875,1321.5,95.56999969482422,13.649999618530273,1.6349999904632568
2016-08-29,186.00196838378906,109.12100219726562,1322.9000244140625,95.58000183105469,12.9399995803833,1.565999984741211
2016-08-30,185.6953125,108.76639556884766,1311.699951171875,96.05000305175781,13.119999885559082,1.5700000524520874
2016-08-31,185.1671905517578,108.65444946289062,1306.9000244140625,96.0199966430664,13.420000076293945,1.5679999589920044
2016-09-01,185.17568969726562,108.93434143066406,1312.199951171875,95.6500015258789,13.479999542236328,1.5700000524520874
2016-09-02,186.01046752929688,109.28895568847656,1322.0999755859375,95.87999725341797,11.979999542236328,1.5959999561309814
2016-09-06,186.5726318359375,109.97016143798828,1349.4000244140625,94.81999969482422,12.020000457763672,1.5429999828338623
2016-09-07,186.5555877685547,110.03546905517578,1344.300048828125,94.95999908447266,11.9399995803833,1.5410000085830688
2016-09-08,186.12969970703125,109.39161682128906,1336.800048828125,95.02999877929688,12.510000228881836,1.6160000562667847
2016-09-09,181.6746826171875,106.63885498046875,1330.0999755859375,95.33999633789062,17.5,1.6720000505447388
2016-09-12,184.28126525878906,108.55181121826172,1321.0,95.0999984741211,15.15999984741211,1.6720000505447388
2016-09-13,181.63209533691406,107.58134460449219,1319.0,95.62999725341797,17.850000381469727,1.7339999675750732
2016-09-14,181.56399536132812,108.09452056884766,1321.5,95.33000183105469,18.139999389648438,1.6890000104904175
2016-09-15,183.3783416748047,109.77420806884766,1313.5,95.29000091552734,16.299999237060547,1.7029999494552612
