entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-01-01 00:00:00,LONG,3725.82,3744.45,tp,0.004,1,0.6954,1
2022-01-02 08:00:00,LONG,3745.88,3764.61,tp,0.004,1,0.7013,1
2022-02-06 20:00:00,SHORT,3053.46,3038.2,tp,0.004025,1,0.688,1
2022-02-07 00:00:00,SHORT,3067.29,3076.49,sl,-0.003991,0,0.7387,1
2022-02-07 04:00:00,SHORT,3077.94,3062.55,tp,0.004025,1,0.7332,1
2022-02-07 16:00:00,SHORT,3165.06,3149.23,tp,0.004025,1,0.6609,1
2022-02-11 00:00:00,SHORT,3079.54,3064.14,tp,0.004025,1,0.7659,1
2022-02-11 04:00:00,SHORT,3096.79,3081.31,tp,0.004025,1,0.7711,1
2022-02-11 08:00:00,SHORT,3086.76,3096.02,sl,-0.003991,0,0.8266,1
2022-02-11 12:00:00,SHORT,3101.38,3085.87,tp,0.004025,1,0.8039,1
2022-02-11 16:00:00,SHORT,2991.39,2976.44,tp,0.004025,1,0.682,1
2022-03-15 00:00:00,LONG,2545.44,2558.17,tp,0.004,1,0.6524,1
2022-03-15 04:00:00,LONG,2533.54,2525.94,sl,-0.004,0,0.6844,1
2022-03-15 08:00:00,LONG,2536.07,2548.75,tp,0.004,1,0.7449,1
2022-03-15 12:00:00,LONG,2572.92,2585.78,tp,0.004,1,0.8436,1
2022-03-26 20:00:00,SHORT,3143.43,3152.86,sl,-0.003991,0,0.6896,1
2022-04-05 00:00:00,SHORT,3522.16,3532.72,sl,-0.003991,0,0.7193,2
2022-04-05 04:00:00,SHORT,3525.17,3507.54,tp,0.004025,1,0.6916,2
2022-04-10 04:00:00,LONG,3244.85,3235.12,sl,-0.004,0,0.7601,2
2022-04-10 08:00:00,LONG,3253.41,3243.65,sl,-0.004,0,0.8334,2
2022-04-10 12:00:00,LONG,3257.67,3273.96,tp,0.004,1,0.7713,2
2022-04-16 16:00:00,LONG,3025.9,3041.03,tp,0.004,1,0.8125,2
2022-04-16 20:00:00,LONG,3060.83,3051.65,sl,-0.004,0,0.7844,2
2022-04-17 00:00:00,LONG,3030.89,3046.05,tp,0.004,1,0.6746,2
2022-04-17 04:00:00,LONG,3039.49,3054.69,tp,0.004,1,0.7075,2
2022-04-17 08:00:00,LONG,3049.57,3064.82,tp,0.004,1,0.6891,2
2022-04-17 16:00:00,LONG,3053.61,3068.87,tp,0.004,1,0.7054,2
2022-04-24 12:00:00,LONG,2945.29,2960.02,tp,0.004,1,0.6551,2
2022-05-04 00:00:00,LONG,2799.44,2813.44,tp,0.004,1,0.7925,2
2022-05-04 04:00:00,LONG,2830.83,2844.99,tp,0.004,1,0.6795,2
2022-05-04 12:00:00,LONG,2845.68,2859.91,tp,0.004,1,0.6943,2
2022-05-17 00:00:00,LONG,2074.53,2084.9,tp,0.004,1,0.728,2
2022-05-17 04:00:00,LONG,2071.68,2082.03,tp,0.004,1,0.6763,2
2022-05-17 12:00:00,LONG,2062.11,2055.92,sl,-0.004,0,0.6601,2
2022-05-17 16:00:00,LONG,2047.68,2057.92,tp,0.004,1,0.6987,2
2022-05-24 08:00:00,LONG,1967.34,1961.44,sl,-0.004,0,0.6811,2
2022-05-26 00:00:00,LONG,1949.43,1943.59,sl,-0.004,0,0.7252,2
2022-05-26 04:00:00,LONG,1927.32,1921.54,sl,-0.004,0,0.7504,2
2022-06-28 08:00:00,SHORT,1222.87,1216.75,tp,0.004025,1,0.6635,2
2022-06-28 12:00:00,SHORT,1183.1,1177.18,tp,0.004025,1,0.7157,2
2022-09-06 00:00:00,SHORT,1639.56,1644.48,sl,-0.003991,0,0.7489,3
2022-09-06 12:00:00,SHORT,1669.02,1660.67,tp,0.004025,1,0.6703,3
2022-09-13 00:00:00,SHORT,1715.26,1706.69,tp,0.004025,1,0.7858,3
2022-09-13 04:00:00,SHORT,1715.13,1720.28,sl,-0.003991,0,0.7268,3
2022-09-13 08:00:00,SHORT,1736.76,1728.08,tp,0.004025,1,0.7439,3
2022-09-23 00:00:00,SHORT,1340.1,1333.4,tp,0.004025,1,0.6584,3
2022-10-10 04:00:00,SHORT,1316.04,1309.46,tp,0.004025,1,0.6798,4
2022-10-10 08:00:00,SHORT,1314.34,1307.77,tp,0.004025,1,0.6661,4
2022-10-11 00:00:00,SHORT,1277.73,1281.56,sl,-0.003991,0,0.6539,4
2022-10-13 04:00:00,LONG,1278.07,1274.23,sl,-0.004,0,0.7036,4
2022-11-05 16:00:00,LONG,1634.06,1629.15,sl,-0.004,0,0.6695,4
2022-11-06 00:00:00,LONG,1622.05,1617.18,sl,-0.004,0,0.6739,4
2022-11-06 08:00:00,LONG,1621.16,1629.27,tp,0.004,1,0.6895,4
2022-11-28 00:00:00,SHORT,1171.95,1175.47,sl,-0.003991,0,0.8348,4
2022-11-28 04:00:00,SHORT,1173.44,1167.58,tp,0.004025,1,0.7587,4
2022-11-28 08:00:00,SHORT,1169.77,1163.93,tp,0.004025,1,0.7566,4
2022-11-28 12:00:00,SHORT,1162.91,1157.09,tp,0.004025,1,0.7429,4
2022-11-30 00:00:00,LONG,1265.72,1272.05,tp,0.004,1,0.6996,4
2022-12-05 00:00:00,SHORT,1290.2,1294.08,sl,-0.003991,0,0.7037,4
2022-12-05 04:00:00,SHORT,1296.43,1300.32,sl,-0.003991,0,0.7129,4
2022-12-05 12:00:00,SHORT,1265.96,1259.63,tp,0.004025,1,0.7156,4
2022-12-05 16:00:00,SHORT,1253.04,1256.8,sl,-0.003991,0,0.7453,4
2022-12-28 00:00:00,SHORT,1197.12,1191.14,tp,0.004025,1,0.6904,4
2022-12-28 04:00:00,SHORT,1193.99,1197.57,sl,-0.003991,0,0.7249,4
2022-12-28 08:00:00,SHORT,1195.7,1189.72,tp,0.004025,1,0.7128,4
