fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,17514,2160,748,349,399,0.7032,0.6848,0.7193,0.164,122.418,0.65,0.65
2,2022-04-01,2022-07-01,19674,2184,909,536,373,0.7426,0.7519,0.7292,0.195,177.171,0.65,0.65
3,2022-07-01,2022-10-01,21858,2208,253,146,107,0.5968,0.5616,0.6449,0.078,19.807,0.65,0.65
4,2022-10-01,2023-01-01,24066,2208,212,123,89,0.6887,0.6585,0.7303,0.152,32.184,0.65,0.65
5,2023-01-01,2023-04-01,26274,2159,235,119,116,0.6383,0.6555,0.6207,0.112,26.22,0.65,0.65
6,2023-04-01,2023-07-01,28433,2184,148,96,52,0.6149,0.6458,0.5577,0.093,13.693,0.65,0.65
7,2023-07-01,2023-10-01,30617,2208,69,22,47,0.6667,0.9091,0.5532,0.135,9.284,0.65,0.65
8,2023-10-01,2024-01-01,32825,2208,392,180,212,0.6735,0.6944,0.6557,0.14,54.813,0.65,0.65
9,2024-01-01,2024-04-01,35033,2184,508,245,263,0.7106,0.7143,0.7072,0.17,86.134,0.65,0.65
