fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,3299,546,11,1,10,0.9091,1.0,0.9,0.329,3.623,0.65,0.65
3,2022-07-01,2022-10-01,3845,552,10,0,10,0.7,0.0,0.7,0.162,1.62,0.65,0.65
4,2022-10-01,2023-01-01,4397,552,38,31,7,0.6579,0.6452,0.7143,0.127,4.814,0.65,0.65
5,2023-01-01,2023-04-01,4949,540,8,5,3,0.75,0.6,1.0,0.201,1.608,0.65,0.65
6,2023-04-01,2023-07-01,5489,546,9,0,9,0.6667,0.0,0.6667,0.135,1.218,0.65,0.65
7,2023-07-01,2023-10-01,6035,552,23,1,22,0.7826,0.0,0.8182,0.228,5.249,0.65,0.65
8,2023-10-01,2024-01-01,6587,552,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
9,2024-01-01,2024-04-01,7139,546,3,0,3,1.0,0.0,1.0,0.402,1.207,0.65,0.65
