entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob,fold
2022-01-01 20:00:00,SHORT,177.58,176.69,tp,0.004025,1,0.7065,1
2022-01-01 21:00:00,SHORT,176.3,176.83,sl,-0.003991,0,0.6994,1
2022-01-01 22:00:00,SHORT,177.17,177.7,sl,-0.003991,0,0.6914,1
2022-01-01 23:00:00,SHORT,178.97,178.08,tp,0.004025,1,0.6607,1
2022-01-02 04:00:00,SHORT,175.81,176.34,sl,-0.003991,0,0.6865,1
2022-01-02 08:00:00,SHORT,174.98,175.51,sl,-0.003991,0,0.6595,1
2022-01-03 00:00:00,SHORT,175.18,174.31,tp,0.004025,1,0.7047,1
2022-01-04 12:00:00,SHORT,171.61,170.76,tp,0.004025,1,0.6864,1
2022-01-04 14:00:00,SHORT,172.94,172.08,tp,0.004025,1,0.7333,1
2022-01-04 15:00:00,SHORT,172.12,171.26,tp,0.004025,1,0.6721,1
2022-01-04 16:00:00,SHORT,171.39,170.54,tp,0.004025,1,0.6944,1
2022-01-04 17:00:00,SHORT,170.0,169.15,tp,0.004025,1,0.6808,1
2022-01-20 01:00:00,SHORT,135.06,135.47,sl,-0.003991,0,0.6919,1
2022-02-17 02:00:00,SHORT,101.44,100.93,tp,0.004025,1,0.6929,1
2022-03-14 08:00:00,SHORT,81.33,81.57,sl,-0.003991,0,0.6615,1
2022-03-14 09:00:00,SHORT,81.78,81.37,tp,0.004025,1,0.6872,1
2022-03-14 15:00:00,SHORT,80.93,80.52,tp,0.004025,1,0.6825,1
2022-03-14 16:00:00,SHORT,80.51,80.11,tp,0.004025,1,0.7537,1
2022-03-17 16:00:00,SHORT,89.57,89.12,tp,0.004025,1,0.6961,1
2022-03-19 18:00:00,SHORT,93.13,92.67,tp,0.004025,1,0.6603,1
2022-03-19 19:00:00,SHORT,92.6,92.14,tp,0.004025,1,0.6705,1
2022-03-20 00:00:00,SHORT,91.48,91.03,tp,0.004025,1,0.6899,1
2022-03-22 11:00:00,SHORT,91.95,91.49,tp,0.004025,1,0.666,1
2022-03-22 15:00:00,SHORT,92.51,92.79,sl,-0.003991,0,0.6642,1
2022-03-22 17:00:00,SHORT,92.93,92.47,tp,0.004025,1,0.7215,1
2022-03-22 20:00:00,SHORT,91.75,92.03,sl,-0.003991,0,0.6669,1
2022-03-22 21:00:00,SHORT,92.14,91.68,tp,0.004025,1,0.6573,1
2022-03-23 22:00:00,SHORT,94.29,94.58,sl,-0.003991,0,0.6522,1
2022-03-24 08:00:00,SHORT,97.42,97.71,sl,-0.003991,0,0.6948,1
2022-03-24 09:00:00,SHORT,98.65,98.95,sl,-0.003991,0,0.6673,1
2022-03-25 05:00:00,SHORT,104.09,103.57,tp,0.004025,1,0.6606,1
2022-03-26 22:00:00,SHORT,101.31,101.61,sl,-0.003991,0,0.698,1
2022-03-26 23:00:00,SHORT,101.68,101.98,sl,-0.003991,0,0.7199,1
2022-03-27 00:00:00,SHORT,102.27,102.58,sl,-0.003991,0,0.6513,1
