fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,25632,26208,276,167,109,0.8261,0.7844,0.8899,0.261,72.017,0.65,0.65
3,2022-07-01,2022-10-01,51840,26496,12,9,3,0.75,0.8889,0.3333,0.2,2.404,0.65,0.64
4,2022-10-01,2023-01-01,78336,26496,114,99,15,0.9035,0.8889,1.0,0.323,36.838,0.65,0.65
