name,sig,wr,avg,full,tr,ho,mdd,liq
기준선 · 이평 -12.26%,1899,59.50500263296472,2.4555967081311354,2.5786906180313487,0.8800679387886005,2.9309664861253033,68.29650000000001,12
"볼린저 하단 이탈 (20,2)",10452,50.01913509376196,0.01956931669622126,0.035363788231088725,0.623272362702482,0.060560423134274614,63.31500000000003,19
"볼린저 하단 이탈 (20,2.5)",6037,50.04141129700182,-0.24334494120093464,0.0027527915067824065,0.015018130864798552,0.16248788151575058,74.96385070372908,23
"볼린저 하단 이탈 (20,3)",2185,50.48054919908467,0.14905187680008575,0.14260836446385214,0.14997522485869613,1.0615236497288665,70.05826360575915,11
"볼린저 하단 이탈 (50,2)",5961,46.97198456634793,-0.7879346746903212,0.0011567006267248518,0.01315668724177365,0.08813885523277798,77.32715956558954,24
"볼린저 밴드 복귀 (20,2)",10452,49.46421737466514,0.157082627879466,0.01969882485945375,0.1743545138700068,0.09554036427262141,69.25450000000002,19
"볼린저 밴드 복귀 (20,2.5)",6030,50.0,-0.03056860326338115,0.032090377542555254,0.07125924735015693,0.5087795569678029,67.82217737900181,11
MACD 골든크로스,15520,44.858247422680414,-0.03693003721224439,0.054378187520159445,1.36394916563646,0.038829300175833095,77.74378549926818,18
MACD 골든크로스 (0선 아래),10792,44.39399555226093,-0.4635180033569754,0.0005590517903403555,0.023439760497845515,0.025141783091662012,82.23493152512017,27
MACD 히스토그램 반전,17511,46.3822739992005,-0.12746221701034843,0.06662616008978799,2.0033649613411506,0.030689331560608813,67.18074220123954,14
"MACD (6,13,5) 크로스",20079,46.2423427461527,0.007532193522705823,0.0360656041091904,2.0043526573990755,0.01281530264144241,73.33157058327613,16
스토캐스틱 20 상향돌파,16326,45.963493813548936,-0.21662636640103064,0.004043093518920856,0.17617379104169048,0.023778774523919927,70.15426459733216,26
스토캐스틱 10 상향돌파,12550,46.53386454183267,-0.31485378523845975,0.0009733436160832431,0.09575805318749869,0.010401051569993394,69.5329247028589,23
스토캐스틱 %K-%D 크로스,13823,46.046444331910585,-0.3588437444047566,0.004562646383430961,0.15315049422615942,0.03083853321906104,75.7775548436775,25
일목 구름 상향돌파,8041,44.58400696430792,-0.0626504005011467,0.08058882598448702,1.4757073777162757,0.04928829140932097,72.63515735329527,19
일목 전환-기준 크로스,12241,46.43411485989707,0.2790962914141601,22.423660027866337,91.38041427449414,0.2612685494925369,41.286010156659245,2
거래량 3배 + 음봉 (투매),5059,49.21921328325756,0.8528738019681074,2.0356718032502346,5.609755677310692,0.3515796166793857,65.79900527320403,16
거래량 5배 + 음봉,1688,49.5260663507109,0.7200909856298026,0.6749795334412386,0.472971905252599,1.3175214296168052,42.36355140927358,4
거래량 마름 + 양봉,16612,43.96219600288948,-0.36982680751561575,0.009057018450093947,0.3154925879233882,0.02661267965963609,79.95849595429202,26
