fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,17514,2160,487,159,328,0.7043,0.7233,0.6951,0.165,80.26,0.65,0.65
2,2022-04-01,2022-07-01,19674,2184,500,336,164,0.714,0.7143,0.7134,0.172,85.935,0.65,0.65
3,2022-07-01,2022-10-01,21858,2208,350,119,231,0.6486,0.5882,0.6797,0.12,42.059,0.65,0.65
4,2022-10-01,2023-01-01,24066,2208,249,146,103,0.6426,0.637,0.6505,0.115,28.6,0.65,0.65
5,2023-01-01,2023-04-01,26274,2159,205,90,115,0.6829,0.6889,0.6783,0.147,30.228,0.65,0.65
6,2023-04-01,2023-07-01,28433,2184,96,51,45,0.7396,0.7843,0.6889,0.193,18.49,0.65,0.65
7,2023-07-01,2023-10-01,30617,2208,188,104,84,0.6968,0.6827,0.7143,0.158,29.772,0.65,0.65
8,2023-10-01,2024-01-01,32825,2208,118,33,85,0.6525,0.5758,0.6824,0.123,14.569,0.65,0.65
9,2024-01-01,2024-04-01,35033,2184,256,113,143,0.7148,0.6991,0.7273,0.173,44.295,0.65,0.65
