combo,lev,conc,n,max,p50,median,p_bust,mdd,tr,ho
기준선 (필터 없음),2.0,20,1923,15.08159982468597,0.0,1.5316613397549137,0.0,50.2046827482794,10.733113369744842,13.675634076487352
기준선 (필터 없음),2.0,10,1923,35.673943146615,0.0,1.9970155538996095,0.0,45.87565550487497,34.7859157735408,16.29563059376969
기준선 (필터 없음),2.0,7,1923,10.105525919165487,0.0,1.718977574725399,0.0,45.81076645400466,7.257738890590691,11.97778801285269
기준선 (필터 없음),2.0,5,1923,12.555398997424634,0.0,1.890517325072487,0.0,42.1970617170185,13.930805997413799,7.140820427678113
기준선 (필터 없음),3.0,20,1923,29.7988810182864,0.0,1.8685371878241233,1.0582010582010581,62.676434996910736,19.014514749175056,47.13078458233339
기준선 (필터 없음),3.0,10,1923,47.67961156511831,0.0,2.590061120477642,1.0582010582010581,68.26182083155379,22.792413560684917,43.530338286829775
기준선 (필터 없음),3.0,7,1923,81.67988354275748,1.5873015873015872,3.3227422336963532,0.5291005291005291,55.59799626774424,161.12039952429095,23.393951158646924
기준선 (필터 없음),3.0,5,1923,116.33377158578766,2.6455026455026456,2.599810956116219,11.64021164021164,64.0984896890225,24.7379090958025,9.674272543783376
기준선 (필터 없음),5.0,20,1923,18.852150922295195,0.0,1.4160969996659438,23.28042328042328,88.72013277564184,-2.0103624870612293,93.8024440310297
기준선 (필터 없음),5.0,10,1923,24.433250063502538,0.0,1.0587677277223273,27.513227513227513,86.99133787952151,-0.9146240341318737,98.97494458993214
기준선 (필터 없음),5.0,7,1923,32.41805914308317,0.0,1.2253487356784447,24.33862433862434,80.50640026713405,-3.241257132030452,17.702134415463558
기준선 (필터 없음),5.0,5,1923,24.726285951823737,0.0,1.9540796972357473,21.693121693121693,89.16123391843347,-0.05949136521682691,23.848297323603585
기준선 (필터 없음),8.0,20,1923,76.47002754201536,2.1164021164021163,0.9909538321348357,27.513227513227513,92.51724734007625,-2.7043677120212406,105.2408281662859
기준선 (필터 없음),8.0,10,1923,211.02793298010542,8.994708994708994,0.8295444472810409,32.804232804232804,99.62357778989988,-3.2002641368960942,297.38867477034023
기준선 (필터 없음),8.0,7,1923,167.39300683142304,0.5291005291005291,0.10555421248670492,40.21164021164021,98.32241152235535,-0.0032990157557895887,-7.29949918351322
기준선 (필터 없음),8.0,5,1923,34.06477281395045,0.0,0.0,55.55555555555556,102.09160220922374,-0.12310470466919958,-21.895639965586142
나스닥 20일 상승,2.0,20,1011,17.356990627560652,0.0,1.6538032415428183,0.0,16.408997659629097,42.558720507062084,5.32110621638182
나스닥 20일 상승,2.0,10,1011,39.114835514947,0.0,1.7894254483088232,0.0,30.84238785199467,177.1035966664407,6.014689697863017
나스닥 20일 상승,2.0,7,1011,22.161973654760445,0.0,1.7717778662916073,0.0,31.15015888395408,128.0865115268901,4.591484671426106
나스닥 20일 상승,2.0,5,1011,21.46027827061889,0.0,1.8953445033156848,0.0,35.99227329774754,190.80442921000065,4.786475114090312
나스닥 20일 상승,3.0,20,1011,42.6718928334818,0.0,2.0268036657890676,0.0,24.74347799173899,146.08556543834348,11.018992199167334
나스닥 20일 상승,3.0,10,1011,79.78409329069993,3.1746031746031744,2.3268034839026193,0.0,37.00973969425596,500.11263145248904,11.990026297984738
나스닥 20일 상승,3.0,7,1011,76.78064625403141,1.5873015873015872,2.297425145724871,0.0,47.636062416433724,755.1632897031092,10.139652314157857
나스닥 20일 상승,3.0,5,1011,123.10360814490566,3.1746031746031744,2.4146184839663776,0.0,54.15014848673321,1238.8419632700623,6.0130384783344155
나스닥 20일 상승,5.0,20,1011,78.67996643475146,3.7037037037037033,1.6966363992412836,0.0,51.41285386577918,125.35851609944623,14.319527852069518
나스닥 20일 상승,5.0,10,1011,81.73298570742665,0.5291005291005291,2.3466473704673887,0.0,69.35447868900016,9.085686926099301,49.57416679200578
나스닥 20일 상승,5.0,7,1011,350.32676140425707,1.0582010582010581,1.9677880275692066,15.343915343915343,72.61434069815328,-1.8089196765721431,10.377000861092004
나스닥 20일 상승,5.0,5,1011,750.5371215121017,1.0582010582010581,2.148753338109769,3.1746031746031744,54.37951674202777,29.055191062668978,6.7378509104871815
나스닥 20일 상승,8.0,20,1011,341.01209901874216,12.16931216931217,1.7920436982776748,12.698412698412698,54.77050380637954,116.05311598259752,-12.638022816985524
나스닥 20일 상승,8.0,10,1011,409.36784262430774,2.1164021164021163,2.229295719768605,4.761904761904762,61.12008007097707,2.926939182584434,159.17391616308677
나스닥 20일 상승,8.0,7,1011,1339.4811758746555,1.5873015873015872,0.7674389204917064,20.634920634920633,74.22117723035342,0.04370410594939191,-11.207265181308294
나스닥 20일 상승,8.0,5,1011,60.42684175181608,0.5291005291005291,0.7503748338867028,35.44973544973545,76.46992593400641,-0.12310470466919958,-8.667209655438327
나스닥 + BTC변동성z>1,2.0,20,260,3.926611519781798,0.0,1.3703187714509106,0.0,8.32935589044702,5.532128926246292,2.0237688791250408
나스닥 + BTC변동성z>1,2.0,10,260,6.119294029176285,0.0,1.531392642805721,0.0,16.481280519015094,11.495165513654722,2.2141759668729852
나스닥 + BTC변동성z>1,2.0,7,260,5.167730541698141,0.0,1.5034500590670552,0.0,18.29654841719123,6.285865863108519,2.106900654380303
나스닥 + BTC변동성z>1,2.0,5,260,4.6069056390000656,0.0,1.509521641476881,0.0,18.830784427440694,6.4477831322088,1.9570012423900467
나스닥 + BTC변동성z>1,3.0,20,260,7.590341662766428,0.0,1.5648888828633425,0.0,12.42690891613143,12.588295754563694,2.7508421518935764
나스닥 + BTC변동성z>1,3.0,10,260,14.633732985293408,0.0,1.8153699802835712,0.0,24.465335774792717,36.76480435703987,3.0263620958160553
나스닥 + BTC변동성z>1,3.0,7,260,11.128939351053049,0.0,1.835940372239923,0.0,28.891107471505318,16.662627277321857,2.895848627907125
나스닥 + BTC변동성z>1,3.0,5,260,9.774116482098908,0.0,1.753202053738322,0.0,27.509329243483283,18.14922088223994,2.437328910599995
나스닥 + BTC변동성z>1,5.0,20,260,21.82186355450082,0.0,1.973376119939932,0.0,20.49367857126456,30.917330832036168,4.810090615636109
나스닥 + BTC변동성z>1,5.0,10,260,25.203240514713045,0.0,2.385468270614953,0.0,39.97006500770415,15.846255170410103,5.3755163300593365
나스닥 + BTC변동성z>1,5.0,7,260,38.7621951266341,0.0,1.9410894139485841,0.0,35.1284518832397,2.5317448477845113,5.07909223187364
나스닥 + BTC변동성z>1,5.0,5,260,29.278477523465007,0.0,0.9039996095416438,0.0,31.606507641443326,0.9221715817838649,4.543708181155946
나스닥 + BTC변동성z>1,8.0,20,260,73.3401171587295,13.043478260869565,2.6360716079470268,0.0,30.25289953894401,100.77471477841516,9.721129197573548
나스닥 + BTC변동성z>1,8.0,10,260,68.42039580539331,1.0869565217391304,3.4036448036589766,0.0,40.65653139755134,0.8836177270652963,11.670402605423707
나스닥 + BTC변동성z>1,8.0,7,260,151.16991343805176,1.0869565217391304,3.487836252750948,0.0,52.444848170203095,0.9231192184422049,10.17759701218454
나스닥 + BTC변동성z>1,8.0,5,260,10.976785512755745,0.0,1.8206110192899074,1.0869565217391304,67.70055255311902,-0.4416975192586566,9.372235559281517
나스닥 + BTC>MA200,2.0,20,605,9.577769488468897,0.0,1.6409737327295515,0.0,8.329355890447,15.858966342832288,3.309708086149501
나스닥 + BTC>MA200,2.0,10,605,21.16989408054526,0.0,1.720654365934147,0.0,16.481280519015083,42.73837369890976,4.231305016215448
나스닥 + BTC>MA200,2.0,7,605,14.986597224471671,0.0,1.7758459900296932,0.0,18.296548417191204,32.737000628387264,3.8633944217534713
나스닥 + BTC>MA200,2.0,5,605,17.267742132500082,0.0,1.8922210988326447,0.0,18.830784427440683,34.20656986317676,4.269238408284212
나스닥 + BTC>MA200,3.0,20,605,19.015664244655557,0.0,2.0211138163712543,0.0,13.342821064650067,38.09065757424058,5.559067550435059
