exit,size,lev,final,mdd,n,skip,wr,liq,cagr,yrs,mean
고정 10봉 (현재),6종목,1,5.020349188288799,0.33441679271939684,523,478,61.5678776290631,0,20.242296406481742,8.752908966461328,2.1632079225470853
고정 10봉 (현재),6종목,2,30.07999543470646,0.5072346773180516,526,464,62.3574144486692,0,47.53324077266705,8.752908966461328,2.362126779949282
고정 10봉 (현재),6종목,3,258.9512338905793,0.6218389481859982,531,459,62.71186440677966,10,88.67079619317913,8.752908966461328,2.610088196509763
고정 10봉 (현재),2종목,1,4.8159102552679505,0.24905851553334712,235,1658,67.65957446808511,0,19.672525814347107,8.752908966461328,2.877426487676243
고정 10봉 (현재),2종목,2,18.23135012840074,0.4516098459911101,235,1658,67.65957446808511,0,39.33033852340502,8.752908966461328,2.877426487676243
고정 10봉 (현재),2종목,3,85.52158962492324,0.5514656247966745,235,1658,67.65957446808511,7,66.23990217458832,8.752908966461328,3.07024267980917
고정 10봉 (현재),8종목,1,5.1219159101911025,0.2955350122300613,574,269,63.58885017421603,0,20.51775912530345,8.752908966461328,2.3619574829774073
고정 10봉 (현재),8종목,2,23.09782088012187,0.5100075823931143,575,275,63.82608695652174,0,43.1478717563583,8.752908966461328,2.3518037497717597
고정 10봉 (현재),8종목,3,203.44096209566732,0.5814520205809659,578,282,64.3598615916955,11,83.54132067382174,8.752908966461328,2.6859045530891104
고정 20봉,6종목,1,6.723529442511735,0.3741338792073313,463,515,59.827213822894166,0,24.32289539560053,8.752908966461328,2.9059224056763373
고정 20봉,6종목,2,58.53015924764025,0.6048810609244248,467,518,60.81370449678801,0,59.19122451957992,8.752908966461328,3.2300501291219166
고정 20봉,6종목,3,1556.0718097116048,0.6602198340986061,470,520,62.34042553191489,12,131.5699207741435,8.752908966461328,3.9161127495118384
고정 20봉,2종목,1,7.012477243050977,0.22922965181235033,197,1715,64.9746192893401,0,24.92199078782118,8.752908966461328,4.254003308584466
고정 20봉,2종목,2,36.59648754945872,0.42125047333836374,197,1715,64.9746192893401,0,50.87573767546863,8.752908966461328,4.254003308584466
고정 20봉,2종목,3,254.56613716846726,0.5150809772398085,197,1715,64.9746192893401,8,88.30301186313494,8.752908966461328,4.545035457484635
고정 20봉,8종목,1,7.143695748168385,0.3781331912141631,506,336,61.26482213438735,0,25.186864072475657,8.752908966461328,3.2454321263821435
고정 20봉,8종목,2,53.26924951756231,0.6214877778022807,512,323,61.71875,0,57.487480022036586,8.752908966461328,3.379608521221728
고정 20봉,8종목,3,779.6213907132451,0.6551065278279774,515,342,62.5242718446602,14,113.98885747153993,8.752908966461328,3.8150554442578106
목표 ATR×2,6종목,1,5.149835880188385,0.36382740040130945,400,527,70.25,0,20.592633809831696,8.752908966461328,2.976750197653893
목표 ATR×2,6종목,2,26.252142393385256,0.6108756655487708,410,514,70.97560975609755,0,45.25676055674283,8.752908966461328,3.1341802454879244
목표 ATR×2,6종목,3,507.4311412718578,0.6536229839278009,414,506,71.98067632850241,26,103.7432363669061,8.752908966461328,3.9629362535147306
목표 ATR×2,2종목,1,4.317758016757843,0.24847535919341146,155,1746,70.3225806451613,0,18.1889352272653,8.752908966461328,4.280270894755114
목표 ATR×2,2종목,2,13.013326280115892,0.47040253571875523,155,1746,70.3225806451613,0,34.065285777780005,8.752908966461328,4.280270894755114
목표 ATR×2,2종목,3,53.933445090516805,0.5676473172307881,155,1746,70.3225806451613,9,57.71059406345926,8.752908966461328,4.6963999270131795
목표 ATR×2,8종목,1,5.412343314125645,0.3390587770122876,447,311,71.36465324384787,0,21.279559698303064,8.752908966461328,3.221014626307266
목표 ATR×2,8종목,2,32.61147813945759,0.5759984467064407,452,309,71.90265486725663,0,48.901525058778695,8.752908966461328,3.4816077751898673
목표 ATR×2,8종목,3,741.6297254191385,0.5753625540526663,458,296,72.92576419213974,27,112.77096856838841,8.752908966461328,4.354473841134248
목표 ATR×3,6종목,1,4.741882144327474,0.3825317248550443,376,548,61.170212765957444,0,19.460916125572638,8.752908966461328,3.1221496408388654
목표 ATR×3,6종목,2,38.2255987974042,0.5743759000627302,387,551,62.7906976744186,0,51.62834337208031,8.752908966461328,3.8391945328490653
목표 ATR×3,6종목,3,893.9850355672326,0.6031339558818872,390,538,63.33333333333333,26,117.36158289429545,8.752908966461328,4.806147778488158
목표 ATR×3,2종목,1,4.412483663108639,0.31973325483417736,137,1784,62.04379562043796,0,18.482329243160912,8.752908966461328,5.184395469745896
