lev,mg,full,tr,ho,med,mx,p50,loss,mdd,p70,p90,liq,n
2.0,1.0,147.57309487033663,10.733113369744842,13.675634076487352,1.5316613397549137,15.08159982468597,0.0,20.634920634920633,45.00796995390451,13.227513227513226,13.227513227513226,9,1399
2.0,0.8,179.19332675613612,18.036004004101365,9.935311985703027,1.6247700994533443,12.236107292478689,0.0,17.989417989417987,36.630614446981035,13.227513227513226,0.0,9,1294
2.0,0.6,159.22356422432512,28.121660097623273,5.725540654097662,1.6065175039279618,8.768257028891092,0.0,9.523809523809524,26.623277829894853,0.0,0.0,8,1145
2.0,0.4,55.61275237361214,17.834623006045998,3.1435185014674887,1.4556419633230813,5.639315716000833,0.0,11.64021164021164,17.077541269954654,0.0,0.0,6,919
2.0,0.25,17.04362615889318,8.856088953252392,1.8895935789035345,1.3209252671515008,3.5633258606981726,0.0,7.936507936507936,17.15865879991726,0.0,0.0,6,706
3.0,1.0,1011.9954970128831,22.792413560684917,43.530338286829775,2.590061120477642,47.67961156511831,0.0,25.396825396825395,54.03826019785788,18.51851851851852,12.16931216931217,30,859
3.0,0.8,182.90006158044605,13.910793159429144,13.148068516601507,2.128496064629879,38.16215436711506,0.0,30.158730158730158,43.49928266200689,25.925925925925924,25.925925925925924,32,778
3.0,0.6,690.7229139888973,102.72249424496403,5.895147396842043,1.8383191874383311,48.55602211262885,0.0,21.693121693121693,37.50667200443467,13.227513227513226,0.0,26,685
3.0,0.4,547.7748295978411,150.47743645307153,3.6402456242579073,1.7956140160549854,23.788423488395683,0.0,16.402116402116402,31.560754899446398,0.0,0.0,20,573
3.0,0.25,54.98932102702763,31.61394508443578,1.7394007891188514,1.366016821319899,7.2880811821038956,0.0,14.285714285714285,26.902067648120067,0.0,0.0,16,381
5.0,1.0,-0.9146240341318737,-0.9146240341318737,98.97494458993214,1.0587677277223273,24.433250063502538,0.0,47.61904761904761,63.164231319803996,49.2063492063492,45.5026455026455,38,280
5.0,0.8,14.071815844928754,0.3729344468326262,32.35154280937203,1.6528683887841544,14.889680744022499,0.0,31.216931216931215,53.3918247382529,41.7989417989418,13.227513227513226,74,643
5.0,0.6,5.671896320903434,0.4662666554736516,10.817458336457756,1.7041064303800386,12.52387362969407,0.0,26.455026455026452,57.02269370285741,7.4074074074074066,0.0,68,544
5.0,0.4,16.861517071499293,4.35467790504001,4.101290817586902,1.6774345960417794,6.886421874149602,0.0,25.396825396825395,41.614291034138596,0.0,0.0,59,459
5.0,0.25,105.67178613448843,70.08123838925515,1.5078470153103056,1.4723910555024915,12.709515098435475,0.0,13.756613756613756,26.464581929814614,0.0,0.0,42,344
8.0,1.0,-3.2002641368960942,-3.2002641368960942,297.38867477034023,0.8295444472810409,211.02793298010542,8.994708994708994,53.43915343915344,99.62357778989988,60.317460317460316,55.55555555555556,68,255
8.0,0.8,-0.09463137343696126,-0.09463137343696126,24.74862459275787,1.2313967074102672,99.1135457447687,0.5291005291005291,47.08994708994709,71.64042258894419,59.78835978835979,28.04232804232804,63,233
8.0,0.6,0.6487217417912889,0.17035358191949873,4.573732045891411,1.4145698049083197,12.312736944159465,0.0,35.978835978835974,59.50899326636965,30.687830687830687,13.227513227513226,117,470
8.0,0.4,3.8553870043817495,1.586621037133522,2.4299356394184093,1.6752980468080736,12.279463375974096,0.0,23.809523809523807,43.41426852885343,0.0,0.0,96,376
8.0,0.25,3.923179361174853,3.1712048957729224,1.2371257897603143,1.5976073519328051,4.468415076076502,0.0,11.64021164021164,27.96513620725968,0.0,0.0,76,264
