fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,4097,540,7,5,2,0.7143,0.8,0.5,0.172,1.203,0.65,0.65
2,2022-04-01,2022-07-01,4637,546,9,5,4,1.0,1.0,1.0,0.401,3.61,0.65,0.65
3,2022-07-01,2022-10-01,5183,552,18,0,18,0.7778,0.0,0.7778,0.224,4.039,0.65,0.65
4,2022-10-01,2023-01-01,5735,552,4,4,0,0.75,0.75,0.0,0.2,0.8,0.65,0.65
5,2023-01-01,2023-04-01,6287,540,18,13,5,0.5556,0.5385,0.6,0.045,0.809,0.65,0.65
6,2023-04-01,2023-07-01,6827,546,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
7,2023-07-01,2023-10-01,7373,552,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
8,2023-10-01,2024-01-01,7925,552,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
9,2024-01-01,2024-04-01,8477,546,2,2,0,1.0,1.0,0.0,0.4,0.8,0.65,0.65
