fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,4385,540,504,278,226,0.8155,0.8129,0.8186,0.253,127.699,0.65,0.65
2,2022-04-01,2022-07-01,4925,546,506,288,218,0.836,0.8229,0.8532,0.27,136.494,0.65,0.65
3,2022-07-01,2022-10-01,5471,552,482,242,240,0.8402,0.8678,0.8125,0.273,131.728,0.65,0.65
4,2022-10-01,2023-01-01,6023,552,466,262,204,0.7339,0.6832,0.799,0.188,87.644,0.65,0.65
5,2023-01-01,2023-04-01,6575,540,433,216,217,0.7413,0.7315,0.7512,0.194,84.056,0.65,0.65
6,2023-04-01,2023-07-01,7115,546,435,186,249,0.7287,0.6989,0.751,0.184,80.123,0.65,0.65
7,2023-07-01,2023-10-01,7661,552,398,169,229,0.7563,0.7219,0.7817,0.206,82.093,0.65,0.65
8,2023-10-01,2024-01-01,8213,552,397,177,220,0.7657,0.7797,0.7545,0.214,84.864,0.65,0.65
9,2024-01-01,2024-04-01,8765,546,431,184,247,0.7749,0.7609,0.7854,0.221,95.333,0.65,0.65
