thr,lev,pt,conc,windows,max,median,p_target,p_10x,p_loss,p_bust,worst,best_start
-12.26,3.0,0.05,20,189,5.1187343818010165,1.8769777699393246,0.0,0.0,17.46031746031746,0.0,0.14666258626688417,2020-05-06 04:00:00
-12.26,3.0,0.1,10,189,7.6559131852491795,2.455585355164613,0.0,0.0,11.64021164021164,0.5291005291005291,0.0,2020-10-03 04:00:00
-12.26,3.0,0.25,4,189,10.138408628481157,2.386550685156776,0.0,1.0582010582010581,12.698412698412698,3.1746031746031744,0.0,2020-10-03 04:00:00
-12.26,3.0,0.5,2,189,10.482376023997421,2.3131269844267,0.0,2.1164021164021163,9.523809523809524,2.6455026455026456,0.0,2020-10-03 04:00:00
-12.26,3.0,1.0,1,189,11.689807922972962,2.7259332946330983,0.0,3.7037037037037033,14.814814814814813,10.052910052910052,0.0,2020-11-02 04:00:00
-12.26,5.0,0.05,20,189,7.4272317899973705,1.9668196024957505,0.0,0.0,21.693121693121693,4.761904761904762,0.0,2020-10-03 04:00:00
-12.26,5.0,0.1,10,189,12.910115124036503,2.8391563104817688,0.0,3.1746031746031744,16.402116402116402,4.232804232804233,0.0,2020-09-18 04:00:00
-12.26,5.0,0.25,4,189,15.78058675274755,2.882664107738755,0.0,6.349206349206349,16.93121693121693,12.698412698412698,0.0,2020-10-03 04:00:00
-12.26,5.0,0.5,2,189,15.607311113269956,3.1007869154579986,0.0,9.523809523809524,21.693121693121693,9.523809523809524,0.0,2020-04-21 04:00:00
-12.26,5.0,1.0,1,189,15.771549973166197,3.4871286278779143,0.0,11.64021164021164,25.396825396825395,17.46031746031746,-0.0003446825926513991,2020-03-22 04:00:00
-12.26,8.0,0.05,20,189,10.156501559249742,2.217938115060763,0.0,1.0582010582010581,20.105820105820104,7.4074074074074066,0.0,2020-09-18 04:00:00
-12.26,8.0,0.1,10,189,17.62976182813244,3.1443755211581266,0.0,7.4074074074074066,14.814814814814813,9.523809523809524,0.0,2020-09-18 04:00:00
-12.26,8.0,0.25,4,189,18.972127798021592,2.9453080270252032,0.0,7.936507936507936,23.28042328042328,19.047619047619047,0.0,2020-04-21 04:00:00
-12.26,8.0,0.5,2,189,19.878168764585165,3.205465216762412,0.0,10.052910052910052,23.28042328042328,19.576719576719576,0.0,2020-09-18 04:00:00
-12.26,8.0,1.0,1,189,22.55307414711441,3.941892783468898,0.0,10.052910052910052,28.04232804232804,25.396825396825395,0.0,2020-11-02 04:00:00
-12.26,10.0,0.05,20,189,11.370539961003068,2.2319873416570197,0.0,3.1746031746031744,22.75132275132275,10.582010582010582,0.0,2020-09-18 04:00:00
-12.26,10.0,0.1,10,189,19.781381012050417,3.4220852263447945,0.0,7.936507936507936,21.693121693121693,12.16931216931217,-0.01677996027204287,2020-09-18 04:00:00
-12.26,10.0,0.25,4,189,24.48300553890302,3.2564464748339184,0.0,10.052910052910052,20.634920634920633,19.576719576719576,0.0,2020-09-18 04:00:00
-12.26,10.0,0.5,2,189,22.7187839962084,3.4821564723939193,0.0,8.465608465608465,26.984126984126984,22.75132275132275,0.0,2020-03-22 04:00:00
-12.26,10.0,1.0,1,189,22.18752052173074,3.5504476401809946,0.0,10.052910052910052,32.27513227513227,32.27513227513227,0.0,2021-01-31 04:00:00
-12.26,15.0,0.05,20,189,6.053651090057162,1.7365877003413657,0.0,0.0,35.978835978835974,14.285714285714285,-0.3692817117392894,2023-03-07 04:00:00
-12.26,15.0,0.1,10,189,9.303319458437281,2.4014513334731618,0.0,0.0,30.158730158730158,24.33862433862434,0.0,2023-03-07 04:00:00
-12.26,15.0,0.25,4,189,18.52894647805568,1.437938366747342,0.0,2.1164021164021163,48.148148148148145,41.7989417989418,0.0,2020-11-02 04:00:00
-12.26,15.0,0.5,2,189,19.717618374225943,1.7988979055319043,0.0,1.5873015873015872,40.21164021164021,32.804232804232804,-0.12378046015291355,2020-11-02 04:00:00
-12.26,15.0,1.0,1,189,17.880825886281553,2.4539491189399625,0.0,17.46031746031746,44.44444444444444,41.7989417989418,0.0,2023-05-06 04:00:00
-12.26,20.0,0.05,20,189,7.391732815725043,0.60150162195253,0.0,0.0,56.08465608465608,37.03703703703704,-0.10370116024569516,2023-03-07 04:00:00
-12.26,20.0,0.1,10,189,11.630252274542343,0.0,0.0,0.5291005291005291,64.02116402116403,52.38095238095239,0.0,2023-03-07 04:00:00
-12.26,20.0,0.25,4,189,13.802915355727281,0.0,0.0,2.1164021164021163,68.78306878306879,55.026455026455025,-0.8385369797845753,2023-03-07 04:00:00
-12.26,20.0,0.5,2,189,11.356898737127468,0.0,0.0,1.0582010582010581,61.904761904761905,58.730158730158735,-0.6967088158165933,2023-12-02 04:00:00
-12.26,20.0,1.0,1,189,19.574848637114552,0.0,0.0,2.6455026455026456,70.37037037037037,64.55026455026454,-0.7506848407436477,2023-03-22 04:00:00
-15.0,3.0,0.05,20,189,4.450487519978735,1.468475479618232,0.0,0.0,20.105820105820104,0.0,0.18783281803602864,2020-09-03 04:00:00
-15.0,3.0,0.1,10,189,5.6060447557892905,1.6822512105867664,0.0,0.0,22.75132275132275,4.232804232804233,0.0,2020-10-03 04:00:00
-15.0,3.0,0.25,4,189,9.355342034360337,1.9659457805573668,0.0,0.0,20.634920634920633,6.349206349206349,0.0,2020-10-03 04:00:00
-15.0,3.0,0.5,2,189,12.424553630863468,2.144944621928916,0.0,1.0582010582010581,26.455026455026452,12.16931216931217,0.0,2020-10-18 04:00:00
-15.0,3.0,1.0,1,189,13.41162881876025,1.8648416432830426,0.0,2.6455026455026456,25.396825396825395,12.698412698412698,-0.09664058484885896,2020-09-18 04:00:00
-15.0,5.0,0.05,20,189,6.158356366467498,1.5923879126932183,0.0,0.0,22.75132275132275,5.291005291005291,0.0,2020-05-06 04:00:00
-15.0,5.0,0.1,10,189,8.026859892518528,1.5731310009457466,0.0,0.0,29.100529100529098,13.227513227513226,0.0,2020-10-18 04:00:00
-15.0,5.0,0.25,4,189,14.118364849214627,2.150432523289452,0.0,5.291005291005291,23.28042328042328,11.64021164021164,0.0,2020-09-18 04:00:00
-15.0,5.0,0.5,2,189,10.258640360098891,2.5359485530443195,0.0,0.5291005291005291,25.925925925925924,11.64021164021164,0.0,2021-01-01 04:00:00
-15.0,5.0,1.0,1,189,15.719519310238562,2.687122978715209,0.0,5.291005291005291,32.804232804232804,28.57142857142857,0.0,2020-10-03 04:00:00
-15.0,8.0,0.05,20,189,7.3415223931255555,1.4219077086318617,0.0,0.0,33.86243386243386,8.465608465608465,0.0,2020-05-06 04:00:00
-15.0,8.0,0.1,10,189,9.829110231954727,1.4736831899362168,0.0,0.0,33.86243386243386,13.227513227513226,0.0,2020-10-03 04:00:00
-15.0,8.0,0.25,4,189,20.480660213325113,2.4870446791730876,0.0,2.6455026455026456,31.746031746031743,16.402116402116402,0.0,2020-09-18 04:00:00
-15.0,8.0,0.5,2,189,23.41678624806618,3.1268075092873793,0.0,2.6455026455026456,34.92063492063492,20.634920634920633,0.0,2020-10-18 04:00:00
-15.0,8.0,1.0,1,189,21.08318162862213,3.9925833102868404,0.0,10.052910052910052,37.03703703703704,29.629629629629626,0.0,2020-08-04 04:00:00
-15.0,10.0,0.05,20,189,8.406905330773604,1.1288202499066795,0.0,0.0,42.857142857142854,13.227513227513226,0.0,2020-05-06 04:00:00
-15.0,10.0,0.1,10,189,11.753506969243778,1.3681332384755203,0.0,2.6455026455026456,41.7989417989418,13.227513227513226,0.0,2020-10-03 04:00:00
-15.0,10.0,0.25,4,189,24.7422177811708,2.8572649813416664,0.0,4.761904761904762,34.39153439153439,16.93121693121693,0.0,2020-09-18 04:00:00
-15.0,10.0,0.5,2,189,27.547003610117315,3.443478956648677,0.0,4.761904761904762,31.746031746031743,18.51851851851852,0.0,2020-10-18 04:00:00
-15.0,10.0,1.0,1,189,23.520284327178192,2.1685783701778165,0.0,8.994708994708994,37.03703703703704,32.804232804232804,0.0,2020-08-04 04:00:00
-15.0,15.0,0.05,20,189,5.2729547094546225,0.9725826124999841,0.0,0.0,51.32275132275132,19.047619047619047,0.0,2024-06-14 04:00:00
-15.0,15.0,0.1,10,189,5.774198140899539,1.4494795443437827,0.0,0.0,40.21164021164021,10.582010582010582,0.0,2020-11-02 04:00:00
