entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2025-08-21 07:00:00,SHORT,4308.6,4265.52,tp,2,2.5e-05,0.009076,1,0.5898
2025-08-21 10:00:00,SHORT,4289.37,4246.48,tp,2,2.5e-05,0.009076,1,0.5873
2025-08-21 11:00:00,SHORT,4276.38,4302.04,sl,3,3.8e-05,-0.007002,0,0.5822
2025-08-22 04:00:00,LONG,4283.42,4326.25,tp,3,3.8e-05,0.008963,1,0.6145
2025-09-09 01:00:00,SHORT,4284.52,4310.22,sl,3,3.8e-05,-0.007002,0,0.597
2025-09-09 02:00:00,SHORT,4288.67,4314.41,sl,2,2.5e-05,-0.006989,0,0.5863
2025-09-26 06:00:00,LONG,3923.1,3899.56,sl,3,3.8e-05,-0.007038,0,0.6027
2025-10-07 03:00:00,SHORT,4688.24,4716.37,sl,1,1.3e-05,-0.006977,0,0.6087
2025-10-07 04:00:00,SHORT,4711.24,4664.13,tp,4,5e-05,0.009051,1,0.5842
2025-10-07 05:00:00,SHORT,4709.28,4662.19,tp,3,3.8e-05,0.009064,1,0.5823
2025-10-07 06:00:00,SHORT,4667.06,4695.06,sl,4,5e-05,-0.007014,0,0.5917
2025-10-07 08:00:00,SHORT,4668.02,4696.03,sl,2,2.5e-05,-0.006989,0,0.5952
2025-10-07 09:00:00,SHORT,4677.8,4705.87,sl,2,2.5e-05,-0.006989,0,0.5833
2025-10-07 10:00:00,SHORT,4690.03,4718.17,sl,2,2.5e-05,-0.006989,0,0.6121
2025-10-19 01:00:00,LONG,3875.94,3914.7,tp,4,5e-05,0.00895,1,0.5807
2025-12-01 08:00:00,SHORT,2839.13,2810.74,tp,4,5e-05,0.009051,1,0.5966
2025-12-01 09:00:00,SHORT,2838.17,2809.79,tp,3,3.8e-05,0.009064,1,0.5842
2025-12-01 10:00:00,SHORT,2842.6,2814.17,tp,2,2.5e-05,0.009076,1,0.6019
2025-12-09 21:00:00,LONG,3303.55,3336.59,tp,1,1.3e-05,0.008988,1,0.5821
2025-12-12 07:00:00,SHORT,3244.93,3212.48,tp,8,0.0001,0.009001,1,0.5848
2025-12-12 08:00:00,SHORT,3243.18,3210.75,tp,7,8.7e-05,0.009014,1,0.61
2025-12-12 09:00:00,SHORT,3249.75,3217.26,tp,5,6.3e-05,0.009039,1,0.6198
2025-12-12 14:00:00,SHORT,3229.81,3197.52,tp,1,1.3e-05,0.009089,1,0.6309
2025-12-13 06:00:00,SHORT,3092.5,3111.06,sl,2,2.5e-05,-0.006989,0,0.6019
2025-12-13 07:00:00,SHORT,3093.17,3111.73,sl,1,1.3e-05,-0.006977,0,0.5827
2025-12-15 12:00:00,SHORT,3154.38,3122.84,tp,2,2.5e-05,0.009076,1,0.612
2025-12-15 13:00:00,SHORT,3130.61,3099.31,tp,1,1.3e-05,0.009089,1,0.6225
2025-12-17 00:00:00,SHORT,2948.21,2965.89,sl,1,1.3e-05,-0.006977,0,0.6049
2025-12-17 04:00:00,SHORT,2930.84,2948.43,sl,3,3.8e-05,-0.007002,0,0.5859
2025-12-17 09:00:00,SHORT,2921.79,2939.32,sl,4,5e-05,-0.007014,0,0.5829
2025-12-29 00:00:00,SHORT,2965.29,2983.08,sl,1,1.3e-05,-0.006977,0,0.6277
2025-12-29 10:00:00,SHORT,2964.85,2935.2,tp,2,2.5e-05,0.009076,1,0.5829
2026-01-09 16:00:00,LONG,3134.7,3115.89,sl,1,1.3e-05,-0.007013,0,0.5834
2026-01-20 06:00:00,SHORT,3115.35,3084.2,tp,7,8.7e-05,0.009014,1,0.5889
2026-01-20 08:00:00,SHORT,3105.29,3074.23,tp,6,7.5e-05,0.009026,1,0.5853
2026-01-20 09:00:00,SHORT,3092.55,3111.11,sl,2,2.5e-05,-0.006989,0,0.5899
2026-01-20 15:00:00,SHORT,3031.47,3001.16,tp,1,1.3e-05,0.009089,1,0.5942
2026-01-26 04:00:00,LONG,2867.41,2896.09,tp,3,3.8e-05,0.008963,1,0.6098
2026-01-26 10:00:00,LONG,2897.73,2880.34,sl,4,5e-05,-0.00705,0,0.5821
2026-01-26 12:00:00,LONG,2904.14,2886.72,sl,2,2.5e-05,-0.007025,0,0.5816
2026-02-09 12:00:00,LONG,2036.67,2024.45,sl,1,1.3e-05,-0.007013,0,0.5977
2026-02-09 13:00:00,LONG,2023.53,2011.39,sl,1,1.3e-05,-0.007013,0,0.5919
2026-02-12 16:00:00,SHORT,1908.23,1919.67,sl,1,1.3e-05,-0.006977,0,0.5832
2026-02-20 08:00:00,LONG,1960.98,1949.21,sl,3,3.8e-05,-0.007038,0,0.5859
2026-02-23 02:00:00,SHORT,1862.31,1873.48,sl,4,5e-05,-0.007014,0,0.6053
2026-02-23 03:00:00,SHORT,1861.94,1873.11,sl,3,3.8e-05,-0.007002,0,0.5801
2026-02-25 01:00:00,LONG,1919.3,1938.49,tp,1,1.3e-05,0.008988,1,0.5986
2026-03-04 21:00:00,LONG,2150.93,2138.03,sl,1,1.3e-05,-0.007013,0,0.5928
2026-03-09 05:00:00,LONG,2011.61,1999.54,sl,1,1.3e-05,-0.007013,0,0.6128
2026-03-12 01:00:00,SHORT,2045.22,2024.76,tp,1,1.3e-05,0.009089,1,0.5838
2026-03-12 03:00:00,SHORT,2022.37,2034.5,sl,4,5e-05,-0.007014,0,0.5869
2026-03-12 04:00:00,SHORT,2022.08,2034.21,sl,3,3.8e-05,-0.007002,0,0.5899
2026-03-12 05:00:00,SHORT,2025.84,2037.99,sl,2,2.5e-05,-0.006989,0,0.6073
2026-03-12 07:00:00,SHORT,2039.68,2051.92,sl,1,1.3e-05,-0.006977,0,0.5949
2026-03-12 09:00:00,SHORT,2054.62,2066.95,sl,1,1.3e-05,-0.006977,0,0.5832
2026-03-12 11:00:00,SHORT,2061.8,2074.17,sl,2,2.5e-05,-0.006989,0,0.5969
2026-03-12 12:00:00,SHORT,2064.34,2076.72,sl,1,1.3e-05,-0.006977,0,0.5983
2026-03-12 13:00:00,SHORT,2064.32,2076.7,sl,1,1.3e-05,-0.006977,0,0.5866
