symbol,interval,strategy,전체_수익률%,전체_CAGR%,MDD%,Sharpe,손익비,거래수,노출%,학습_CAGR%,홀드아웃_CAGR%,BH_수익률%,BH_CAGR%,BH_MDD%,BH_Sharpe,BH대비_CAGR차
BTCUSDT,1d,"Donchian(20,10)",451.129290016475,20.980119567577127,-67.8671302813767,0.6143499433256988,1.1199224551861993,157,72.63833690003058,41.946075332613006,-12.104423896651895,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-13.97143912708838
BTCUSDT,1d,"Donchian(55,20)",380.4163163294272,19.14051013249807,-74.5243404891309,0.5892605359955735,1.1206473863111288,77,65.82084989299908,36.705331550231456,-3.605850548283507,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-15.81104856216744
BTCUSDT,1d,"Donchian(20,5)",34.521527159520126,3.3645092276233246,-71.03753115388922,0.32565770305322167,1.0717017276365661,217,54.90675634362581,11.868712042187845,-15.22660983892562,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-31.587049467042185
BTCUSDT,1d,"Donchian(40,15)",538.7474106903497,22.988356768097074,-71.11111979876328,0.6439802004557585,1.1347202633685232,99,64.62855395903392,41.080698154076664,-3.829957397615147,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-11.963201926568434
BTCUSDT,1d,"Donchian(100,25)",102.7452873069719,8.206067599461807,-74.5748102340442,0.40994745277603034,1.0903917035759687,51,52.98073983491287,9.115729834441533,7.207961149033482,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-26.7454910952037
BTCUSDT,1d,"MA교차(10,50)",210.99604919692814,13.497128948941771,-85.3260647817983,0.519475960151224,1.0859596109014285,79,98.47141546927544,22.85858400145053,-7.3046099695763145,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-21.454429745723736
BTCUSDT,1d,"MA교차(20,100)",290.82250567000426,16.427890505588106,-82.44518118469193,0.5638303569927686,1.0946853454733378,34,96.94283093855091,20.006679831949924,6.870113446652981,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-18.5236681890774
BTCUSDT,1d,"MA교차(50,200)",-4.058690870619941,-0.46127597060433567,-73.91541818809951,0.3005939465879315,1.0497019885698378,18,93.8856618771018,8.727602648454669,-10.596346883353869,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-35.41283466526984
BTCUSDT,1d,"MA교차(5,20)",388.76675490688484,19.369825734317647,-87.56907255444484,0.5963500916369335,1.0991794464069244,180,99.38856618771018,20.95267724604557,8.53499572981109,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-15.58173296034786
BTCUSDT,1d,"MA교차(20,50)",62.99463204906661,5.602867829164593,-83.82614571406238,0.41012747813049777,1.067282435333883,74,98.47141546927544,16.74545405159065,-10.682166516708502,1367.6010716252672,34.95155869466551,-83.18705353076483,0.7863357340355827,-29.348690865500913
