fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,17226,2160,12,7,5,0.5,0.5714,0.4,0.001,0.008,0.65,0.65
2,2022-04-01,2022-07-01,19386,2184,15,6,9,0.4667,0.5,0.4444,-0.026,-0.385,0.65,0.65
3,2022-07-01,2022-10-01,21570,2208,17,2,15,0.5882,1.0,0.5333,0.072,1.226,0.65,0.65
4,2022-10-01,2023-01-01,23778,2208,62,20,42,0.4516,0.5,0.4286,-0.041,-2.514,0.65,0.65
5,2023-01-01,2023-04-01,25986,2159,29,2,27,0.5517,1.0,0.5185,0.043,1.247,0.65,0.65
6,2023-04-01,2023-07-01,28145,2184,5,3,2,1.0,1.0,1.0,0.401,2.005,0.65,0.65
7,2023-07-01,2023-10-01,30329,2208,13,12,1,0.5385,0.5,1.0,0.012,0.161,0.65,0.65
8,2023-10-01,2024-01-01,32537,2208,6,3,3,0.5,0.6667,0.3333,0.001,0.004,0.65,0.65
9,2024-01-01,2024-04-01,34745,2184,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
