fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,4097,540,16,6,10,0.75,0.8333,0.7,0.201,3.22,0.65,0.65
2,2022-04-01,2022-07-01,4637,546,24,20,4,0.6667,0.65,0.75,0.134,3.208,0.65,0.65
3,2022-07-01,2022-10-01,5183,552,6,0,6,0.6667,0.0,0.6667,0.135,0.812,0.65,0.65
4,2022-10-01,2023-01-01,5735,552,20,5,15,0.5,0.4,0.5333,0.001,0.026,0.65,0.65
5,2023-01-01,2023-04-01,6287,540,4,0,4,0.75,0.0,0.75,0.202,0.808,0.65,0.65
6,2023-04-01,2023-07-01,6827,546,13,3,10,0.7692,1.0,0.7,0.217,2.82,0.65,0.65
7,2023-07-01,2023-10-01,7373,552,26,21,5,0.3462,0.3333,0.4,-0.123,-3.192,0.65,0.65
8,2023-10-01,2024-01-01,7925,552,6,0,6,0.1667,0.0,0.1667,-0.265,-1.593,0.65,0.65
9,2024-01-01,2024-04-01,8477,546,9,1,8,0.6667,1.0,0.625,0.135,1.215,0.65,0.65
