fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,25632,26208,3842,1988,1854,0.7046,0.6982,0.7114,0.163,627.793,0.65,0.65
3,2022-07-01,2022-10-01,51840,26496,1541,585,956,0.6931,0.6991,0.6893,0.157,241.292,0.65,0.65
4,2022-10-01,2023-01-01,78336,26496,783,69,714,0.6564,0.8696,0.6359,0.134,105.023,0.65,0.65
