fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,25632,26208,756,204,552,0.7765,0.8627,0.7446,0.222,167.736,0.65,0.65
3,2022-07-01,2022-10-01,51840,26496,490,239,251,0.8122,0.8745,0.753,0.251,122.836,0.65,0.65
4,2022-10-01,2023-01-01,78336,26496,595,150,445,0.7647,0.8533,0.7348,0.213,126.904,0.65,0.65
