entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2025-09-03 00:00:00,LONG,4337.19,4293.82,sl,1,5e-05,-0.01105,0,0.684
2025-09-03 04:00:00,LONG,4312.37,4398.61,tp,2,0.0001,0.0189,1,0.5989
2025-09-05 00:00:00,LONG,4331.04,4417.67,tp,1,5e-05,0.01895,1,0.6286
2025-09-07 04:00:00,LONG,4296.71,4289.63,timeout,6,0.0003,-0.002946,0,0.5886
2025-10-08 00:00:00,LONG,4445.82,4534.74,tp,4,0.0002,0.0188,1,0.6599
2025-10-08 04:00:00,LONG,4465.71,4555.03,tp,3,0.00015,0.01885,1,0.6216
2025-10-08 12:00:00,LONG,4449.36,4538.35,tp,1,5e-05,0.01895,1,0.6227
2025-10-12 04:00:00,SHORT,3826.08,3864.34,sl,1,5e-05,-0.010951,0,0.597
2025-10-16 20:00:00,LONG,3896.46,3857.49,sl,2,0.0001,-0.0111,0,0.5822
2025-10-17 00:00:00,LONG,3935.22,3895.86,sl,1,5e-05,-0.01105,0,0.6215
2025-11-24 04:00:00,LONG,2831.69,2803.37,sl,1,5e-05,-0.01105,0,0.5825
2025-11-24 08:00:00,LONG,2804.81,2860.91,tp,2,0.0001,0.0189,1,0.5935
2025-12-01 08:00:00,SHORT,2836.93,2780.19,tp,1,5e-05,0.019358,1,0.6469
2025-12-24 04:00:00,LONG,2934.15,2904.8,sl,2,0.0001,-0.0111,0,0.5963
2026-01-22 00:00:00,LONG,3014.92,2984.77,sl,2,0.0001,-0.0111,0,0.5958
2026-01-22 12:00:00,LONG,2943.48,2914.05,sl,6,0.0003,-0.0113,0,0.6435
2026-01-22 16:00:00,LONG,2955.42,2925.86,sl,4,0.0002,-0.0112,0,0.6689
2026-01-26 00:00:00,LONG,2852.11,2909.15,tp,1,5e-05,0.01895,1,0.5933
2026-02-11 00:00:00,LONG,2010.59,1990.49,sl,1,5e-05,-0.01105,0,0.6545
2026-02-20 08:00:00,LONG,1944.95,1925.5,sl,1,5e-05,-0.01105,0,0.6414
2026-02-20 20:00:00,LONG,1969.86,1972.36,timeout,6,0.0003,-3.1e-05,0,0.5842
2026-02-21 00:00:00,LONG,1960.01,1973.72,timeout,6,0.0003,0.005696,1,0.6205
2026-02-23 00:00:00,SHORT,1861.94,1880.56,sl,1,5e-05,-0.010951,0,0.6219
2026-03-03 00:00:00,SHORT,2007.88,1967.72,tp,2,0.0001,0.019308,1,0.5988
2026-03-03 04:00:00,SHORT,1995.33,1955.43,tp,1,5e-05,0.019358,1,0.5971
2026-03-12 00:00:00,SHORT,2022.37,2042.59,sl,2,0.0001,-0.011001,0,0.6137
2026-03-12 04:00:00,SHORT,2039.68,2060.08,sl,1,5e-05,-0.010951,0,0.7138
2026-03-12 08:00:00,SHORT,2061.8,2082.42,sl,1,5e-05,-0.010951,0,0.6579
2026-03-12 12:00:00,SHORT,2071.29,2092.01,sl,2,0.0001,-0.011001,0,0.6574
2026-03-12 16:00:00,SHORT,2068.56,2089.24,sl,1,5e-05,-0.010951,0,0.6069
2026-03-13 12:00:00,SHORT,2126.95,2084.41,tp,2,0.0001,0.019308,1,0.6127
2026-03-13 16:00:00,SHORT,2101.43,2078.53,timeout,6,0.0003,0.009717,1,0.6387
2026-03-20 04:00:00,SHORT,2149.46,2170.96,sl,1,5e-05,-0.010951,0,0.6559
2026-03-20 16:00:00,SHORT,2131.84,2153.16,sl,1,5e-05,-0.010951,0,0.6264
2026-03-26 00:00:00,SHORT,2152.13,2109.09,tp,2,0.0001,0.019308,1,0.7399
2026-03-26 04:00:00,SHORT,2122.58,2080.13,tp,1,5e-05,0.019358,1,0.5845
2026-03-26 12:00:00,SHORT,2069.36,2027.98,tp,5,0.00025,0.019158,1,0.5887
2026-03-27 00:00:00,SHORT,2060.45,2019.24,tp,2,0.0001,0.019308,1,0.5832
2026-03-31 04:00:00,LONG,2057.0,2036.43,sl,1,5e-05,-0.01105,0,0.605
2026-03-31 08:00:00,LONG,2042.22,2083.07,tp,1,5e-05,0.01895,1,0.5814
2026-04-21 04:00:00,SHORT,2317.32,2340.49,sl,5,0.00025,-0.011151,0,0.6048
2026-05-08 00:00:00,LONG,2279.9,2314.17,timeout,6,0.0003,0.013733,1,0.5931
2026-06-07 00:00:00,SHORT,1594.21,1610.15,sl,1,5e-05,-0.010951,0,0.6323
2026-06-23 00:00:00,SHORT,1729.04,1694.45,tp,1,5e-05,0.019358,1,0.707
2026-06-23 04:00:00,SHORT,1682.17,1648.53,tp,1,5e-05,0.019358,1,0.6114
2026-07-05 20:00:00,SHORT,1784.76,1749.06,tp,4,0.0002,0.019208,1,0.5869
2026-07-13 00:00:00,SHORT,1779.66,1784.54,timeout,6,0.0003,-0.004036,0,0.6576
