fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,4385,540,526,326,200,0.7414,0.7362,0.75,0.194,102.02,0.65,0.65
2,2022-04-01,2022-07-01,4925,546,525,325,200,0.8095,0.8431,0.755,0.248,130.422,0.65,0.65
3,2022-07-01,2022-10-01,5471,552,527,263,264,0.7268,0.7414,0.7121,0.182,96.138,0.65,0.65
4,2022-10-01,2023-01-01,6023,552,466,327,139,0.5536,0.4801,0.7266,0.044,20.287,0.65,0.65
5,2023-01-01,2023-04-01,6575,540,475,150,325,0.7326,0.74,0.7292,0.188,89.072,0.65,0.65
6,2023-04-01,2023-07-01,7115,546,438,105,333,0.6096,0.6571,0.5946,0.089,39.017,0.65,0.65
7,2023-07-01,2023-10-01,7661,552,217,49,168,0.6544,0.7347,0.631,0.125,27.121,0.65,0.65
8,2023-10-01,2024-01-01,8213,552,405,126,279,0.7407,0.8254,0.7025,0.194,78.565,0.65,0.65
9,2024-01-01,2024-04-01,8765,546,514,205,309,0.7549,0.7756,0.7411,0.205,105.445,0.65,0.65
