entry_time,direction,entry,exit,exit_type,hold_bars,funding,pnl_pct,win,prob
2025-10-10 04:00:00,SHORT,218.01,220.19,sl,1,5e-05,-0.010951,0,0.5945
2025-10-10 12:00:00,SHORT,210.59,212.7,sl,1,5e-05,-0.010951,0,0.6606
2025-12-31 12:00:00,SHORT,125.53,126.78,sl,2,0.0001,-0.011001,0,0.6265
2026-01-23 16:00:00,LONG,128.14,126.86,sl,1,5e-05,-0.01105,0,0.5947
2026-01-24 00:00:00,LONG,127.97,126.69,sl,4,0.0002,-0.0112,0,0.63
2026-01-25 12:00:00,SHORT,125.53,123.02,tp,1,5e-05,0.019358,1,0.5866
2026-01-30 08:00:00,SHORT,117.02,114.68,tp,1,5e-05,0.019358,1,0.6076
2026-01-30 12:00:00,SHORT,116.74,117.91,sl,1,5e-05,-0.010951,0,0.6254
2026-01-30 16:00:00,SHORT,118.24,115.88,tp,4,0.0002,0.019208,1,0.6849
2026-01-30 20:00:00,SHORT,117.53,118.71,sl,2,0.0001,-0.011001,0,0.6104
2026-03-10 12:00:00,SHORT,88.29,86.52,tp,1,5e-05,0.019358,1,0.5971
2026-03-16 00:00:00,LONG,93.21,95.07,tp,3,0.00015,0.01885,1,0.6183
2026-03-20 00:00:00,SHORT,89.53,90.42,sl,2,0.0001,-0.011001,0,0.7565
2026-03-20 04:00:00,SHORT,89.33,90.22,sl,1,5e-05,-0.010951,0,0.7538
2026-03-20 08:00:00,SHORT,89.11,90.0,sl,3,0.00015,-0.011051,0,0.7963
2026-03-20 12:00:00,SHORT,88.9,89.78,sl,2,0.0001,-0.011001,0,0.8632
2026-03-20 16:00:00,SHORT,88.95,89.83,sl,1,5e-05,-0.010951,0,0.8654
2026-03-20 20:00:00,SHORT,89.8,90.69,sl,2,0.0001,-0.011001,0,0.6286
2026-03-21 00:00:00,SHORT,90.4,88.6,tp,5,0.00025,0.019158,1,0.5868
2026-03-31 16:00:00,LONG,82.74,84.4,tp,3,0.00015,0.01885,1,0.611
2026-04-08 00:00:00,LONG,84.6,83.76,sl,3,0.00015,-0.01115,0,0.6945
2026-04-08 04:00:00,LONG,84.54,83.7,sl,2,0.0001,-0.0111,0,0.6034
2026-04-08 08:00:00,LONG,84.49,83.65,sl,1,5e-05,-0.01105,0,0.6168
2026-04-14 00:00:00,LONG,86.09,85.23,sl,4,0.0002,-0.0112,0,0.582
2026-05-02 12:00:00,LONG,84.08,84.12,timeout,6,0.0003,-0.000873,0,0.5815
2026-05-08 04:00:00,LONG,88.26,90.03,tp,3,0.00015,0.01885,1,0.6021
2026-05-15 00:00:00,SHORT,92.01,90.17,tp,3,0.00015,0.019258,1,0.6704
2026-05-15 04:00:00,SHORT,91.55,89.72,tp,2,0.0001,0.019308,1,0.6845
2026-05-15 08:00:00,SHORT,91.22,89.4,tp,1,5e-05,0.019358,1,0.5937
2026-05-20 12:00:00,LONG,85.96,86.42,timeout,6,0.0003,0.003979,1,0.6419
2026-06-18 00:00:00,LONG,71.69,70.97,sl,1,5e-05,-0.01105,0,0.6081
2026-06-23 00:00:00,SHORT,71.96,70.52,tp,1,5e-05,0.019358,1,0.6335
2026-06-24 00:00:00,SHORT,69.53,70.22,sl,2,0.0001,-0.011001,0,0.597
2026-06-24 08:00:00,SHORT,69.79,68.39,tp,1,5e-05,0.019358,1,0.653
2026-07-23 00:00:00,SHORT,77.56,76.01,tp,3,0.00015,0.019258,1,0.6926
2026-07-23 04:00:00,SHORT,77.12,75.58,tp,3,0.00015,0.019258,1,0.6519
2026-07-23 08:00:00,SHORT,77.63,76.08,tp,1,5e-05,0.019358,1,0.6528
2026-07-29 16:00:00,SHORT,72.72,73.45,sl,1,5e-05,-0.010951,0,0.5845
2026-07-30 00:00:00,LONG,73.75,75.22,tp,6,0.0003,0.0187,1,0.6098
2026-07-30 04:00:00,LONG,73.45,74.92,tp,3,0.00015,0.01885,1,0.6211
2026-07-30 08:00:00,LONG,74.27,73.52,sl,5,0.00025,-0.01125,0,0.6632
2026-07-30 16:00:00,LONG,74.82,74.07,sl,2,0.0001,-0.0111,0,0.6271
