tf,side,H,cond,feat,n_tr,wr_tr,n_ho,wr_ho,base_ho,edge,wl,mean,mfe_med,mfe_p90
5m,LONG,20,vs_ma50 <= -2.193,vs_ma50,13164,55.59860224855667,1416,51.55367231638418,38.478882826542446,13.074789489841734,45.03373085667594,0.19724463,1.0329015254974365,2.8245959281921387
30m,SHORT,10,vs_ma200 >= 7.557,vs_ma200,5476,46.91380569758948,375,57.599999999999994,41.268321739315425,16.33167826068457,44.933078434693975,0.1348091,1.2933704853057861,3.789698600769043
5m,LONG,20,body_pct <= -0.5441,body_pct,13165,52.96619825294341,1311,51.63996948893974,38.478882826542446,13.161086662397295,44.866275721671734,0.02587736,0.823645293712616,2.4035024642944336
5m,LONG,20,cc_ret <= -0.5507,cc_ret,13165,53.04975313330801,1264,51.74050632911392,38.478882826542446,13.261623502571474,44.84237005596602,0.02241163,0.8276665806770325,2.400987386703491
5m,LONG,20,macd_hist <= -0.2448,macd_hist,6583,52.984961263861464,488,55.942622950819676,38.478882826542446,17.46374012427723,44.84080808242204,0.3278912,1.2457950115203857,2.9936861991882324
15m,LONG,20,vs_ma20 <= -2.343,vs_ma20,4388,55.355515041020965,463,56.15550755939525,43.810830647477424,12.344676911917823,44.75984797119177,0.19742513,1.6192044019699097,3.904613733291626
5m,LONG,20,range_pct >= 1.556,range_pct,6583,55.02050736746165,274,59.48905109489051,38.478882826542446,21.010168268348067,44.67823579045307,0.5427411,1.4926955699920654,4.146289348602295
1h,LONG,3,vs_ma20 <= -3.001,vs_ma20,2743,49.507838133430546,385,57.14285714285714,41.54330440701038,15.599552735846757,44.649001892501,0.14927027,1.0748432874679565,2.8107268810272217
5m,LONG,5,macd_hist <= -0.2448,macd_hist,6583,49.70378246999848,488,55.73770491803278,28.071780037152056,27.665924880880727,44.64061684816464,0.12731053,0.6759483814239502,2.081969976425171
1h,LONG,5,cc_ret <= -0.6907,cc_ret,5486,53.35399197958439,1349,51.29725722757599,44.05683655236961,7.24042067520638,44.62309985119885,0.006264564,0.8967173099517822,2.502000093460083
30m,LONG,3,dd_from_high <= -5.73,dd_from_high,10965,48.5453716370269,1375,51.2,37.98868422172119,13.21131577827881,44.589726464879895,0.004320053,0.6817760467529297,2.0952131748199463
30m,LONG,10,range_pct >= 1.49,range_pct,10971,50.56968371160332,1113,51.93171608265948,43.9104814176612,8.021234664998275,44.584576378774,0.039993357,1.2324182987213135,3.4003987312316895
30m,LONG,10,body_pct <= -0.7977,body_pct,5486,53.262850893182645,944,52.54237288135594,43.9104814176612,8.631891463694735,44.56497615757659,0.036018834,1.0411875247955322,2.9993889331817627
1h,LONG,5,body_pct <= -0.6912,body_pct,5487,53.19846910880263,1347,51.224944320712694,44.05683655236961,7.168107768343084,44.54694860500398,0.005835994,0.8967173099517822,2.502305269241333
5m,LONG,20,range_pct >= 1.201,range_pct,13165,53.04215723509304,626,54.31309904153354,38.478882826542446,15.834216214991095,44.51786518414016,0.23224364,1.2096878290176392,3.4251840114593506
30m,LONG,10,cc_ret <= -0.7972,cc_ret,5486,53.262850893182645,944,52.436440677966104,43.9104814176612,8.525959260304901,44.460888431523365,0.03384141,1.0399689674377441,2.9993889331817627
15m,LONG,20,atr_pct >= 1.263,atr_pct,10970,52.92616226071103,377,57.02917771883289,43.810830647477424,13.218347071355467,44.41013500717879,0.19984302,1.7435444593429565,4.912308216094971
5m,LONG,20,macd_hist <= -0.1826,macd_hist,13165,52.25977971895177,1287,51.204351204351205,38.478882826542446,12.72546837780876,44.375097496739095,0.06827602,0.926900327205658,2.4304754734039307
5m,LONG,3,vs_ma50 <= -2.93,vs_ma50,6582,51.01792768155576,451,55.87583148558758,23.474401423679303,32.40143006190828,44.34024582946543,0.108881705,0.6209850311279297,1.8420120477676392
1h,LONG,5,atr_pct >= 1.422,atr_pct,10970,49.13400182315406,873,52.57731958762887,44.05683655236961,8.52048303525926,44.2870704617433,0.106712826,1.1772643327713013,3.3800547122955322
30m,LONG,5,macd_hist <= -0.4256,macd_hist,2195,54.30523917995445,215,60.93023255813953,40.50880626223092,20.42142629590861,44.22721413206106,0.2595753,1.1384921073913574,2.736074209213257
1h,LONG,3,vs_ma50 <= -4.873,vs_ma50,2741,50.71141919007661,341,57.478005865102645,41.54330440701038,15.934701458092263,44.21551500866588,0.25673124,1.2361183166503906,3.0376405715942383
30m,LONG,3,vs_ma50 <= -3.475,vs_ma50,5483,49.62611708918475,759,53.0961791831357,37.98868422172119,15.10749496141451,44.206778262074835,0.044179466,0.7841001749038696,2.2466726303100586
1h,LONG,5,range_pct >= 1.487,range_pct,10973,49.18436161487287,1602,50.24968789013733,44.05683655236961,6.192851337767721,44.13202744068363,0.014969057,1.0627788305282593,2.9262287616729736
15m,LONG,10,atr_pct >= 0.9707,atr_pct,21940,49.24794895168642,1214,51.15321252059309,40.48669977983642,10.666512740756666,44.12571417585827,0.07204769,1.0958038568496704,2.960092782974243
1h,LONG,5,macd_hist <= -0.4113,macd_hist,2744,49.38046647230321,342,57.30994152046783,44.05683655236961,13.25310496809822,44.07138724729651,0.18995376,1.1697885990142822,3.288163661956787
5m,LONG,5,vs_ma50 <= -2.193,vs_ma50,13164,51.20024308720753,1416,50.494350282485875,28.071780037152056,22.42257024533382,43.98952160244388,0.0013799587,0.5941498279571533,1.6613507270812988
5m,LONG,5,vs_ma200 <= -4.346,vs_ma200,13161,49.47952283261151,1058,51.51228733459357,28.071780037152056,23.440507297441517,43.987018774365374,0.028446062,0.6270960569381714,1.759486198425293
30m,LONG,5,atr_pct >= 1.37,atr_pct,10970,49.66271649954421,518,54.440154440154444,40.50880626223092,13.931348177923525,43.69331340351797,0.16939323,1.1023118495941162,3.164882183074951
5m,LONG,3,macd_hist <= -0.2448,macd_hist,6583,48.83791584384019,488,54.713114754098356,23.474401423679303,31.238713330419053,43.642320326017995,0.033491995,0.5641716718673706,1.7258059978485107
15m,LONG,3,vs_ma50 <= -3.751,vs_ma50,4388,51.95989061075661,375,56.00000000000001,32.84553537244225,23.154464627557758,43.37963615957193,0.112449534,0.8395087122917175,2.2411680221557617
5m,LONG,20,vs_ma200 <= -5.621,vs_ma200,6581,59.79334447652332,339,56.63716814159292,38.478882826542446,18.158285315050477,43.3641552402208,0.47172555,1.533488392829895,5.038043022155762
30m,SHORT,10,up_from_low >= 9.25,up_from_low,5483,47.21867590734999,326,56.74846625766872,41.268321739315425,15.480144518353292,43.21877055170335,0.19243646,1.2189648151397705,2.804260492324829
5m,LONG,20,macd_hist >= 0.2455,macd_hist,6583,49.23287255050889,442,54.52488687782805,38.478882826542446,16.046004051285607,42.91539656276173,0.20543896,1.003143310546875,3.384537696838379
15m,LONG,10,vs_ma20 <= -2.343,vs_ma20,4388,55.78851412944393,463,54.21166306695464,40.48669977983642,13.724963287118221,42.87000389298914,0.21620212,1.2350027561187744,3.264448881149292
5m,LONG,5,vs_ma200 <= -5.621,vs_ma200,6581,52.80352530010637,339,56.04719764011799,28.071780037152056,27.975417602965937,42.79547030388093,0.1523766,0.9533551335334778,2.5357227325439453
5m,LONG,10,vs_ma200 <= -5.621,vs_ma200,6581,56.41999696094818,339,56.04719764011799,33.6224958256375,22.424701814480493,42.79547030388093,0.29472855,1.3140109777450562,3.283508539199829
5m,LONG,20,cc_ret <= -0.7655,cc_ret,6583,54.64074130335713,429,54.54545454545454,38.478882826542446,16.066571718912094,42.766504082482875,0.17970507,1.0342051982879639,2.951493978500366
1h,LONG,3,macd_hist <= -0.4113,macd_hist,2744,49.12536443148688,342,55.84795321637427,41.54330440701038,14.30464880936389,42.659794121984376,0.10435632,0.9316238164901733,2.6737606525421143
30m,LONG,3,dd_from_high <= -8.007,dd_from_high,5483,51.61407988327558,327,55.96330275229357,37.98868422172119,17.97461853057238,42.48328586415444,0.19332303,1.018147349357605,2.8000659942626953
30m,LONG,3,macd_hist <= -0.4256,macd_hist,2195,53.849658314350805,215,59.06976744186046,37.98868422172119,21.08108322013927,42.447249222417526,0.20382448,0.9072451591491699,2.3850135803222656
5m,LONG,20,body_pct <= -0.7536,body_pct,6583,54.51921616284368,450,53.77777777777778,38.478882826542446,15.298894951235333,42.293564709303,0.15929474,1.0150103569030762,2.9461958408355713
1h,LONG,3,dd_from_high <= -8.225,dd_from_high,5481,48.53128991060026,598,52.0066889632107,41.54330440701038,10.463384556200317,42.05216659910059,0.057826564,0.9494426250457764,2.8490912914276123
15m,LONG,5,vs_ma20 <= -2.343,vs_ma20,4388,54.80856882406563,463,53.34773218142549,36.53351200731713,16.814220174108364,42.035284506394696,0.16805355,0.9319155812263489,2.432324171066284
5m,LONG,20,vs_ma20 >= 1.313,vs_ma20,13164,45.81434214524461,1527,48.06810740013098,38.478882826542446,9.589224573588531,41.842940088767385,0.016708601,0.7772466540336609,2.4746878147125244
5m,LONG,20,bb_width >= 3.619,bb_width,32910,50.52871467639015,3045,46.174055829228244,38.478882826542446,7.695173002685799,41.76682750699825,0.015293269,0.83541339635849,2.3736989498138428
5m,LONG,5,dd_from_high <= -4.867,dd_from_high,13163,50.839474283977815,986,49.49290060851927,28.071780037152056,21.421120571367215,41.7483965141497,0.03736513,0.5722254514694214,1.7331974506378174
5m,LONG,3,bb_width >= 6.751,bb_width,6582,46.4752354907323,267,56.55430711610487,23.474401423679303,33.07990569242557,41.675486755752836,0.28731555,0.7840947508811951,2.091481924057007
