tf,side,H,cond,feat,n_tr,wr_tr,n_ho,wr_ho,base_ho,edge,wl,mean,mfe_med,mfe_p90
1h,LONG,20,dd_from_high <= -8.225,dd_from_high,5481,49.26108374384236,598,61.7056856187291,48.1758971521008,13.529788466628297,51.628315242654985,0.87195927,2.525777816772461,6.775761604309082
4h,LONG,20,vs_ma200 <= -8.08,vs_ma200,2706,52.40206947524021,638,60.81504702194357,50.64824292050495,10.166804101438622,51.05569307028096,0.66253674,3.5580592155456543,10.082152366638184
30m,LONG,20,vs_ma50 <= -2.203,vs_ma50,10966,50.10031004924311,2391,55.91802593057298,46.62212481647765,9.29590111409533,50.87638719356604,0.16272348,1.302791953086853,4.159374237060547
1h,LONG,20,vs_ma200 <= -3.562,vs_ma200,10933,51.028994786426416,3222,54.93482309124767,48.1758971521008,6.75892593914687,50.59137048548011,0.1549967,1.7363500595092773,4.835312366485596
30m,LONG,20,dd_from_high <= -3.707,dd_from_high,21930,51.25854993160055,4873,54.09398727683153,46.62212481647765,7.471862460353876,50.56213460591774,0.05954294,1.1938263177871704,3.5804781913757324
15m,LONG,20,dd_from_high <= -4.016,dd_from_high,21935,50.82744472304535,3517,54.70571509809496,43.810830647477424,10.894884450617539,50.548371419163495,0.11916232,1.0105005502700806,3.016791820526123
2h,LONG,10,vs_ma200 <= -5.493,vs_ma200,5448,50.55066079295154,1286,57.38724727838258,48.09771044344199,9.289536834940591,50.512053020185846,0.22002816,1.9393842220306396,5.372430324554443
15m,LONG,20,dd_from_high <= -2.578,dd_from_high,43870,50.10941417825393,10287,52.93088363954506,43.810830647477424,9.120052992067635,50.50001132924732,0.020984767,0.8341572284698486,2.4591691493988037
30m,SHORT,20,up_from_low >= 9.25,up_from_low,5483,45.44957140251687,326,64.11042944785275,43.43468732046726,20.67574212738549,50.455123313964634,0.51914144,2.001162528991699,4.1631317138671875
30m,LONG,20,vs_ma200 <= -4.788,vs_ma200,10951,48.306090767966396,2039,55.90975968612065,46.62212481647765,9.287634869643,50.44964130352175,0.108893864,1.4681106805801392,4.155400276184082
1h,LONG,20,vs_ma200 <= -6.736,vs_ma200,5467,51.87488567770258,906,58.27814569536424,48.1758971521008,10.102248543263435,50.08664481123465,0.30886826,2.422764778137207,5.88262939453125
15m,LONG,20,vs_ma200 <= -3.214,vs_ma200,21921,50.358104101090284,4524,53.69142351900973,43.810830647477424,9.880592871532308,50.02563946135922,0.025119273,1.0362977981567383,2.953874349594116
2h,LONG,10,atr_pct >= 2.013,atr_pct,5485,51.63172288058341,380,62.63157894736842,48.09771044344199,14.533868503926428,49.983155097165756,0.8373242,2.686110496520996,6.839180946350098
30m,LONG,10,vs_ma50 <= -3.475,vs_ma50,5483,49.24311508298377,759,58.89328063241107,43.9104814176612,14.982799214749868,49.94360965753986,0.26584008,1.4047574996948242,3.5108654499053955
30m,LONG,20,atr_pct >= 1.009,atr_pct,21939,49.97493048908337,2036,55.40275049115914,46.62212481647765,8.780625674681488,49.938394098128065,0.2502452,1.6088387966156006,4.563719272613525
1h,LONG,20,vs_ma20 <= -0.9223,vs_ma20,10969,52.24724222809737,3779,53.850224927229426,48.1758971521008,5.674327775128624,49.839364529824906,0.11541861,1.463720440864563,4.457850456237793
15m,LONG,20,vs_ma50 <= -1.486,vs_ma50,21936,51.78245805981035,5293,53.088985452484415,43.810830647477424,9.278154805006992,49.700001838118105,0.0010895375,0.913837194442749,2.5366575717926025
15m,LONG,20,vs_ma50 <= -3.751,vs_ma50,4388,53.46399270738378,375,62.4,43.810830647477424,18.589169352522575,49.66781282367165,0.34616727,1.8985481262207031,4.873525142669678
5m,LONG,20,dd_from_high <= -4.867,dd_from_high,13163,55.45848210894173,986,57.40365111561866,38.478882826542446,18.924768289076212,49.55179511334168,0.28825065,1.0854487419128418,3.223843574523926
1h,LONG,20,dd_from_high <= -5.394,dd_from_high,10961,50.597573214122804,2099,54.930919485469275,48.1758971521008,6.755022333368473,49.54940667990795,0.19586861,1.8831872940063477,5.119006633758545
1h,LONG,20,atr_pct >= 1.422,atr_pct,10970,51.76845943482225,873,57.846506300114555,48.1758971521008,9.670609148013753,49.5020206740357,0.5433958,2.660578966140747,6.633916854858398
30m,LONG,10,vs_ma50 <= -2.203,vs_ma50,10966,50.72040853547328,2395,54.48851774530271,43.9104814176612,10.578036327641506,49.45062105469535,0.02442945,0.9739753603935242,2.761634588241577
1h,LONG,10,dd_from_high <= -5.394,dd_from_high,10961,49.03749657877931,2099,54.74035254883278,46.776732904982765,7.963619643850016,49.35906338451825,0.050516527,1.2946157455444336,3.616623640060425
1h,LONG,10,vs_ma200 <= -3.562,vs_ma200,10933,48.59599378029818,3222,53.63128491620112,46.776732904982765,6.8545520112183524,49.28796894992973,0.041442472,1.1639240980148315,3.448378801345825
30m,LONG,10,dd_from_high <= -5.73,dd_from_high,10965,50.86183310533515,1375,55.92727272727272,43.9104814176612,12.01679130961152,49.27865010540839,0.20644183,1.269940972328186,3.4360082149505615
15m,LONG,20,vs_ma50 <= -2.397,vs_ma50,10968,51.43143690736689,1795,54.930362116991645,43.810830647477424,11.119531469514222,49.111642255821806,0.07158657,1.1801644563674927,2.955808401107788
1h,LONG,10,vs_ma200 <= -6.736,vs_ma200,5467,49.97256264861898,906,57.284768211920536,46.776732904982765,10.50803530693777,49.094598141349366,0.18295823,1.5850317478179932,4.287087440490723
30m,LONG,10,dd_from_high <= -3.707,dd_from_high,21930,50.601915184678525,4877,52.552798851753124,43.9104814176612,8.642317434091922,49.02284600364231,0.0075542205,0.8687770962715149,2.6386771202087402
1h,LONG,20,vs_ma50 <= -1.641,vs_ma50,10963,52.18462099790203,3602,53.08162132148806,48.1758971521008,4.9057241693872555,48.97424052308435,0.019337969,1.4650332927703857,4.468844413757324
1h,LONG,10,dd_from_high <= -8.225,dd_from_high,5481,48.622514139755516,598,59.030100334448164,46.776732904982765,12.2533674294654,48.94960700431251,0.37216288,1.7051794528961182,5.0710673332214355
1h,LONG,20,vs_ma20 <= -1.897,vs_ma20,5485,52.123974475843205,1254,55.90111642743222,48.1758971521008,7.725219275331419,48.93995283925087,0.34824866,1.8438152074813843,5.432860374450684
5m,LONG,20,vs_ma200 <= -2.82,vs_ma200,32901,50.04407160876569,4962,52.35792019347038,38.478882826542446,13.879037366927932,48.85857601307049,0.0153135145,0.8024680614471436,2.097501039505005
2h,LONG,10,dd_from_high <= -7.617,dd_from_high,5476,49.7991234477721,1045,56.45933014354066,48.09771044344199,8.361619700098672,48.83411695761054,0.2501685,1.8901842832565308,5.265558242797852
30m,LONG,5,vs_ma200 <= -7.102,vs_ma200,5476,51.68005843681519,529,59.54631379962193,40.50880626223092,19.037507537391008,48.82911507749864,0.32834405,1.3358442783355713,2.961698055267334
1h,LONG,5,macd_hist <= -0.2725,macd_hist,5487,50.11846181884454,1076,56.226765799256505,44.05683655236961,12.169929246886895,48.712646248023155,0.104709,0.921964168548584,2.6055400371551514
30m,LONG,20,range_pct >= 1.043,range_pct,21942,50.61070093883876,3188,52.94855708908407,46.62212481647765,6.326432272606418,48.58345188435676,0.108617835,1.3765925168991089,4.000966548919678
15m,LONG,5,dd_from_high <= -5.661,dd_from_high,10968,49.53501094091904,944,56.567796610169495,36.53351200731713,20.034284602852367,48.54624116452419,0.15417086,0.8258090019226074,2.29853892326355
30m,SHORT,20,vs_ma200 >= 7.557,vs_ma200,5476,47.80861943024105,375,61.06666666666667,43.43468732046726,17.631979346199408,48.34120732940163,0.1917058,1.85077702999115,4.177526950836182
1h,LONG,20,range_pct >= 1.487,range_pct,10973,51.43534129226283,1602,54.49438202247191,48.1758971521008,6.318484870371108,48.337557278704,0.34625205,1.9483009576797485,5.3449554443359375
1h,LONG,20,macd_hist <= -0.2725,macd_hist,5487,51.066156369600876,1075,55.81395348837209,48.1758971521008,7.6380563362712905,48.29820388645146,0.4307342,1.917209267616272,5.760782718658447
1h,LONG,10,macd_hist <= -0.2725,macd_hist,5487,48.64224530708948,1075,55.81395348837209,46.776732904982765,9.037220583389328,48.29820388645146,0.17552267,1.2671841382980347,3.8887734413146973
5m,LONG,20,atr_pct >= 1.016,atr_pct,13164,54.97569127924643,381,60.892388451443566,38.478882826542446,22.41350562490112,48.26815334809934,0.7994822,1.657365083694458,4.305292129516602
5m,LONG,10,vs_ma50 <= -2.93,vs_ma50,6582,55.75812822850198,451,59.86696230598669,33.6224958256375,26.24446648034919,48.26375731329308,0.41817886,1.1148152351379395,2.8654158115386963
1h,LONG,5,vs_ma50 <= -4.873,vs_ma50,2741,51.550529004013136,341,61.58357771260997,44.05683655236961,17.526741160240363,48.23970980751111,0.37543768,1.5137782096862793,3.989318609237671
15m,LONG,20,atr_pct >= 0.7153,atr_pct,43879,49.41999589780989,4231,52.020798865516426,43.810830647477424,8.209968218039002,48.23257859945562,0.066344984,1.2138336896896362,3.2302610874176025
1h,LONG,20,macd_hist <= -0.1466,macd_hist,10973,50.60603299006653,3430,52.390670553935855,48.1758971521008,4.214773401835053,48.18345885771323,0.10090425,1.4471569061279297,4.330130100250244
30m,LONG,10,vs_ma200 <= -4.788,vs_ma200,10951,48.22390649255775,2039,53.555664541441885,43.9104814176612,9.645183123780683,48.09927217529132,0.021217613,1.054032325744629,2.9700615406036377
5m,LONG,20,vs_ma200 <= -4.346,vs_ma200,13161,54.03084871970215,1058,55.67107750472589,38.478882826542446,17.192194678183448,48.09629120168461,0.25868112,1.1446168422698975,3.1514036655426025
5m,LONG,10,vs_ma20 <= -1.87,vs_ma20,6582,54.29960498328775,535,58.69158878504673,33.6224958256375,25.069092959409232,48.039926621080845,0.30093643,1.02649986743927,2.573469877243042
5m,LONG,5,bb_width >= 6.751,bb_width,6582,48.02491643877241,267,62.92134831460674,28.071780037152056,34.84956827745468,47.84593583953628,0.44079074,1.0252121686935425,2.4708971977233887
15m,SHORT,20,vs_ma50 >= 3.623,vs_ma50,4388,45.12306289881495,436,59.63302752293578,41.250491963706374,18.382535559229403,47.83585847134862,0.1753221,1.3641164302825928,3.4456777572631836
30m,LONG,20,bb_width >= 4.523,bb_width,21938,50.00911660133103,3577,51.94296896840929,46.62212481647765,5.320844151931638,47.82429693317709,0.16274485,1.2584121227264404,3.9827213287353516
5m,LONG,5,vs_ma50 <= -2.93,vs_ma50,6582,53.00820419325433,451,59.42350332594235,28.071780037152056,31.351723288790293,47.82429339200329,0.20184965,0.809049665927887,2.243540048599243
30m,LONG,20,range_pct >= 1.49,range_pct,10971,51.59055692279646,1113,55.16621743036837,46.62212481647765,8.544092613890719,47.782870733314795,0.2763548,1.6432387828826904,4.545078754425049
5m,LONG,10,atr_pct >= 1.016,atr_pct,13164,52.7043451838347,381,60.367454068241464,33.6224958256375,26.744958242603964,47.74845319136338,0.5741436,1.287855863571167,3.182419538497925
1h,LONG,10,vs_ma20 <= -3.001,vs_ma20,2743,47.757929274516954,385,60.259740259740255,46.776732904982765,13.48300735475749,47.706938445073796,0.44737378,1.7524586915969849,5.20029354095459
15m,LONG,3,dd_from_high <= -5.661,dd_from_high,10968,47.41976659372721,944,55.720338983050844,32.84553537244225,22.874803610608595,47.703857218918046,0.06487933,0.6811286211013794,1.7512381076812744
1h,LONG,10,atr_pct >= 1.422,atr_pct,10970,50.95715587967183,873,56.013745704467354,46.776732904982765,9.237012799484589,47.677850815620594,0.34118202,1.7069212198257446,5.054201126098633
1h,LONG,10,vs_ma20 <= -1.897,vs_ma20,5485,49.498632634457614,1254,54.625199362041464,46.776732904982765,7.848466457058699,47.670034669298076,0.091837235,1.2553637027740479,3.8107645511627197
30m,SHORT,20,up_from_low >= 6.694,up_from_low,10965,46.11035111719106,1223,54.61978740801309,43.43468732046726,11.185100087545827,47.577646101544055,0.16106439,1.6004678010940552,4.037012577056885
15m,LONG,20,atr_pct >= 0.9707,atr_pct,21940,50.22789425706472,1214,54.61285008237232,43.810830647477424,10.802019434894895,47.54487994524762,0.20087686,1.4629499912261963,3.7109375
5m,LONG,10,macd_hist <= -0.2448,macd_hist,6583,51.81528178641956,488,58.606557377049185,33.6224958256375,24.984061551411685,47.45958219089115,0.2687929,0.8912183046340942,2.476391077041626
30m,LONG,20,macd_hist <= -0.4256,macd_hist,2195,51.07061503416857,215,64.18604651162791,46.62212481647765,17.563921695150256,47.39344168483633,0.6944879,1.9490416049957275,4.81721305847168
4h,LONG,3,dd_from_high <= -11.23,dd_from_high,2734,48.46378931967813,399,59.64912280701754,47.320972954584114,12.328149852433427,47.323225715014566,0.20689319,1.6255042552947998,4.466726303100586
30m,LONG,20,body_pct <= -0.4908,body_pct,10971,52.99425758818705,2567,52.12310089598753,46.62212481647765,5.500976079509876,47.26390865817589,0.01709927,1.1837772130966187,3.3774425983428955
1h,LONG,10,range_pct >= 1.487,range_pct,10973,50.615146268112646,1602,53.37078651685393,46.776732904982765,6.594053611871168,47.22008434305779,0.1715864,1.4164822101593018,3.9510416984558105
2h,LONG,5,dd_from_high <= -7.617,dd_from_high,5476,48.21037253469686,1045,54.83253588516747,46.75855028075549,8.073985604411973,47.21707224245239,0.076857775,1.2657897472381592,3.740084171295166
30m,LONG,20,cc_ret <= -0.4919,cc_ret,10971,53.04894722450095,2552,52.076802507836994,46.62212481647765,5.454677691359343,47.203676433609616,0.0136657525,1.182319164276123,3.383147716522217
15m,LONG,5,vs_ma200 <= -4.935,vs_ma200,10961,49.50278259282912,1333,53.93848462115529,36.53351200731713,17.40497261383816,47.19585828557676,0.064245366,0.7738196849822998,2.1547939777374268
30m,LONG,20,vs_ma20 <= -1.282,vs_ma20,10969,50.97091804175403,2654,51.883948756593824,46.62212481647765,5.261823940116173,47.105916832355476,0.024883198,1.164551019668579,3.539311408996582
5m,LONG,20,dd_from_high <= -3.358,dd_from_high,32908,52.078521939953816,3915,51.00893997445721,38.478882826542446,12.530057147914768,47.07508823052614,0.01999715,0.8330567479133606,2.1913580894470215
5m,LONG,10,vs_ma200 <= -4.346,vs_ma200,13161,51.888154395562644,1058,54.63137996219282,33.6224958256375,21.008884136555317,47.06417558685573,0.14882791,0.8948085308074951,2.3976340293884277
2h,LONG,5,vs_ma200 <= -5.493,vs_ma200,5448,48.58663729809104,1286,53.88802488335925,46.75855028075549,7.129474602603757,47.02465428011073,0.06486961,1.2070531845092773,3.678867816925049
30m,LONG,10,dd_from_high <= -8.007,dd_from_high,5483,53.16432609885099,327,60.550458715596335,43.9104814176612,16.639977297935133,46.94102468329364,0.47868752,2.0045928955078125,5.036145210266113
1h,LONG,5,vs_ma20 <= -3.001,vs_ma20,2743,49.03390448414145,385,59.480519480519476,44.05683655236961,15.423682928149866,46.93808026160455,0.19904557,1.3417558670043945,3.379136562347412
5m,LONG,10,dd_from_high <= -4.867,dd_from_high,13163,53.55921902301907,986,54.76673427991886,33.6224958256375,21.144238454281357,46.92938390553611,0.17563993,0.8127080202102661,2.326749801635742
5m,LONG,20,atr_pct >= 0.5602,atr_pct,65820,49.72500759647524,4069,50.724993855984266,38.478882826542446,12.24611102944182,46.86727759134069,0.035694122,0.961003839969635,2.619478702545166
30m,LONG,20,body_pct <= -0.7977,body_pct,5486,53.262850893182645,942,54.88322717622081,46.62212481647765,8.261102359743155,46.865565249428236,0.13883546,1.3709940910339355,3.9849183559417725
5m,LONG,10,vs_ma20 <= -1.37,vs_ma20,13164,52.301731996353695,1490,53.22147651006711,33.6224958256375,19.598980684429613,46.84663084602201,0.075454734,0.7560409307479858,2.0411312580108643
15m,LONG,10,dd_from_high <= -4.016,dd_from_high,21935,50.453612947344425,3517,50.952516349161215,40.48669977983642,10.465816569324794,46.803427835051245,0.015714336,0.7548038959503174,2.259894371032715
30m,LONG,20,cc_ret <= -0.7972,cc_ret,5486,53.2446226759023,942,54.77707006369427,46.62212481647765,8.154945247216617,46.760486439638235,0.13638075,1.3577566146850586,3.9849183559417725
5m,LONG,10,macd_hist <= -0.1826,macd_hist,13165,50.95328522597797,1287,53.613053613053616,33.6224958256375,19.990557787416115,46.75466308056288,0.055676594,0.7030171751976013,1.9320664405822754
1h,LONG,5,vs_ma50 <= -3.175,vs_ma50,5482,50.29186428310835,1126,54.08525754884547,44.05683655236961,10.028420996475859,46.75293919004938,0.03932876,1.0430628061294556,2.9555132389068604
