fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,25632,26208,159,82,77,0.8679,0.8293,0.9091,0.295,46.981,0.65,0.65
3,2022-07-01,2022-10-01,51840,26496,5,3,2,0.8,0.6667,1.0,0.241,1.205,0.65,0.65
4,2022-10-01,2023-01-01,78336,26496,26,7,19,0.8462,0.8571,0.8421,0.268,6.956,0.64,0.65
