lev,pt,conc,max,p50,median,p_loss,p_bust,mdd,best
2.0,0.05,20,15.08159982468597,0.0,1.5316613397549137,20.634920634920633,0.0,50.2046827482794,2020-05
2.0,0.075,13,21.24109257757528,0.0,1.8103735230469857,21.693121693121693,0.0,46.91605712612022,2020-05
2.0,0.1,10,35.673943146615,0.0,1.9970155538996095,21.693121693121693,0.0,45.87565550487497,2020-05
2.0,0.15,7,10.105525919165487,0.0,1.718977574725399,28.04232804232804,0.0,45.81076645400466,2020-05
2.0,0.2,5,12.555398997424634,0.0,1.890517325072487,28.57142857142857,0.0,42.1970617170185,2020-05
2.0,0.33,3,8.103318641121783,0.0,1.9443642561258836,23.28042328042328,0.0,59.702178653533046,2020-05
2.5,0.05,20,21.21801559521378,0.0,1.5779726888937669,21.693121693121693,0.0,62.62309573042153,2020-05
2.5,0.075,13,35.916564095664064,0.0,2.0900431356371545,19.047619047619047,1.0582010582010581,63.60701637642392,2020-10
2.5,0.1,10,25.341551218495628,0.0,2.2518684582994575,14.285714285714285,0.5291005291005291,52.40020977654972,2020-04
2.5,0.15,7,19.527566129110568,0.0,2.062342913839847,21.693121693121693,0.0,48.00620847409134,2020-05
2.5,0.2,5,16.302409962524248,0.0,1.8881399709566564,33.86243386243386,13.227513227513226,52.726335294872584,2020-04
2.5,0.33,3,7.82665756039042,0.0,1.5176577586690008,43.386243386243386,12.698412698412698,66.42433629502129,2023-03
3.0,0.05,20,29.7988810182864,0.0,1.8685371878241233,24.867724867724867,1.0582010582010581,62.676434996910736,2020-10
3.0,0.075,13,63.64853675590722,1.0582010582010581,2.176908781357231,26.984126984126984,1.0582010582010581,76.11733341572543,2020-04
3.0,0.1,10,47.67961156511831,0.0,2.590061120477642,25.396825396825395,1.0582010582010581,68.26182083155379,2020-04
3.0,0.15,7,81.67988354275748,1.5873015873015872,3.3227422336963532,17.46031746031746,0.5291005291005291,55.59799626774424,2021-01
3.0,0.2,5,116.33377158578766,2.6455026455026456,2.599810956116219,30.158730158730158,11.64021164021164,64.0984896890225,2021-01
3.0,0.33,3,14.032069732070003,0.0,1.3837645724587195,40.21164021164021,15.873015873015872,70.04672464384916,2020-04
4.0,0.05,20,28.475606097674785,0.0,1.8900956727813376,26.455026455026452,13.227513227513226,78.09890725870119,2020-04
4.0,0.075,13,52.1711952398299,1.0582010582010581,2.245814138455112,31.746031746031743,13.227513227513226,86.25094034103661,2020-04
4.0,0.1,10,27.91258917934531,0.0,1.6292586658082477,38.62433862433862,24.867724867724867,74.0049450684769,2020-04
4.0,0.15,7,15.102274315744449,0.0,1.2120280556614627,42.32804232804233,24.867724867724867,68.68686163236025,2020-04
4.0,0.2,5,52.554448471226856,0.5291005291005291,1.8002032379173014,42.857142857142854,21.693121693121693,79.49136997803097,2021-01
4.0,0.33,3,31.371310188576857,0.0,1.9439049505252073,34.39153439153439,1.5873015873015872,81.41288863981653,2020-04
5.0,0.05,20,18.852150922295195,0.0,1.4160969996659438,42.32804232804233,23.28042328042328,88.72013277564184,2024-01
5.0,0.075,13,25.44562939130531,0.0,1.0800694338954868,48.67724867724868,25.396825396825395,90.09707798504873,2024-01
5.0,0.1,10,24.433250063502538,0.0,1.0587677277223273,47.61904761904761,27.513227513227513,86.99133787952151,2023-12
5.0,0.15,7,32.41805914308317,0.0,1.2253487356784447,44.97354497354497,24.33862433862434,80.50640026713405,2020-09
5.0,0.2,5,24.726285951823737,0.0,1.9540796972357473,41.7989417989418,21.693121693121693,89.16123391843347,2020-04
5.0,0.33,3,54.10477126464532,1.0582010582010581,2.179364996225341,33.86243386243386,14.285714285714285,88.3884884043249,2020-10
