fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,11880,2160,80,0,80,0.55,0.0,0.55,0.042,3.342,0.65,0.65
2,2022-04-01,2022-07-01,14040,2184,9,0,9,0.4444,0.0,0.4444,-0.043,-0.386,0.65,0.65
3,2022-07-01,2022-10-01,16224,2208,11,0,11,0.3636,0.0,0.3636,-0.108,-1.184,0.65,0.65
4,2022-10-01,2023-01-01,18432,2208,20,20,0,0.5,0.5,0.0,0.0,0.0,0.65,0.65
5,2023-01-01,2023-04-01,20640,2159,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
6,2023-04-01,2023-07-01,22799,2184,8,0,8,0.25,0.0,0.25,-0.199,-1.59,0.65,0.65
7,2023-07-01,2023-10-01,24983,2208,7,1,6,0.2857,0.0,0.3333,-0.17,-1.191,0.65,0.65
8,2023-10-01,2024-01-01,27191,2208,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
9,2024-01-01,2024-04-01,29399,2184,0,0,0,0.0,0.0,0.0,0.0,0.0,0.65,0.65
