fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,17514,2160,312,151,161,0.6378,0.6556,0.6211,0.111,34.705,0.65,0.65
2,2022-04-01,2022-07-01,19674,2184,445,284,161,0.7011,0.6972,0.7081,0.162,71.927,0.65,0.65
3,2022-07-01,2022-10-01,21858,2208,100,29,71,0.54,0.5172,0.5493,0.033,3.326,0.65,0.65
4,2022-10-01,2023-01-01,24066,2208,183,87,96,0.7158,0.7126,0.7188,0.174,31.797,0.65,0.65
5,2023-01-01,2023-04-01,26274,2159,74,39,35,0.6892,0.6923,0.6857,0.152,11.27,0.65,0.65
6,2023-04-01,2023-07-01,28433,2184,47,41,6,0.5957,0.6098,0.5,0.077,3.61,0.65,0.65
7,2023-07-01,2023-10-01,30617,2208,12,8,4,0.6667,0.75,0.5,0.134,1.607,0.65,0.65
8,2023-10-01,2024-01-01,32825,2208,91,46,45,0.6703,0.7609,0.5778,0.137,12.482,0.65,0.65
9,2024-01-01,2024-04-01,35033,2184,246,114,132,0.6423,0.6491,0.6364,0.115,28.253,0.65,0.65
