direction,rule,win_rate,count,lift,baseline_wr,symbol,interval
SHORT,atr7 ≤ 0.03319 AND inside_bar ≤ 0.5 AND fractal_high > 0.5 AND vol_48 > 0.01255 AND vix_ret5d > -0.03541,97.2,211,1.18,82.5,SOLUSDT,4h
LONG,vol_48 > 0.00645 AND vol_ratio_12 ≤ 1.54889 AND vol_24 ≤ 0.02012 AND stoch_kd_24 ≤ -0.10265 AND skew_24 ≤ 0.3557,97.2,71,1.27,76.7,BNBUSDT,4h
LONG,atr7 > 0.02809 AND lower_shadow > 0.48454 AND vs_sma576 ≤ 0.11439 AND ret_3 ≤ -0.01652,97.1,35,1.25,77.6,XRPUSDT,4h
SHORT,atr > 0.02669 AND vol_ratio_12 > 0.4663 AND atr7 > 0.0324 AND ret_6 ≤ 0.08231 AND ret_3 > -0.06978,97.1,279,1.19,81.5,ADAUSDT,4h
SHORT,upper_shadow ≤ 0.35325 AND vs_low_55 > 0.01365 AND elder_bull_slope ≤ 0.0044 AND dxy ≤ 106.265,97.0,134,1.38,70.3,ETHUSDT,5m
LONG,atr > 0.02274 AND ret_3 ≤ -0.0258 AND body_ratio > 0.09581 AND vs_sma48 ≤ -0.1045,97.0,133,1.38,70.2,SOLUSDT,1h
SHORT,ret_1 > 0.00421 AND htf_4h_adx > 0.18565 AND vs_low_20 > 0.01427 AND fractal_high > 0.5 AND upper_shadow ≤ 0.20657,96.9,194,1.4,69.0,ADAUSDT,5m
SHORT,upper_shadow ≤ 0.32765 AND vs_low_20 > 0.00428 AND atr ≤ 0.00392 AND htf_1h_bb_pos_20 ≤ -0.90247,96.9,32,1.4,69.3,SOLUSDT,5m
SHORT,atr ≤ 0.02764 AND hour_cos ≤ 0.0 AND dxy_ret20d > -0.00853 AND dxy_vs_ma > -0.00095 AND vol_6 > 0.01521,96.9,65,1.24,78.1,ETHUSDT,4h
SHORT,vol_48 > 0.01095 AND htf_4h_rsi_14 ≤ 0.34293 AND htf_4h_atr ≤ 0.05397 AND stoch_d_14 > 0.30788,96.8,31,1.4,69.1,ADAUSDT,1h
LONG,atr ≤ 0.0265 AND vol_ratio_24 > 1.00193 AND hh > 0.5 AND cci_14 ≤ 1.09276,96.8,94,1.32,73.6,BTCUSDT,4h
SHORT,atr > 0.02669 AND vol_ratio_12 > 0.4663 AND atr7 > 0.0324 AND ret_6 > 0.08231 AND mfi_14 > 0.70054,96.7,30,1.19,81.5,ADAUSDT,4h
SHORT,vol_48 ≤ 0.01701 AND stoch_d_14 ≤ 0.8824 AND htf_4h_adx > 0.29259 AND vol_ratio_12 > 1.78805 AND htf_4h_adx > 0.48891,96.7,30,1.4,69.0,ETHUSDT,1h
LONG,htf_1h_atr > 0.03925 AND inside_bar ≤ 0.5 AND roc_21 ≤ -0.08053,96.6,89,1.35,71.3,SOLUSDT,5m
LONG,vs_sma24 ≤ -0.04798 AND vs_sma12 ≤ -0.04667,96.6,88,1.41,68.5,XRPUSDT,1h
SHORT,atr7 > 0.03319 AND nasdaq_ret1d ≤ 0.0071 AND adx_slope > -0.05151 AND atr_ratio > 0.9039,96.5,481,1.17,82.5,SOLUSDT,4h
SHORT,atr7 > 0.03319 AND nasdaq_ret1d ≤ 0.0071 AND adx_slope ≤ -0.05151 AND hl_vol > 0.03807 AND bb_pos_20 ≤ 0.30234,96.4,110,1.17,82.5,SOLUSDT,4h
LONG,atr7 > 0.02182 AND vol_ratio_12 > 0.47867 AND atr7 ≤ 0.03725 AND fractal_low > 0.5 AND vol_slope ≤ 1.62801,96.4,194,1.15,84.1,SOLUSDT,4h
SHORT,atr ≤ 0.02764 AND hour_cos > 0.0 AND ret_5 ≤ 0.04674 AND vol_288 ≤ 0.01836 AND aroon_14 ≤ -0.89286,96.3,27,1.23,78.1,ETHUSDT,4h
LONG,atr7 > 0.02397 AND atr28 > 0.03262 AND vs_sma12 > -0.08016 AND atr_ratio > 0.80172,96.2,238,1.23,78.2,ETHUSDT,4h
LONG,atr ≤ 0.0265 AND vol_ratio_24 ≤ 1.00193 AND vs_pivot > -0.2728 AND fg_norm ≤ 0.165 AND skew_24 > -0.38053,96.0,25,1.31,73.6,BTCUSDT,4h
LONG,atr > 0.0265 AND vol_288 > 0.00952 AND vol_ratio_12 > 0.53127 AND adx_slope ≤ 0.05923,95.9,170,1.3,73.6,BTCUSDT,4h
LONG,atr7 > 0.01837 AND vol_ratio_24 > 1.16109 AND atr28 > 0.0169 AND lower_shadow ≤ 0.60381 AND atr > 0.02768,95.8,306,1.19,80.5,ADAUSDT,4h
LONG,atr7 ≤ 0.02397 AND vol_ratio_12 ≤ 1.18007 AND vol_ratio_12 > 0.50184 AND fg_ma14 ≤ -0.08776 AND ret_96 ≤ 0.07789,95.7,47,1.22,78.2,ETHUSDT,4h
