windows,max,median,p_target,p_loss,p_bust,mdd,best_start,ho_max,ho_median,tr_median,rule,lev
194,75.11264071149806,1.4645619698574202,2.0618556701030926,37.11340206185567,0.0,73.67327169459331,2020-10,1.467450861123114,0.4350284518335039,1.9027782788627206,A 모멘텀 7일/1종/3일교체,1.0
194,18.768984221116792,0.2231280955540011,0.0,78.35051546391753,3.0927835051546393,98.21931177835145,2020-04,0.5211367882167475,0.0448318273708767,0.30047600175806954,A 모멘텀 7일/1종/3일교체,2.0
194,1.5561125666461912,0.0,0.0,98.96907216494846,77.83505154639175,99.94734360252923,2022-12,0.0516943849139705,0.0,0.0,A 모멘텀 7일/1종/3일교체,3.0
194,0.0,0.0,0.0,100.0,100.0,100.0,2017-08,0.0,0.0,0.0,A 모멘텀 7일/1종/3일교체,5.0
194,82.45316066216867,1.4699975440270188,2.5773195876288657,40.72164948453608,0.0,75.53093141059492,2020-10,1.894174318535371,0.3480469262789926,1.9271509246698635,A 모멘텀 7일/1종/7일교체,1.0
194,24.751459228335403,0.20456768370985567,0.0,79.38144329896907,12.371134020618557,98.59925303761501,2020-10,0.8198566369219408,0.03203706766824875,0.33294025447117065,A 모멘텀 7일/1종/7일교체,2.0
194,8.550460111887737,0.0,0.0,97.42268041237114,75.77319587628865,99.98544029382617,2023-03,0.1191415441650033,0.0,0.0,A 모멘텀 7일/1종/7일교체,3.0
194,0.0,0.0,0.0,100.0,100.0,100.0,2017-08,0.0,0.0,0.0,A 모멘텀 7일/1종/7일교체,5.0
194,220.92117264594984,0.9859206235806816,4.639175257731959,50.51546391752577,0.0,77.4838300733544,2020-11,1.1297057729968933,0.33341725123207344,1.260036171165845,A 모멘텀 7일/1종/14일교체,1.0
194,245.56765520628153,0.18817936985785455,0.5154639175257731,77.83505154639175,11.855670103092782,98.0737996942617,2020-11,0.32118591729323404,0.027074741394491234,0.3145804132120477,A 모멘텀 7일/1종/14일교체,2.0
194,17.273258588522157,0.0,0.0,96.3917525773196,73.19587628865979,99.94310198338255,2023-01,0.03316832273260354,0.0,0.0,A 모멘텀 7일/1종/14일교체,3.0
194,0.26899328604250106,0.0,0.0,100.0,97.42268041237114,99.99999999970501,2022-12,0.0,0.0,0.0,A 모멘텀 7일/1종/14일교체,5.0
194,262.7495606540465,1.4515092225035402,10.309278350515463,31.443298969072163,0.0,69.01460961856762,2020-10,2.7154862998649247,0.8648009504649339,1.8721458763506944,A 모멘텀 7일/2종/3일교체,1.0
194,3561.7512577902926,0.5380298455744128,10.309278350515463,61.34020618556701,2.5773195876288657,95.22358506597308,2020-04,1.6783746622646936,0.20882785481468033,0.7025983337292743,A 모멘텀 7일/2종/3일교체,2.0
194,3914.6770256243108,0.0,2.5773195876288657,89.69072164948454,51.03092783505154,99.72816846058015,2020-04,0.4222858825346127,0.018473005127516928,0.0,A 모멘텀 7일/2종/3일교체,3.0
194,0.0283484019079326,0.0,0.0,100.0,98.4536082474227,100.0,2023-05,0.0,0.0,0.0,A 모멘텀 7일/2종/3일교체,5.0
194,147.74181606060122,1.4358918578899234,7.216494845360824,37.628865979381445,0.0,74.66711299656549,2020-11,1.8715596486080692,0.3900737633281701,2.054769421105137,A 모멘텀 7일/2종/7일교체,1.0
194,696.771398999251,0.25772068865412046,8.24742268041237,68.55670103092784,3.0927835051546393,96.84853365693924,2020-04,1.1271144308728451,0.048587443088498265,0.3582080026255444,A 모멘텀 7일/2종/7일교체,2.0
194,643.4611060270381,0.016047564760275246,2.0618556701030926,81.95876288659794,47.42268041237113,99.83808156893564,2020-04,0.30146113561209475,0.0,0.03032124728911198,A 모멘텀 7일/2종/7일교체,3.0
194,0.05040455574890681,0.0,0.0,100.0,97.42268041237114,99.99999999113419,2023-07,0.0,0.0,0.0,A 모멘텀 7일/2종/7일교체,5.0
194,167.53587996631416,1.1032714154269851,5.154639175257731,47.93814432989691,0.0,74.11660118824838,2020-11,1.3308370903753235,0.35006809091253044,1.7726928029866458,A 모멘텀 7일/2종/14일교체,1.0
194,695.7593797512416,0.3635264400488364,7.731958762886598,61.855670103092784,8.24742268041237,95.65163015311326,2020-11,0.6223134030455192,0.046444314544173554,0.6604888227454919,A 모멘텀 7일/2종/14일교체,2.0
194,697.8139401305282,0.03477795268275821,2.5773195876288657,79.38144329896907,44.84536082474227,99.75027346111828,2020-04,0.13346624630253145,0.0,0.08914592182707387,A 모멘텀 7일/2종/14일교체,3.0
194,6.460972115869801,0.0,0.0,96.90721649484536,93.81443298969072,99.99999947742754,2023-01,0.0,0.0,0.0,A 모멘텀 7일/2종/14일교체,5.0
194,403.9658328683698,1.4481292367380139,10.824742268041238,29.896907216494846,0.0,65.87633034674964,2020-05,3.040121500938177,1.2295117552982253,1.6321267372697608,A 모멘텀 7일/3종/3일교체,1.0
194,15195.496407844183,0.5452856907322152,11.34020618556701,60.30927835051546,0.5154639175257731,93.47302475148875,2020-04,2.3240006575345142,0.4943999491220349,0.740104359796817,A 모멘텀 7일/3종/3일교체,2.0
194,99120.71428704426,0.026453584234372475,2.5773195876288657,86.5979381443299,44.84536082474227,99.38190694446932,2020-04,0.6821307975804038,0.08706151167092559,0.0,A 모멘텀 7일/3종/3일교체,3.0
194,3709.7287564331127,0.0,2.5773195876288657,97.42268041237114,91.75257731958763,100.0,2020-04,0.0,0.0,0.0,A 모멘텀 7일/3종/3일교체,5.0
194,105.59884542877631,1.4148090068689188,4.639175257731959,38.659793814432994,0.0,72.1428108377465,2020-04,1.551810674619986,0.405063861712875,1.6859917016204617,A 모멘텀 7일/3종/7일교체,1.0
194,1550.6542501359902,0.33091207119165367,7.731958762886598,68.55670103092784,2.0618556701030926,96.7309751851289,2020-04,0.8755298276546866,0.0705610142097643,0.4682988398595194,A 모멘텀 7일/3종/7일교체,2.0
