cond,side,n_tr,wr_tr,n_ho,wr_ho,lo,mean,best_single
vs_ma200 >= 19.4  AND  up_from_low >= 15.6,롱,1111,59.4959495949595,143,72.72727272727273,53.814486891214095,2.319559554433161,65.59139784946237
vs_ma50 <= -3.515  AND  stoch_k <= 15.62,롱,776,55.412371134020624,242,66.11570247933885,51.5417687532096,0.9612737397563251,55.86034912718204
vs_ma50 >= 4.737  AND  adx >= 62.37,롱,575,60.69565217391304,202,67.32673267326733,51.3733986768407,2.024581456027049,54.44264943457189
adx <= 23.15  AND  bb_squeeze <= 0.4242,롱,547,46.61791590493601,162,69.1358024691358,51.32096290811242,2.6423573001584617,57.1753986332574
