feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
body_pct,"(-56.315, -6.114]",6519,1.5094031358846005,2771,0.22569353909602957,48.89931432695778,47.04088559954117,50.76079071956837,0.10093747521762841,[A]캔들,True,0.22569353909602957
body_pct,"(-6.114, -3.477]",6518,-0.037094284381422815,4892,0.11946949738891899,48.01717089125102,46.61923320119852,49.41822029811403,-0.005286566489482149,[A]캔들,False,0.11946949738891899
body_pct,"(-3.477, -2.002]",6518,-0.6659454617139277,4980,0.20593779632233594,48.433734939759034,47.04744879235641,49.82243567588191,0.08118173244393481,[A]캔들,False,0.20593779632233594
body_pct,"(-2.002, -0.898]",6518,-0.7454360783685193,4711,0.3289776723938571,48.37614094672044,46.95099107307821,49.803937024612274,0.20422160851545595,[A]캔들,False,0.3289776723938571
body_pct,"(-0.898, 0.0117]",6518,-0.5267851214050288,4341,-0.22352872721713118,46.53305689933195,45.052943535320736,48.01930103166188,-0.34828479109553234,[A]캔들,True,0.22352872721713118
body_pct,"(0.0117, 0.943]",6518,-0.529315205439783,4301,-0.2818728598893881,44.826784468728206,43.34576463181833,46.31703736303323,-0.40662892376778925,[A]캔들,True,0.2818728598893881
body_pct,"(0.943, 2.035]",6518,-0.21553050629039183,4322,-0.2760031383413901,45.904673762147155,44.42329718382581,47.393324118257915,-0.4007592022197913,[A]캔들,True,0.2760031383413901
body_pct,"(2.035, 3.564]",6518,-0.2257756683622001,4177,-0.3464715251072695,45.989944936557336,44.48287383998723,47.50438537595627,-0.47122758898567063,[A]캔들,True,0.3464715251072695
body_pct,"(3.564, 6.451]",6518,0.17998352606471624,3999,0.08492383949945262,46.26156539134784,44.720518814425475,47.809787655858045,-0.03983222437894852,[A]캔들,True,0.08492383949945262
body_pct,"(6.451, 1301.6]",6519,1.2560713813305793,2743,0.25444201493462737,43.23733138899016,41.39408649784329,45.09949216355459,0.12968595105622624,[A]캔들,True,0.25444201493462737
range_pct,"(0.338, 3.127]",6519,-0.9986459023805444,4651,-0.12016430260153109,48.72070522468287,47.2858367315229,50.157685299387886,-0.24492036647993223,[A]캔들,True,0.12016430260153109
range_pct,"(3.127, 4.13]",6518,-0.8372524406105235,5243,-0.16212861316242472,46.461949265687586,45.11499313369916,47.81408633384185,-0.2868846770408259,[A]캔들,True,0.16212861316242472
range_pct,"(4.13, 5.05]",6518,-0.7493876987338418,5487,-0.044893306007578224,46.856205576817935,45.5384867805104,48.17832340756715,-0.16964936988597937,[A]캔들,True,0.044893306007578224
range_pct,"(5.05, 6.002]",6518,-0.571738650680768,5382,-0.14112902248928533,46.636937941285765,45.306995800844504,47.97167767518198,-0.2658850863676865,[A]캔들,True,0.14112902248928533
range_pct,"(6.002, 7.051]",6518,-0.18871943848613026,4994,-0.5863910481262623,42.99158990788946,41.62442309128526,44.36953077872133,-0.7111471120046634,[A]캔들,True,0.5863910481262623
range_pct,"(7.051, 8.27]",6518,-0.018402383173588777,4234,-0.27200993041203014,45.512517713745865,44.01724912262194,47.01592210303218,-0.3967659942904313,[A]캔들,True,0.27200993041203014
range_pct,"(8.27, 9.843]",6518,-0.07216878800519666,3823,-0.034855535098481535,46.2987182840701,44.7225911714053,47.882276508511204,-0.15961159897688268,[A]캔들,True,0.034855535098481535
range_pct,"(9.843, 12.121]",6518,0.06664286383092333,3107,0.20055349744341794,47.15159317669778,45.400898478448184,48.90932290987323,0.07579743356501678,[A]캔들,True,0.20055349744341794
range_pct,"(12.121, 16.352]",6518,0.915586479474134,2651,1.1831153994694166,51.640890230101846,49.737555250599186,53.539476418634855,1.0583593355910155,[A]캔들,True,1.1831153994694166
range_pct,"(16.352, 9900.0]",6519,2.453862697520501,1665,1.7229017832730877,49.429429429429426,47.031963497347135,51.82952221825343,1.5981457193946866,[A]캔들,True,1.7229017832730877
body_ratio,"(-0.001, 0.0909]",6519,-0.29215501403336236,3825,-0.07141463147254669,45.464052287581694,43.891356448375454,47.045850251426394,-0.19617069535094783,[A]캔들,True,0.07141463147254669
body_ratio,"(0.0909, 0.18]",6518,-0.015431762304849439,3840,-0.1100535433724976,45.546875,43.976923059579576,47.12572799659298,-0.23480960725089875,[A]캔들,True,0.1100535433724976
body_ratio,"(0.18, 0.265]",6518,-0.1722907978590298,3933,0.019587000952493147,46.85990338164252,45.30415169405105,48.42178332959837,-0.105169062925908,[A]캔들,False,0.019587000952493147
body_ratio,"(0.265, 0.344]",6518,-0.37491272548245663,3963,0.1354819825288952,47.5145092101943,45.96285932163386,49.07097313590616,0.01072591865049407,[A]캔들,False,0.1354819825288952
body_ratio,"(0.344, 0.421]",6518,-0.1531273291679187,4037,0.2991902618605089,48.526133267277686,46.9865382264944,50.06853069776137,0.17443419798210777,[A]캔들,False,0.2991902618605089
body_ratio,"(0.421, 0.498]",6518,-0.23654984702163828,4088,0.2059631923906209,47.13796477495107,45.611133440096225,48.67017011769544,0.08120712851221976,[A]캔들,False,0.2059631923906209
body_ratio,"(0.498, 0.576]",6518,0.0017143790731949382,4190,0.027280413740221138,46.70644391408115,45.19946178024039,48.21945990721677,-0.09747565013818,[A]캔들,True,0.027280413740221138
body_ratio,"(0.576, 0.661]",6518,0.3509389520476194,4330,-0.044195215237850874,46.85912240184757,45.37620438037996,48.34760869114532,-0.16895127911625202,[A]캔들,False,0.044195215237850874
body_ratio,"(0.661, 0.762]",6519,0.10415898073119667,4594,-0.42845528216262213,44.68872442316064,43.25606222494141,46.13026200162611,-0.5532113460410233,[A]캔들,False,0.42845528216262213
body_ratio,"(0.762, 1.0]",6518,0.7876840066121054,4437,0.01744221263566298,48.34347532116295,46.875118741569786,49.81469789138556,-0.10731385124273816,[A]캔들,True,0.01744221263566298
upper_wick,"(-0.001, 0.0427]",6519,0.22913460888395565,3787,0.5858570759869636,49.59070504357011,47.999483941068995,51.18275569669378,0.4611010121085624,[A]캔들,True,0.5858570759869636
