fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
1,2022-01-01,2022-04-01,4385,540,488,286,202,0.7807,0.7622,0.8069,0.225,110.043,0.65,0.65
2,2022-04-01,2022-07-01,4925,546,480,252,228,0.8271,0.8373,0.8158,0.263,126.103,0.65,0.65
3,2022-07-01,2022-10-01,5471,552,480,224,256,0.8125,0.817,0.8086,0.251,120.562,0.65,0.65
4,2022-10-01,2023-01-01,6023,552,413,222,191,0.7385,0.7072,0.7749,0.192,79.209,0.65,0.65
5,2023-01-01,2023-04-01,6575,540,392,166,226,0.7296,0.741,0.7212,0.185,72.464,0.65,0.65
6,2023-04-01,2023-07-01,7115,546,275,117,158,0.7164,0.7521,0.6899,0.174,47.917,0.65,0.65
7,2023-07-01,2023-10-01,7661,552,208,85,123,0.6154,0.5529,0.6585,0.093,19.44,0.65,0.65
8,2023-10-01,2024-01-01,8213,552,309,149,160,0.7573,0.8188,0.7,0.207,63.923,0.65,0.65
9,2024-01-01,2024-04-01,8765,546,424,214,210,0.7453,0.7757,0.7143,0.197,83.629,0.65,0.65
