fold,val_start,val_end,n_train,n_val,n_trades,n_long,n_short,win_rate,win_long,win_short,avg_pnl,total_pnl,l_thr,s_thr
2,2022-04-01,2022-07-01,25632,26208,5091,2764,2327,0.7069,0.7091,0.7043,0.167,850.621,0.65,0.65
3,2022-07-01,2022-10-01,51840,26496,2985,1567,1418,0.6878,0.6879,0.6876,0.151,451.99,0.65,0.65
4,2022-10-01,2023-01-01,78336,26496,2661,1003,1658,0.7136,0.7647,0.6828,0.172,458.727,0.65,0.65
