feature,bin,n_train,edge_train,n_hold,edge_hold,wr_hold,wr_lo,wr_hi,mean_hold,group,same_sign,abs_hold
body_pct,"(-56.315, -6.114]",6519,2.137640565759365,2750,-0.3377930787156892,40.58181818181818,38.76085586036533,42.42905716876459,-0.8814958156363943,[A]캔들,False,0.3377930787156892
body_pct,"(-6.114, -3.477]",6518,0.23277763733366807,4823,0.8929137543659222,42.732738959154055,41.3429199937932,44.13412570002033,0.3492110174452171,[A]캔들,True,0.8929137543659222
body_pct,"(-3.477, -2.002]",6518,-2.1319616846972025,4885,-0.41727406642459586,40.14329580348004,38.77692666749139,41.52515552719455,-0.960976803345301,[A]캔들,True,0.41727406642459586
body_pct,"(-2.002, -0.898]",6518,-2.2265579333662675,4589,-0.10595937549799228,40.640662453693615,39.22797256547924,42.06900924203619,-0.6496621124186974,[A]캔들,True,0.10595937549799228
body_pct,"(-0.898, 0.0117]",6518,-1.6429568925788844,4198,-0.7674629145089445,41.63887565507384,40.15594688937933,43.13709300055845,-1.3111656514296497,[A]캔들,True,0.7674629145089445
body_pct,"(0.0117, 0.943]",6518,-1.8899494646029176,4178,-0.05366742365042565,42.10148396361896,40.61229813002164,43.60518155643993,-0.5973701605711308,[A]캔들,True,0.05366742365042565
body_pct,"(0.943, 2.035]",6518,-1.1594336225422959,4226,-0.4888308679557861,39.99053478466635,38.52327072981898,41.47598030596449,-1.0325336048764913,[A]캔들,True,0.4888308679557861
body_pct,"(2.035, 3.564]",6518,-0.5524453702149437,4112,-0.905220243317192,38.4727626459144,36.99707793814074,39.969965691526646,-1.4489229802378971,[A]캔들,True,0.905220243317192
body_pct,"(3.564, 6.451]",6518,0.9513722591881066,3965,0.5198394319012206,38.15889029003783,36.65897347432134,39.68173007000756,-0.02386330501948455,[A]캔들,True,0.5198394319012206
body_pct,"(6.451, 1301.6]",6519,6.280223026189005,2729,2.3158566031289376,39.171857823378524,37.3568594341108,41.01729880469821,1.7721538662082326,[A]캔들,True,2.3158566031289376
range_pct,"(0.338, 3.127]",6519,-4.529111941286879,4388,0.9187228463414929,47.83500455788514,46.35950682477067,49.314289789387715,0.37502010942078773,[A]캔들,False,0.9187228463414929
range_pct,"(3.127, 4.13]",6518,-4.38666641801725,5062,0.9838325250046828,42.94745160015804,41.589661756864956,44.31593781813953,0.4401297880839776,[A]캔들,False,0.9838325250046828
